"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
1637,"*ǯeɣeg ( < *ǯiɣeg)",1220,"thin thread; skirting, border thread","тонкая нить, окаймление","ǯeɣeg (L 1043)","","ʒēg","","zēg","","","","","","","","KW 474. Mong. > Kaz. žĳek etc. (see VEWT 195, ЭСТЯ 4, 27)."
1638,"*ǯiluɣa / *ǯulaj",1512,"1 brain 2 sinciput, fontanelle","1 мозг 2 темя","ǯiluɣa (Schmidt) 1, ǯulai, ǯula 2 (L 1078)","ǯ[o]lā 1 (IM)","ʒulaj 2","zulaj 2","zulā 2 (КРС)","ǯulǟ 2","","","ǯol 2 (Тод. Даг. 144), ǯole 'the temple (of the head)' (MD 179)","","","",""
1639,"*luw-", 986,"eye pus","глазной гной","luuqa (L 518), nuuqa","","lūx, nūx","nūtaj- 'быть заплывшим (о глазах)'","lox (КРС), nūx","lūxa, nūxa","","","laug, (Тод. Даг. 152: lōgo)","","nauxa, \Ilog\i","","KW 282, MGCD 473."
1640,"*aɣarčak", 618,"flesh between the hips","мясо между ляжками","aɣarčag","","ārcag 'таз'","","ārcəg","ārcaq","","","","","","","KW 21."
1641,"*(h)ok-",1564,"coire","coire","","uqa- (MA, IM), həka- (Leid.)","oxo- (БАМРС)","","","","","","","","","","Initial h- in the Leiden manuscript must be secondary."
1642,"*hünegen",1803,"fox","лиса","ünege(n) (L 1008)","xunegan (HY 10), h[o]nägǟn (IM), hunägän (MA), hongen (LH)","üneg(en)","ünege(n)","üngṇ 'female of a wild animal or bird'","ünege","funieɣe","","xunug(u) (Тод. Даг. 180), hunehe (MD 166)","heneɣen, henegen","funige, xunige (SM 108, 183), funəgə","","KW 458, MGCD 694."
1643,"*tokir",2424,"curved, bent","кривой, согнутый","tokir (L 820)","","toxir","toxir","tokṛ 'искалеченный, вывихнутый'","","","","","","","","KW 398. Also Mong. takir  id."
1644,"*tokoj",2476,"elbow","локоть","toqoi (L 829: toqui, toqai)","toqai (HY 46), twoqai (Lig.VMI), tuqai (MA)","toxoj","toxoj","toxǟ, toxā","doxȫ","toɣəi","toχui","","doGōnoG","tuGwī (SM 429)","toqai; ZM toqai (Lig.VMI 69)","KW 397, MGCD 642. Mong. > Yak. toɣonox, Dolg. togonok (Stachowski 225)."
1645,"*korbu", 885,"beluga, white fish","белуга, белая рыба","qorbu (L 965)","","xorov","","xorwə (КРС)","","","","","","","","Cf. also WMong. qarba 'a k. of fresh-water fish' (or is it < 'carp'?)."
1646,"*üje",1560,"generation, age","поколение, возраст","üje (L 1001)","uje (SH, HYt)","üje","üje","üj (КРС)","üje","","","uje (Тод. Даг. 170, MD 231)","","uje (SM 479)","","MGCD 691. Mong. > Yak., Dolg. üje (Stachowski 249). The connection with üje `joint' should be regarded as folk-etymological."
1647,"*gogu-", 548,"a k. of wild leek","вид дикого лука","ɣoɣud, ɣoɣusu(n) (L 358)","qoqosun (HY 8)","gogol, gogod","gogod, gōgol","ɣoɣəsṇ","gogot","","","gogos (Тод. Даг. 132), guagas","","\IGoGor\i (SM 122)","","KW 149. Mong. > Evk. gowohun, see Poppe 1966, 197."
1648,"*kamkag, *kamgaɣul", 830,"a k. of grass, Salsula","вид травы, Salsula","qamqaɣ (L 926), qamqaɣul","qamqa'ulsun 'ein Kraut, Unkraut' (SH), kamqa'ul 'tumble-weed' (HY 7)","xamxag 'солянка холмовая, желтая полынь', xamxūl 'tumble-weed'","xamxūl 'tumble-weed'","xamxəg, xamxūl","xamxaq, xamxūli","xanxou","","","","xaŋGu (SM 157), xānGul","","KW 164, MGCD 324."
1649,"*(h)ideɣür", 614,"trough","корыто","ideɣür (L 400)","","idǖr","ed́ǖr","idəš, idǖr","","","","","","","","KW 205. The formal connection with ide- 'eat' ('trough for feeding animals') is probably due to a secondary contamination."
1650,"*uɣurga",2505,"lasso pole","шест с арканом","uɣurɣa, urɣa(n) (L 881)","u'urqa (SH)","ūrga","urga","ūrɣə (КРС)","ūrGa","","","urga (Тод. Даг. 171)","","","",""
1651,"*öre-",1579,"1 to set in order, put in line, arrange in a row 2 half of a carcass; hobble for legs on one side of a horse 3 one of two (objects)","1 приводить в порядок, располагать в ряд 2 половина туши; односторонние путы 3 один из двух (предметов)","örü- (L 643), öre- 1, örügel 2 (L 643)","ore'elesun (HY 44) 2, ore'ele 3 (SH), urele 2 (MA)","örö- 1, örȫl 2","ürȫhe(n), ürȫle 3","ör- 1 örēsṇ 3","örȫl 2","","rɛji 3","ergūlen 2 (Тод. Даг. 140)","örlölöd 2, örlȫ 3","","","KW 298, 299 MGCD 548, 549. Mong. > Chag. örük etc. 'foot hobbles' (VEWT 375)."
1652,"*itege-", 613,"to hope, believe, trust","верить, надеяться, доверять","itege- (L 417)","itege- (HYt), itqa- 'to reason' (MA), itegiltu (LH)'zuverlässig'","itge-, jatga-","idxa-","itkə- (КРС)","etege-","","","itge- (Тод. Даг. 146), itege- (MD 174)","hdēge-","","","MGCD 414."
1653,"*mereji-",1318,"to strive, make an effort","стремиться","mereji- (L 536)","","merĳ-","","","","","","","","","",""
1654,"*borki", 193,"old badger","старый барсук","borki (L 121)","","boŕx","","borkə","","","","","","","","KW 52."
1655,"*silmeɣü-sü",2073,"needles of a conifer","хвоя","silmegüsü(n), silmügüsü(n), silbegüsü(n), silbüsü(n), silümüsü(n) (L 707)","","šilmǖs","šelbǖhe(n), šelbehe(n)","šiləwsṇ (KРС)","","","","","","","",""
1656,"*teɣü-",2287,"to pick up, collect","подбирать, собирать","tegü- (L 794)","tu- (MA 359)","tǖ-","tǖ-","tǖ- (КРС)","tǖ-","","","","tǖ-","","","MGCD 656."
1657,"*taɣa-",2312,"to guess","угадывать","taɣa- (L 763)","ta'a 'jealousy, doubt' (HY 37)","tā-","tā-","tā- (КРС)","tā-","ta-","tā-","tauli, tauĺ (Тод. Даг. 166) 'riddle' ( = WMong. taɣaburi)","tā-","tā- (SM 404)","","MGCD 619. Mong. taɣa- > Yak., Dolg. tāj-; taɣaburi > Yak. tābɨrɨn, Dolg. tābɨrɨ̄n (Kał. MEJ 56, Stachowski 218-219) > Evn. tābɨrɨn (ТМС 2, 149)."
1658,"*(h)ergi-neg", 445,"1 cupboard (standing close to the door) 2 enclosure (for sheep, calves)","1 буфет (стоящий около двери) 2 загон (для овец, телят)","ergineg 1 (L 325)","","eregneg 1","ergeneg 1,2","ergənəg 1","ergenek 1","","","","","","","KW 124."
1659,"*owči",   3,"interior side of the cheek; mouthful","внутренняя сторона щеки; глоток, количество жидкости, которое можно набрать в рот","ouči, oɣuči L 602, 625","","ōč","ōšo(n)","ōčə","ōč`i 'gorgée'","oču- (očɨ-)","","ūčə","ūčə","ōč́i-  'to drink' (SM 299), ūčiɣu 'a drink' (Тод. Мгр. 369)","ɔči- 'to drink' (Weiers)","KW 292, MGCD 523. The Mongor forms could be derived from ū- 'drink' (v. sub *ṓp`à), but the affixation in that case would be unclear."
1660,"*koŋgurčag", 968,"cluster, bunch","гроздь, кисть","qoŋɣurčaɣ (L 962)","","xongorcog","","xoŋɣərcəɣ (КРС)","","","","","","xoŋGoʒ́oG 'gousse, silique, alveole (d'abeille)' (SM 171)","","Cf. qoŋɣurčaɣ üsü 'long hair, mane'."
1661,"*araɣalǯin",  49,"spider","паук","araɣalǯin, aɣalǯin","","ālʒ","","arālǯn","","","","āleǯi, agaleǯi","","","","KW 12. There is some confusion between this form and *haba-kai id. (v. sub *p`ép`a) - which resulted in a mixed form *haɣalǯin, reflected in MMong. (HY 12) xa'alǯin - however, the Dagur form definitely points to a 0-Anlaut in PM."
1662,"*do- / *du-", 398,"1 inside 2 middle, mediocre 3 middle","1 внутри 2 средний, посредственный 3 середина","do-tur(a) 1 (L 265), du-li 2, du-mda 3 (L 273)","dotora (HY 50), dotona (SH) 1, dutar, dutură (MA) 1, dunda (HY 50, SH) 2, dumda, donda (IM), dundă (MA) 3","dotor 1, duĺ 2, dund 3","dosō 1, dunda 3","dotṛ 1, dundə 3","dotor 1, dunda 3","tudoro, sudoro 1, dunda 3","dorə","duatar, dotor 1,  duanda 3, duande (MD 137) 3","hdoro 1, dunda 3","turo (SM 434), šduro, tudor (SM 427) 1, dunda (SM 64) 3","dotōna 1, dunda 3; ZM dotana (4-3a) 1, donda (9-1b) 3","KW 97,102, MGCD 227, 237. Mong. du-li > Evk. dulin etc., see ТМС 1, 222-223; Doerfer MT 20; Rozycki 63."
1663,"*degeɣe < (*deɣe-ɣe)",2225,"1 hook 2 to be hooked up, suspended 2 to hang up, suspend","1 крюк 2 быть на крюке, подвешенным 3 подвешивать","degege 1 (L 242), degüǯi- 2, degüǯi-le- 3 (L 246)","","degē 1, dǖžle- 3","degē 1, dǖžel- 3","degɛ̄1, dǖǯḷ- 3","degē","","","degē (Тод. Даг. 136) 1","degē 1","dege boGodi 'clopin-clopant', dǖʒəle- 'pendre, suspendre, se pendre' (SM 56)","","KW 85, MGCD 212. Mong. > Evk. degē etc., see Doerfer MT 131, Rozycki 57."
1664,"*ǯerge",2594,"row, rank","ряд, разряд","ǯerge (L 1045)","ǯerge- 'rank, order' (SH, HYt)","ʒereg","zerge","zergə (КРС)","ǯirge","","","ǯerigi, (Тод. Даг. 143) ǯerehe 'rank, degree' (MD 176), ǯerge, ǯereg","ǯerɣe","ʒ́erge (SM 87)","","KW 473, MGCD 441. Mong. > Oyr. järgä etc. (ЭСТЯ 4, 25); Man. ǯergi etc., see TMN 1, 293, Doerfer MT 117, Rozycki 123."
1665,"*(h)il(b)i-", 591,"to stroke, rub","гладить, тереть","ilbi-, ili-, ile- (L 403, 404, 407)","","ilbe-, ile-","eĺbe-","\Iil-,\i ilwə-, iĺl-","ilbe-, (elbe-)","","","","","","","KW 207."
1666,"*kalta-s, *kelte-", 712,"1 half 2 to split off, break off","1 половина 2 отщеплять, отламывать","qaltas 1 (L 921), kelte-, keltere- (L 450) 2","","xaltas 1, xeltre- 2","xaltagaj; xeltel-, xelter-","keltəl- 2 (КРС)","\IGaltas\i","","","koltorkē 'splinter' (Тод. Даг. 150), xaltag, kaltag 1 (Тод. Даг. 173), koletuei 'a part', koletuhe 1 (MD 183)","","kideli-; kidərē- 1 'ébrécher; s'ébrécher, mourir (petits enfants) 1' (SM 201, 200)","","Mong. kelte- > Evk. kelte- etc., see Dörfer MT 134."
1667,"*kür-",1087,"1 son-in-law, bridegroom 2 brother-in-law","1 зять 2 шурин","kürgen 1, küri degü 2 (L 505)","guregən (HY 29), gurigen, guregen (SH) 1, keurgen (IM)","xürge 1, xür degǖ 2","xüŕge(n) 1, xür dǖ 'младший шурин'","kür 'шурин'; kürgṇ 1","kürgen 1 küri dǖ 'frère poîné de la femme'","kuɣan 1","kurkaŋ 1","xurgun 1 (Тод. Даг. 180: xurgen, kurgen), huregen 1 (MD 167)","kurɣen 1, kure dǖn 2","kurgēn (SM 216) 1, kurgēn diu 2","","KW 246, 247, MGCD 399, 401. Despite Щербак 1997, 128 Mong. kürgen cannot be < Turk. *güdegü (v. sub *kude). Mong. > Evk. kurekēn, kuriɣen see TMN 1, 477, Doerfer MT 127."
1668,"*iču-", 586,"to go back, get ready to go back","возвращаться, готовиться к возвращению","","iču- (SH, HYt)","","","","iči-","","","ič- 'to go to a place' (Тод. Даг. 146: iči-), iči 'go' (MD 170)","","śʒ́i-, (MGCD) śiǯi- 'to go to a place'","","MGCD 534."
1669,"*kančir", 720,"peritoneum","подгрудок","qančir (L 927)","","xančir","xanšar 'belly muscles'","xančər 'belly muscles' (КРС)","xančir maxa 'stomach of a meagre, skinny animal', xančir kün 'thin person'","","","","","","",""
1670,"*kenǯe", 761,"late, aftermath; late-grown crop, late-born child","поздний урожай, поздний ребенок","kenǯe (L 454)","","xenʒ","xenze","kenzə (КРС)","kenǯi 'late-born (about the second lamb or yeanling of the same year)',  kenǯile- 'agneler deux fois par an'","","","","","kinʒ́ēle- 'agneler deux fois par an' (SM 204)","","Mong. > Chag. kenǯe etc. (see ЭСТЯ 3, 20-21); Evk. kenǯe etc., see TMN 1, 488, Doerfer MT 131, Rozycki 138."
1671,"*mačag",1235,"fast","пост","mačaɣ (L 519)","","macag","masag","macəg (КРС)","mačaG","","","","","","",""
1672,"*mödü",1356,"soon, shortly, later","скоро, вскоре, позже","mödü (L 545)","","möd","","","","","","","","","",""
1673,"*ösügej",1550,"heel","пятка","ösügei","osogo (HY 47), osügei (SH), usegei (MA)","ösgĳ","hüjeɨ","öskɛ̄","ösögī","","","","","","","KW 301. Clark 1980, 58 proposes (with doubt) borrowing < Turk. ökče (see s.v. *p`ŏk`i), which is hardly acceptable."
1674,"*koǯi-",1153,"1 to stay behind, be late 2 late, afterwards","1 опаздывать, задерживаться 2 позднее, после","qoǯi-, qoǯida- 1, qoǯid, qoǯim 2 (L 975)","qoǯida- 1, qoǯit 2 (SH)","xoǯi-, xoǯdo- 1, xoǯid, xoǯim 2","xožomdo- 1, xoǯom 2","xoǯəm (КРС)","xoǯim, xoǯit 2, xoǯimdo- 1","","","","","","",""
1675,"*gudu-", 546,"1 to lower, be bent downward 2 downward","1 опускаться, склоняться вниз 2 вниз","ɣuduji- 1, ɣudus 2 (L 364, 365)","","gudaj-, guduj- 1, gudas 2","gudɨ- 1","ɣudī- 1, ɣudəs 2","\IGudus\i 'in the centre'","","","","","","","KW 153."
1676,"*telegen",2387,"vehicle","повозка, телега","","telege(n) (SH)","","","","","","","","","","",""
1677,"*id-", 656,"female shaman","шаманка","iduɣan, uduɣan (L 861)","jituxan (HY 31), jətxan 'волхв' (IM), utugun / hotkun (LH)","udug","udagan","udəɣən (КРС)","udaGan 'accoucheusse, accoucheur'","","","jadagan (Тод. Даг. 146), jadegen 'shaman (in direct contact with spirits)' (MD 168)","","","",""
1678,"*hejil-",1721,"to separate","отделять","","xejil- (SH)","","īle- 'to churn butter' (? *'separate')","","","","","xeile- (Тод. Даг. 175)","","","",""
1679,"*heliɣe",1638,"hawk, kite","ястреб, коршун","elĳe (L 310)","xele'e (HY 13), iläs (MA), həlē- (LH)","elē","eĺē","elɛ̄","elē, ilē","helie","heloŋ","","","","","KW 119, MGCD 257. Mong. > Yak. elia, ? > Bulg. *ileg > Hung. ölyú́, ölyuv (see Gombocz 1912, VEWT 40)."
1680,"*hüker",1822,"ox","бык","üker (L 1003)","xuker (SH), xuger (HY 10), ukär (MA)","üxer","üxer","ükṛ 'cow' (КРС)","üker","fugie(r)","","xukur (Тод. Даг. 179), hukure (MD 166)","","fugor (SM 104), xukur (Minghe)","ükär (Weiers), ZM okär (20-4)",""
1681,"*majila-su",1304,"cypress","кипарис","majila-su (L 522)","","majls","","","","","","","","","","Mong. > Manchu mailasun 'arbor vitae, cypress' (see Rozycki  153)."
1682,"*ser-",1926,"cool, fresh","прохладный, свежий","serigün (L 691)","seri'un (HY 5), seri'ut- (SH)","serǖn","heŕūn","serǖn","serǖn","","","serūn (Тод. Даг. 163, MD 211)","sörǖn","sarin (SM 328), sarəŋ","","KW 326, MGCD 601. Mong. *seriɣün 'fresh, cool' > Evk. serun, Man. serguwen etc. (see Doerfer MT 119, Rozycki 178); > Turk. \Iserin,\i MTurk. serövün etc., see Лексика 16, ЭСТЯ 17; Yak. serīn, sörǖn, Dolg. herǖn, hörǖn (Kał. MEJ 17, Stachowski 102)."
1683,"*tösü",2448,"form, shape, appearance","форма, вид","tösü, tösüge (L 837)","","tös, tösȫ","tühȫ(n) 'подобие, сходство'","tösəw 'plan' (КРС)","dösȫ","","","","","","","Mong. > Chag. tüs, Turkm. tüjs etc. (see VEWT 507)."
1684,"*ǯiluɣa",2618,"halter","недоуздок, вожжи","ǯiluɣa (L 1055)","ǯilu'a (SH), ǯolā (IM)","ǯolō","žolō","ǯolā (КРС)","ǯilō","","","d́ilō, ǯ́ilō (Тод. Даг. 144), ǯolō 'reins' (MD 180)","ǯolū","","","MGCD 452. Mong. > Chag. čilau, ǯiluɣa,  Turkm. ǯɨlaw etc., see TMN 1, 297, Щербак 1997, 205, ЭСТЯ 4, 41-42; Evk. ǯiluɣa etc., see Poppe 1966, 190, 195, Doerfer MT 102, Rozycki 126."
1685,"*ki-", 791,"to do, to make","делать","ki- (L 462)","ki- (SH, HYt), ke- (LH), ki- (MA)","xĳ-","xe-","ke- (КРС)","kī-","kie-","ke- (Тод. Бн.), giə-","xī-, kī- (Тод. Даг. 150), kī-, šī- (MD 183, 216)","gə-","gi- (SM 135), gə-","ki- (Weiers)","MGCD 348. Mong. > Evk. ke- id."
1686,"*kina-",1081,"to investigate, observe, trace","исследовать, наблюдать, следить","kina- (L 469)","","x́ana-","xina-","","kina-","","","kinima 'careful, cautious'","","","","MGCD 353."
1687,"*orug",2530,"1 greyish, grey-brown 2 white horse with black back","1 сероватый 2 белый конь с черной спиной","oruɣ 1","orox 2 (SH)","orog 1","","orəg 1","","","","","","","","KW 288."
1688,"*buta",1674,"bushes","кусты","buta, butu (L 141)","buta (SH)","\Ibut\i","buta","butə","buta","puda","","boto (Тод. Даг. 128)","\Ibut\i","budā 'herbes ou plantes croissant en touffes, touffe (herbes)' (SM 31), butā (Huzu)","","KW 63, MGCD 171."
1689,"*tew-ke",2329,"history","история","teüke, tegüke (L 808)","","tǖx","tǖxe","tǖkə 'story, legend' (КРС)","tǖχe(n) 'livre d`histoire'","","","","","","",""
1690,"*(h)ača",1696,"bifurcation","развилка, разветвление","ača(n) (L 7)","āčiba 'развилина' (MA)","ac","asa","acə","ača","","","","","","","KW 18. Mong. > Man. ačan, Kirgh. ača etc. (ЭСТЯ 1, 210)."
1691,"*küle-mǯi",1139,"cave, basement","погреб, подземное помещение","külemǯi (L 499)","","xülemǯ","","","","","","","","","",""
1692,"*gewü-n", 508,"mare","кобыла","gegü(n), gegüü (L 374), geü (DO 273)","ge'un (HY 9), guun-du (MA), keun (LH)","gǖ(n)","gǖn(g)","gǖn","\Igǖ\i","","","geu (Тод. Даг. 132, MD 151)","gǖn","\Igū\i 'femeille de certaine animaux' (SM 138)","","KW 140, MGCD 306. Mong. > Evk. gōn etc., see Poppe 1966, 190, 1972, 96, Doerfer MT 102."
1693,"*sark-",1927,"to sprinkle, drip","брызгать, капать","sarkira-, sarqaji-","","sarxĳ- 'звукоподражание плеску, журчанию, шороху'","","sarkr-, sarkl-","sarχira- 'to murmur'","","","","","","","KW 313."
1694,"*uj",2499,"1 mourning, sorrow 2 to be bored, lonely","1 траур, печаль 2 скучать, быть одиноким","\Iui\i 1, ujid- 2 (L 866)","ui'it- (SH) 2","\Iuj\i 1, ujda- 2","\Iuj\i 1, ujda- 2","ujd- 2 'to be sad, sorrowful' (КРС)","ujd- 2","","","","","","",""
1695,"*geske", 484,"fish-eagle","орел-рыболов","geske","","","","geskə","","","","","","","","KW 135."
1696,"*kib(i)- / *kebi-",2676,"1 to be attentive, cautious 2 council, deliberation","1 быть внимательным, осторожным 2 совещание","kibsi-, kibisi- 1, kebei (L 438) 2","","xevej 2","","kiwšə- 1, kewī- 2","","","","","","","","KW 233."
1697,"*čaba-", 272,"glue, fish glue","клей, рыбий клей","čabaɣu (L 154) čabau (DO 697)","č[a]bsun (IM)","cavū(n)","sabū(n)","cawəg","čawū","","","čagu","","","","KW 423, MGCD 1697."
1698,"*koŋku", 900,"bell","колокольчик","qoŋqu (L 963)","","xonx","xonxo","xoŋxə (КРС)","xoŋxo","\IGoŋGon\i","\IGoŋGa\i","kuāngarta, (Тод. Даг. 178), kuangarete (MD 184), xuangarta","χoŋGo","xoŋGor","","MGCD 365."
1699,"*ori- / *uri-",1582,"to shout, call","кричать, звать","orila-, uri- (L 619, 881)","uri 'to call' (HY 34), uri- 'to invite' (MA)","orilo-; uri- 'to invite'","oril- 'to weep', oriloldō(n) 'shouting, howling'","","uri- 'to invite'","","ure- 'to invite, call' (Тод. Бн.)","ori- (Тод. Даг. 160, MD 203)","","uri- (SM 476)","",""
