"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
1667,"*gEč-", 523,"a k. of flower","вид цветка","","","","","","","","","","gečemǯek 'ластовень острый', gečigeči 'пастушья сумка'.","","","","","kъčkъ 'catkins, aglets, flower buds'  ( > Mari kičke 'willow buds'?)","","","","","küčük 'catkins, aglets, flower buds'","","","","","","","","","","Федотов 1, 264. Not quite secure, since the root is (folk-etymologically?) contaminated either with geče 'goat' or with *gǖčük 'puppy'."
1668,"*jAt-",1411,"winter rye","озимая рожь","","","","","","","","","","","čadɨɣ 'bush' (Sag.)","jadɨɣan (Верб.)","d́adaɣan","","","","","čadaɣ 'low plant'","","","","","","","","","","","","VEWT 177."
1669,"*jor-", 397,"to tire, tired","уставать, усталый","","","jor-, jorul-, jorɣun","","jorul- (Ettuhf., AH), jorɣun (Pav. C.)","","","","jor-, jorul-, jorɣun","jor-, jorɣun","","","","","","","","","","","","","","","jorul-, jorɣun","jorul-, jorɣun","","","jorul-","VEWT 207, ЭСТЯ 4, 223."
1670,"*döle-",2269,"tranquil, sedate, quiet","спокойный, тихий, мирный","","tölek (MK)","döle-k, dölen-","","","tölek (Chag.)","","","","","","","","","tülek","","","","","","","","","","","","","","","EDT 498, VEWT 504."
1671,"*KArɨĺ-", 774,"wolf","волк","","","kaškɨr, dial. kašɣɨr 'a bear'","","","dial. qɛšqir, dial. qɛršiqul","","","","","","","","","kaškъr < Qypch.","","","","","qarɨšqɨr","qasqɨr","qarɨsqɨr, qasqɨr","","","","qašqɨr","qasqɨr","","","Лексика 160., ЭСТЯ 5, 352."
1672,"*jolbars", 390,"panther, leopard, tiger","пантера, леопард, тигр","jolbars (OUygh.: Suv.)","","","julbarɨs","jolbars (Pav. C.)","jọlbars","jolbars","","","jolbars","","","","","","","","","","ǯolbars","žolbarɨs","jolbarɨs","julbarɨϑ","","","","žolbarɨs","","","ЭСТЯ 4, 219, Лексика 157. The Turkic form is analysed as 'road panther' which is most probably a folk etymology (under the influence of the borrowed bars 'panther'): even if one takes jol with a secondary late attested meaning 'line, stripe', shortness of -o- in Turkm. contradicts the etymology (*jōl 'road' has a long vowel)."
1673,"*TĒk",2337,"bottom, lower part","дно, нижняя часть","","","","","\Iteg\i (Sangl.)","\Itag\i","täg","","","tej","","","","\Itǟ\i","","","","","","tek","tek 'origin'","","","","","","tek 'species, origin'","","","EDT 475. Voicing *-k > *-ɣ (-j) in Oghuz points to an original long vowel."
1674,"*Toŋa (?)",2401,"tiger","тигр","toŋa (Orkh.) 'a military title', (OUygh.) 'hero'","toŋa (MK)","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 515 (with some doubts about the original meaning of the word)."
1675,"*čüke", 320,"sterlet","стерлядь","","","","čökɛ, dial. (КСТТ) čükä","","","","","","","","","","","śъʷga","","","","","","","","sögä","","","","","","","VEWT 121, Федотов 2, 152. A local Volga region word; cf. however Turkm. čüj balɨk 'pike', lit. 'nail-fish' - which may be a reanalysis of the original root."
1676,"*Epej", 441,"baked bread","печеный хлеб","","","","ipi","","","","","","","","","","","","","","","","","","","äpäj","","","","","","","Forms like epmek may belong here but contaminated with *etmek (v. sub *ite)."
1677,"*sinčök ( ~ -e-)",1964,"1 ankle-bone 2 shin-bone","1 лодыжка 2 голень","","","sinǯik 1 (dial.)","","","","","","","","","","","","","sünjüöx 2","","šünčük 'hip joint'","šüŋǯük 'hip joint'","","","","sensek (dial.) 2","","","","","","","Дыбо 1989 (but not < Perm.)."
1678,"*s[ɨ]ča-kaj",1985,"1 cone 2 nut tree","1 шишка 2 орешник","","","","","","","","","","","","","čočoɣoj 1","","šъʷškъʷ 2","","","","","","","","","","","","","","","VEWT 113, Дмитриева 1972, 174. Cf. perhaps Yak. sihik, Dolg. sisik 'alder' (Stachowski 210)."
1679,"*čeček", 282,"1 flower 2 chicken-pox","1 цветок 2 оспа","čeček (OUygh.) 1","čeček (KB) 1","čiček 1, 2","čɛčɛk 1, 2","čeček (Sangl.) 1","čečak 1, 2","čečäk 1, 2","č́`uǯ́ug","čičäk 1, 2","čeček 1","","","čeček 1","","śeśke 'цветок, листок'","","","","","čeček 2; aq čeček 'a k. of tree', čečekej 'crystalline lens'","šešek 1, 2","šešek 1, šešekej 2","säsäk 2, säskä 1","čeček 2","čiček 1, 2","čiček, čeček 1, 2","šešek 2","čičex (ССЯ) 1, 'bud'","čeček 1, 2","VEWT 102, EDT 400-401, Лексика 120. Turk. > Mong. čečeg, see TMN 3, 57, Щербак 1997, 112. Kypch. > Chuv. čečče, čeček (see Егоров 322, Федотов 2, 408-409); some Turkic forms (Tuva čeček, perhaps also Oyr. čeček and some of the Kypchak forms) may be borrowed back < Mong."
1680,"*saba-",1917,"to beat, hit, fight","бить, драться","","savaš- 'to fight' (MK)","savaš-","","savaš- (Houts., Ettuhf.)","savaš-","","","","dial. savaš","","","","","","","","","","","","","","","savaš-","savaš-","","","","VEWT 391, EDT 793, ЭСТЯ 7."
1681,"*sapɨ-",1968,"to sway, wave, shake up","махать, развеивать, взбалтывать","","sabɨ- (MK)","","","","","","","","","","sabɨr- 'to blow (of wind)'","","","","","","","","sapɨr-","sapɨr-","sapɨr-","","","","","sapɨr-","","","EDT 785. A possible derivative is sapan 'sling' (see ЭСТЯ 7)."
1682,"*Kɨ̄tɨr-", 739,"to walk, go round","ходить, обходить вокруг","","","kɨdɨr- (dial.)","qɨdɨr- (dial.)","","qidir-","","","","\IGɨdɨr-\i (dial.)","","","","","","kɨtɨgɨras 'проворный, быстрый, резвый (о звере), скороход'","","","","qɨdɨr-; qɨdɨŋ 'семенящий при беге (о жив.)'","qɨdɨr-","qɨdɨr-","qɨδɨr-","qɨdɨr-","","qɨdɨr-","qɨdɨr-","","qɨdɨr-","ЭСТЯ 6, 185."
1683,"*Kɨrɨĺ / *kiriĺ", 730,"bow string","тетива","kiriš (OUygh.)","kiriš (MK)","kiriš","kereš","kiriš (Pav. C., IM, AH, Qutb.)","","","","kiriš","kiriš","kərəs, xɨrɨs","kiriš","kiriš","","xirlü","kiris, kɨrɨs","","kiriš","","kirič","","kiris","kereš","","","kiriš","","","kiriš","ЭСТЯ 5, 71-72, Лексика 578."
1684,"*ses",1972,"1 threat  2 to threaten","1 угроза 2 угрожать","","","seksen-, segsen- (dial.)","siskän- 2","sesken- 2 (Pav. C., AH)","seskän- 2","säskin- 2","","säksän- 2","","","","seste- 2","","sъzъr-lan-dъr- 2","","","","","ses 1","ses 1, sesken- 2","sesken- 2","hiϑkän- 2","","","sesken- 2","sesken- 2","","","ЭСТЯ 7."
1685,"*burkɨ",1656,"wrinkled","сморщенный","burqɨ","burqɨ, burqɨɣ 'wrinkle'","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 360."
1686,"*iri-", 608,"1 to rot 2 pus 3 to turn sour, coagulate","1 гнить 2 гной 3 прокисать, створаживаться","jirü- 1 (OUygh.), iriŋ 2 (Orkh., OUygh.)","iri- 1, iriŋ 2 (MK)","irin 2","ĭrĭ- 3, ĭrĭn 2","iriŋ 2","iri- 1, jiriŋ 2","ǯiriŋ 2","","irin 2","iriŋ 2","ĭrĭ- 1, 3, ĭrĭn 2","","iri- 3, iriŋ 2","","","ireŋe 2","ireŋe 2","iri- 1, iriŋ 2","","iri- 1, 3, iriŋ 2","ĭrĭ- 1, 3, ĭrĭn 2","irin 2","ĭrĭ- 3, ĭrĭn 2","irin 2","jirin 2","irin 2","iri- 1, 3, iriŋ 2","","","EDT 198, 233, ЭСТЯ 1, 372-374, Stachowski 128."
1687,"*Kögme",1075,"gum (of tooth)","десна","","","","","","","","","","","köŋme","kögbe (Mat.), köge (Kond.)","","","","","","","","","","","","","","","","","","VEWT 290."
1688,"*gekir-dek", 752,"throat, trachea, cartilage","глотка, трахея, хрящ","","","gegirtlek (dial.)","kikertäk (КСТТ)","kekirtek (MA)","kekirdak","keki(r)däk","","","kekirdek","","","","","kagъr","","","","","kekirtek","","kekirdevik","kigerläk (dial.)","","","","kegirdek","","","VEWT 248, ЭСТЯ 5, 26, Лексика 232. In many languages the word was influenced by the verb *gēkir- 'to belch'."
1689,"*Kạ̄sɨk", 991,"groin","пах","qasɨɣ (OUygh.)","","kasɨk","qasɨq","qasɨq (IM, R - Vam.)","","","","\IGasɨG\i","\IGāsɨq\i","","","","","xɨza","","","","","","","","qaϑɨq (dial.)","","","","","","","VEWT 239, EDT 666, ЭСТЯ 5, 331-332, Мудрак Дисс. 179."
1690,"*Koŋur-", 879,"to tear out, uproot","выдирать, вырывать","","qoŋur- (MK)","","","qoŋar- (Abush., Бор. Бад.)","","","","","","","","","","","xoŋun-, xoŋnor-","koŋor-","xuna-","","","","","","","","","","","","VEWT 281, EDT 640, ЭСТЯ 6, 65, Stachowski 152."
1691,"*Kun-", 922,"to rob, plunder, attack","грабить, нападать","qun- (OUygh.)","qun- (MK)","","","","","","q`un-","","\IGunuš-\i (dial.)","","","","","","","","xunā-","","qun-","","","","","","","","","","ЭСТЯ 6, 141, VEWT 300, EDT 632."
1692,"*bus",1370,"steam, fog","пар, туман","","\Ibus\i (MK)","\Ipus\i","","\Ibus\i (Ettuhf., CCum.)","","\Ibus\i (dial.)","","","","","\Ipus\i","","","pъʷs","","","\Ibus\i","\Ibus\i","","","\Ipus\i","boϑ","","","","","","\Ipus\i","VEWT 90, EDT 370, ЭСТЯ 2, 277, Лексика 34. Turk. > Russ. dial. bus 'drizzle, flour dust', see Аникин 146"
1693,"*jülük / *juluk", 383,"juice","сок","","","","","","","","","","","","","juluq, d́uluq, jülük","","","","","čuluq","","","","","","","","","","","","VEWT 212, EDT 927-928, ЭСТЯ 4, 266, Лексика 263-264. The root should be distinguished both from *jilik and from *julɨŋ (v. sub *làlè, *dilu), although all three tend to contaminate."
1694,"*jüŕ-",2631,"to peel off (skin), to skin","сдирать (шкуру)","","jüz- (MK)","jüz-","","","","","","","jüz-","","","","","","","","","","","","","","","jüz-","","","","","EDT 984, ЭСТЯ 4, 261."
1695,"*eŋse", 437,"back of the neck","задняя часть шеи","","","ense","","eŋse, äŋsä (Ettuhf.)","ensä","","","","jeŋse","","","eŋze","","ənze, jənze","","","","","eŋse","eŋse","eŋse","","","jensä","eŋse, ense","eŋse","","eŋse","ЭСТЯ 4, 190-191, Егоров 65, Лексика 237-238."
1696,"*sögül-",2104,"1 to roast meat 2 roasted meat, meat for roasting","1 жарить (мясо) 2 жареное мясо, мясо для жарения","sögül- 1 (OUygh.)","sögül- 1 (MK), sögüš 2 (MK Oghuz)","(dial.) sögür-, sövür-  1, söviš, sögüš  2","","sögül- 1 (AH), sögüš 2","","","","","sövüš 2","","","","","","üöl- 1","üöl- 1","","","","","","","","","","","","","EDT 821, 823, ЭСТЯ 7, Stachowski 251."
1697,"*julɨ-",1502,"1 to pillage, attack 2 thief, scoundrel","1 грабить, нападать 2 вор, бродяга, голодранец","julɨ- (Orkh., OUygh.) 1","julɨ- (MK) 1","","jolqɨš 2","","","","","","","čulɣus (Sag.), čulɣas (Koib., Kach.) 2","čulɣuš 2","","","","","","čul- 1","","ǯulu-š- 'to fight (of women)'","","","jolqoš  2","","","","","","","EDT 919. Should be separated from *jol- 'pick out' (v. sub *ńŏ̀lo)."
1698,"*sök-",2699,"to split, tear apart","разделять, распарывать, раздирать","sök- (Orkh., OUygh.)","sök- (MK)","sök-","","sök- (AH, IM, Abush.)","sọk-","sök-","","sök-","sök-","sök-","","sök-","","","","","sö`k-","","sök-","sök-","sök-","","sök-","sök-","sök-","sök-","","sök-","EDT 819, ЭСТЯ 7."
1699,"*sok-",2108,"to hit, beat, crush","бить, ударять, сокрушать","soq- (OUygh.)","soq- (MK)","sok-","suq-","soq- (Pav. C., Abush.)","sọq-","soq-","soq-","","soq-","sox-","soq-","soq-","","sъʷx-","oɣus-","ogus-","soq-","so'q-","soq-","soq-","soq-","huq-","soq-","","soɣ-","soq-","","","EDT 805, Лексика 396, ЭСТЯ 7, Stachowski 190. Homonymous *sok- 'to pierce, stick into' and *sok- 'to weave, knit' (see ЭСТЯ ibid.) may represent originally different roots."
1700,"*us",1867,"1 mind, reason 2 way of using smth.","1 ум, рассудок  2 способ использования чего-л.","usuɣ ( ~ o-) 2","usuɣ ( ~ o-) 2 (MK), \Ius\i 1 (MK - Oghuz)","\Ius\i 1","","\Ius\i 1 (Pav. C.)","","","","","\Ios\i 1, \Ios-\i 'to think'","","","","","ъʷs 1","","","","","","","","","","","\Ius\i 1","","","","EDT 240, 245, ЭСТЯ 1, 606-607."
1701,"*dɨm-",2271,"1 to be silent 2 silently","1 умолкать 2 молча","","","","töŋ-köš 'silent person' (КСТТ)","tɨn-  1 (Буд. - Кальк. сл., MKypch. - Ettuhf.)","","","","","dɨm- 1","tɨmɨl- 1, tɨm 2","","tɨm- 1, tɨm 2","","tamal- 2 (with aberrant vocalism)","","","","","tim, tɨm 2","tɨm 2","","dɨm- 1","","","","tɨm 2","","","VEWT 478, ЭСТЯ 3, 340-341."
1702,"*Abuč-ka",  46,"1 husband, old man 2 foster-mother 3 elder sister 4 uncle","1 муж, старик 2 кормилица 3 старшая сестра 4 дядя","avɨčɣa, abučɣa 1, abučqa 2 (OUygh.)","avɨčɣa 1 (MK, KB)","abuš 3 dial.","abušqa, awucqa 1 dial. (Sib.)","abušqa, avušqa 4 (Abush., Sangl.)","","","","","","apsax, apčax, Koib. abɨsqa 1","apšɨj 1, apšaq 'bear'","apšɨjaq 1; 'bear'","","obaška","","","ašaq 1","ašɨńaq 1","abɨšqa 1","abɨšqa 1 dial.","","abɨšqa 1","","","","","","","ЭСТЯ 1, 60-61, EDT 6, Егоров 274-275, Федотов II 282, Аникин 72. Chuv. is not quite regular and may be an early loanword from Tat. Formally the Turk. word may be derived from *aba 'elder in the mother's line' (+ dimin. -č)."
1703,"*bākana", 104,"1 sheep skin 2 lamb 3 baby","1 овечья шкура 2 ягненок 3 ребенок","","","baɣan 1, (dial.) baɣalak, baɣnak 1, baɣana 3","","baɣana 1 (R)","baɣana 1 (Khor.)","","","baɣana 1","baɣana 1","","","","","","","","","","baɣlan, baɣɨlan 'lamb that has stopped suckling', baɣɨldɨr 'wild lamb, 1-year-old mountain goat'","baɣana 2","","","","","","baɣlan 'a well-fed early lamb'","","","VEWT 55, Лексика 390. The Kypchak form baɣlan 'lamb' has hardly anything to do with  Tat., Kaz. baqlan 'cormorant'  (despite TMN 2, 298, Аникин 112)."
1704,"*orman",1865,"forest","лес","orman (OUygh. late)","","orman","urman","orman (Pav. C.)","ọrman","","","","ormon (dial.)","","","","","vъʷrman","","","","","ormon","orman","orman","urman","orman","","orman","orman","ormän","orman","ДТС 371, ЭСТЯ 1, 472-473."
1705,"*bōr-",1658,"a k. of plant or tree","вид дерева или растения","","","","","","","","","","bōrǯaq 'эфедра'","","","borsuq 'yew'","","","borū 'хвощ'","","","","boruq 'small reed'","","","","","","","","","",""
1706,"*b(i)ar-k", 135,"1 house 2 home, household","1 постройка, здание 2 дом, имущество","barq 1, 2 (Orkh., OUygh.)","barq 1, 2 (MK, KB)","\Ibark\i 2","","barq 2 (Sangl., Pav. C.)","barq 1","","","barɨ 'fence'","","","","","","","","","","","","","","","","","","","","baru 'fence'","EDT 359-360, VEWT 63, 66, ЭСТЯ II 62. \IBark\i is traditionally linked with bār 'there is', barɨ 'belongings', but cf. the Az. word which can be hardly explained in this way."
1707,"*Kaj-", 475,"to pay respect","относиться уважительно","qaj- (Yenis., OUygh.)","qaj- (MK)","kajɨr-","","","","","","","","xaj-","","","","","","","xaj dēr 'to still, pacify'","","qajɨš-","qajɨs-","","","","","","","","","EDT 674, ЭСТЯ 5, 194."
1708,"*K(i)ā(j)nat", 764,"flap (of door), wall (of yurt)","створка (двери), стена (юрты)","","","kanat","","qanat (Pav. C.)","qɛnɔt","","","\IGanat\i","\IGānat\i (dial.)","xanat","","qanat","","śonat 'карниз, застреха'","","","","","qanat","qanat","","","","","","qanat","","","ЭСТЯ 5, 252-253, Лексика 504, Ашм. XII, 246. The root should be kept distinct from *Kājnat 'wing'."
1709,"*Konč",1103,"top(s) of boots","голенище","","","konč","qunɨč","qonč (AH)","qụnǯ","qonǯa","qaŋč","\IGunǯ\i","\IGonč\i","","qoš","qonč, qonɨč","","konǯa","","","xonču","","qonč","qonɨš","qonɨš","","","qonč","qonč","qonɨš","","xonč","ЭСТЯ 6, 58-59, Федотов 1, 308."
1710,"*gEne", 497,"again, also, however","снова, также, однако","","kene (MKypch.)","\Igene\i","","","","","","gänä","","","","","","","","","","","","","","","","","","","","","ЭСТЯ 4, 115."
1711,"*Küĺül", 804,"1 rat 2 mole","1 крыса 2 крот","","","","köšöl (dial.) 1","","","","","","","küzəl 2","","küžül 2","","","","","","","","","","köšöl 1, 2","","","","","","","ЭСТЯ 5, 155. Turk. > Kalm. küšl (KW 248)."
1712,"*dabul",2212,"storm, strong wind","буря, сильный ветер","","","(dial. ) daɣɨl","dawɨl","dawul (Pav. C.)","","","","","dowul","","","tōl (dial.)","","tъʷvъʷl","tɨal","tɨal","","","dobul, dōl","dawɨl","dawɨl","dawɨl","","","tawul","dawɨl","","","VEWT 476, Лексика 46-47, Stachowski 236-237."
1713,"*dīri-",2252,"1 to live  2 alive 3 to revive","1 жить 2 живой 3 оживать","tirig 2, tiri-l- 3 (Orkh., OUygh.)","tirig 2, tiri-l- 3 (MK, KB)","diri 2, diri-l- 3","tere, terek 2","tiri (Abush.), tirik, tirig (Sangl.) 2, tiri-l- 3 (Sangl.), (MKypch.) tiri1 (AH)","tirik 2","tirik 2","terik 2","diri 2, diri-l- 3","dīri 2","tərəg 2","tirig 2, tiri-l- 3","tirü 2, tiri-l- 3","","čərə 2","tilin- 'to revive'","tillĳ- 'to revive'","dirig 2, diri-l- 3","dirig 2","tiri, tirik, tirǖ 2, tiri-l- 3","tiri 2","tiri 2","tere 2","tiri 2","diri 2","tiri 2","tiri 2","","tiri 2","VEWT 481, EDT 529, 543-544, 547-548, ЭСТЯ 3, 240-242, Егоров 324, Федотов 414, Stachowski 223."
1714,"*Ērig", 466,"rough, large","грубый, крупный","erig (OUygh.) 'wild'","erig (MK) 'lively, energetic'","iri","ĭrĭ","iri (Бор. Бад.), irik (Бор. Бад., Pav. C.), erig (Qutb.)","jirik","irik, jirik","","iri","īri","","","","","","","","","","iri","iri","iri","ĭrĭ","","","iri","iri","","","EDT 221, 222, ЭСТЯ 1, 371-372. Modern languages reveal a secondary vowel narrowing. Turk. > Hung. öreg."
1715,"*Kɨt", 857,"not enough, insufficient","недостаточный, скудный","","","kɨt; kɨtlɨk 'Ungenügendheit, Hungersnot'","","qɨt (AH, IM)","","qitiɣir 'miserly'","","\IGɨt\i","\IGɨt\i","","qɨtɨj 'miserly'","","","xədəx 'compulsion'","","","qɨdɨɣ 'oppressed'","","qɨdɨq 'dwarf', qɨtɨj- 'secretive', qɨtɨraj- 'lean and small'","qɨtɨqtan- 'to be offended'","qɨt","qɨtlɨq 'hunger' (dial.)","qɨt","","qɨt","qɨt","","qɨt","VEWT 268, ЭСТЯ 6, 252."
1716,"*jạpɨtak",2605,"without saddle","без седла","","jabɨtaq (MK)","japɨldaq (dial.)","","","","jawdaq","jabɨtaq","","japbɨllaq","čabdax","čabɨdaq","d́abɨdaq","","","sɨbɨdax","","čawɨdaq","","","","","","","jalburdaq","","","","","EDT 873, ЭСТЯ 4, 49-50."
1717,"*TAdgun",2234,"a k. of big river","большая, непересыхающая сезонно река","","taδɣun (MK)","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 453: Clauson suggests a reading toδɣun (deriving the word from toδ- 'fill'), but there is no waw in the text."
