NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
2019|*xuda|1111|1 to buy, hire 2 to lend 3 trade 4 to trade, barter|1 покупать, нанимать 2 одалживать 3 торговля 4 торговать|udi- 2|||uda- (1409)|uda- 1|xu-da-sia-maj (418) 4|ꭓụda 3||ꭓuda 3||||ТМС 2, 248, 1, 467-468 (with many interdialectal borrowings). Man. > Dag. xudā, xuda- (Тод. Даг. 179).
2020|*kakti-|707|to give out a smell of burning|пахнуть горелым, пригорать|||kaktị-||ꭓaqsa-||qaqta-|qaqtụ-|qaqtarị (adj.)||kakčisi-||ТМС 1, 364.
2021|*(x)upara-|1576|to neglect, mistake|ошибаться, упускать из виду||||ufarə- (1761)|ufara-||||||||ТМС 2, 295. Attested only in Manchu, with possible external parallels.
2022|*pep-|1746|1 locust 2 earth-worm|1 саранча 2 земляной червь|||||febsexe 1, febǵe 2||||||||ТМС 2, 304. Attested only in Manchu, but having probable external parallels.
2023|*xapina(bu)|973|wasp, bee|оса, пчела|||||||ꭓapuna|ꭓapịnawụ(n)||xapinu|afuna`u (Корм. 209)||ТМС 1, 462. Cf. also Evk. awawa 'butterfly' (ТМС 1, 8).
2024|*kiakp- / *kiapk-|792|1 crayfish 2 tick|1 рак 2 клещ||||||||qêqparị 1||kǟpi 2|käfi 2 (Корм. 247),  keäfi 2||ТМС 1, 388.
2025|*xusa-kta|1052|milt, roe|молоки|uhakta (dial.)||ōsakta||usata||ꭓosaqta||ꭓosaqta||wahakta (Корм. 218),  wajakta||ТМС 2, 295.
2026|*kuči ( ~ -š-)|936|1 sausage (made of bear's intestine fat) 2 large intestine|1 колбаса (из околокишечного жира медведя) 2 толстая кишка|kuči 1||||||||qočị 2||||ТМС 1, 441.
2027|*keli|755|1 relative-in-law 2 girl, sister|1 свойственник, -ца 2 девушка, сестра|keli(n) 1, kiliwlī 2|keli 1|keli 1, kelewlị 2||keli 1||keli(n) 1|keli(n) 1|keli 1|keli 1|||ТМС 1, 393, 446.
2028|*koŋga|880|deaf|глухой|||koŋgo||||qoŋGo|qoŋGo|qoŋGo|koŋgo||xoŋgō|ТМС 1, 471. TM > Dag. xongō, kongō (Тод. Даг. 177).
2029|*keŋi-|767|to bite, gnaw|кусать, глодать|keŋi-||kēŋi-||||||keŋne-||||ТМС 1, 450.
2030|*xebe-|993|1 bay 2 lake|1 залив 2 озеро|ewerēn 1||ewejen 2||||xewe(n) 2|xewere(n) 1|xewẽ 1, 2|\Iewe\i 1|\Iewe\i 1||ТМС 2, 436. Cf. also Ul. ꭓawa(n) 'bay' (ТМС 1, 457).
2031|*xaču-kan|984|kettle|котел|||||ꭓačuꭓan, ꭓančuꭓan||ꭓačoa(n)|ꭓačụɣa(n)|ꭓačoꭓã|xačua(n)|||ТМС 1, 464-465.
2032|*lebge-|1193|to eat greedily|жадно есть|||lebge-||||legbe-||legbeči-||legbe-||ТМС 1, 514.
2033|*lāk-|1184|a k. of plant (with flowers and edible root)|вид растения (с цветами и съедобным корнем)||||||||lāqa 'рогоз широколистый'|lāqa 'рогоз широколистый'|nakki 'назв. растения (травянистого, с длинными узкими листьями и синими цветами, со съедобным корнем)'|nakki 'назв. растения (прибрежной морской полосы, со съедобным корнем, напоминающим по вкусу брюкву)'||ТМС 1, 487, 579.
2034|*lip-če|1208|spleen|селезенка||||||||lipče|||||ТМС 1, 499.
2035|*nirge- ( ~ -ü-)|1491|1 buckwheat 2 selfheal 3 young grass 4 a k. of swamp plant 5 burdock|1 гречиха 2 черноголовка 3 молодая трава 4 вид болотного растения 5 лопух|nirgēkte 2, 3|ńiergēt 4|nidgēkte 5|||||||||nirgē 1|ТМС 1, 599-600. TM > Dag. nirgēs 'grain' (Тод. Даг. 158).
2036|*nōdi|1506|beautiful, handsome|красивый|nōdi|\Inod\i|noditi||||ńōdụ-|nōdị|||||ТМС 1, 603.
2037|*lab- / *leb-|1167|1 antler 2 rags 3 to wear out, be worn|1 отросток оленьего рога 2 лохмотья 3 изнашиваться|lawā 1, lewgī- 3|nēwun 1, nebdъ- 'to tear out, wear out'|||||lebeke, lebeli 'old cotton cloth'||leber 2||||ТМС 1, 485, 518, 615. TM > Dag. lawā 'branch' (Тод. Даг. 152).
2038|*nelme-|1397|upper garment, coat|кафтан, верхняя одежда|nelmekēn||||||||||||ТМС 1, 620. Isolated in Ewk., but having possible external parallels.
2039|*manda-ksa|1253|elk|лось|mandaksa||mandaksa||||||||||ТМС 1, 527.
2040|{*mi(a)rē-}|1305|to marry|жениться, выходить замуж|mirē-|mierъn-|mĳēn-||||miren-|mīren-|marin- (dial.)||||ТМС 1, 538-539.
2041|*miči-|1297|to move, move back|подвигаться, придвигаться; отодвигаться|miči-|mịt-/č-|||||||mịčị-||||ТМС 1, 539.
2042|*lap-|1188|1 to insert, press between branches 2 poles with bifurcation 3 vertical, sticking out 4 branch inserted between two branches (a road sign)|1 вставлять, впихивать между ветками 2 раздвоенные жерди 3 вертикальный, торчащий 4 ветка, вставленная между двумя другими (дорожный знак)|lapki-, lapku- 1, lapki, lapku 4|nāpqъ̣- 1|||||lapam 'зацепившись'|lapa(n) 2|lapa 3|lapam 3|||ТМС 1, 493.
2043|*lāta|1190|1 storm 2 wave|1 шторм 2 волна||||||||lāta 1|lāta 2||||ТМС 1, 495.
2044|*loŋ-|1215|butterfly|бабочка|||||||||||loŋto||ТМС 1, 504. Attested only in Ud., with possible external parallels.
2045|*lopi(gi)|1225|squirrel nest|беличье гнездо|lopi (dial. lokī)||lōbị||||logbụ||lōbị||loi||ТМС 1, 505. Length in Nan. is compensatory.
2046|*mōmańa|0|1 large intestine 2 sausage (filled with fat)|1 толстая кишка 2 колбаса (наполненная салом)|mōmańa|mōmịna|||||||||||ТМС 1, 544. Cf. Yuk. Tundr. muominej 'id.' (Veenker 526).
2047|*muktu-|1362|1 short-tailed mouse 2 mole|1 короткохвостая мышь 2 крот|||muktuj 1||muqdun, muqtun 1, 2|||muktuli 1, 2|muktur 2||||ТМС 1, 552.
2048|*meŋ-|1281|1 to hurry 2 to run around (of a dog) 3 to run (of cattle)|1 торопиться, спешить 2 бегать (о бродячей собаке) 3 резвиться (о скоте)|meniw-, meŋiw- 1|\Imen-,\i \Imenu-\i 1, munŋъn- 2|||muŋre-, muŋgire- 3||||||||ТМС 1, 556-557, 569. Cf. also Evn. All. maŋdị- 'to trot'.
2049|*mune-|1326|1 skin, fur (from deer's feet) 2 to pad skis with skin, fur 3 fur clothes|1 шкурка, мех (с ног оленя) 2 подбивать лыжи шкуркой, мехом 3 меховая одежда|munekse 1|munъs 1, muni- 2, munek 3|||||munekse 1|muneske 1, munesi- 2|munekse 1||||ТМС 1, 557.
2050|*leKu (/ *laKu)|1174|1 warm cotton trousers 2 deerskin footwear 3 slippers|1 теплые ватные штаны 2 обувь из оленьей шкуры 3 тапочки|leke-mī, loko-mī 2||loxomị̄ 2||laqu 1||lēmi 3|lemi-le- 'to wear shoes'|lēmi 3||lexeme 3||ТМС 1, 488, 516.
2051|*naKita|1393|bear skin|медвежья шкура|nakita|naqъ̣t|naxata|||||natta|||na`ta (Корм. 265)||ТМС 1, 579.
2052|*ǯugde-n|2606|alder|ольха|ǯugden|ǯȫdēkeɣ, ǯogdakaɣ|ǯugdēn||ǯuqden, ǯekde 'a k. of tree'|||ǯuegde||ǯugde(n)|ǯugde(n)||ТМС 1, 269.
2053|*ner- ( ~ ń-)|1438|larch|лиственница||ńermi|||||||||||ТМС 1, 654. Attested only in Evn., with possible external parallels.
2054|*nir- ( ~ ń-)|1458|1 a k. of poplar 2 brushwood|1 тополь-чернотал 2 хворост||ńirāwi 1, ńịrgụqị 2|||||||||||ТМС 1, 639. Attested only in Evn., with probable parallels in Kor. and Jpn.
2055|*sergu- ( ~ -ǯ-)|1971|wild garlic|дикий чеснок|||||seǯulen||||||||ТМС 2, 137. Attested only in Manchu, with probable cognates in Turk. and Mong.
2056|*ńibē-kte|1449|1 bush growing near the water 2 dwarf birch tree 3 horse-tail 4 fern|1 заросли кустарника, мелкий тальник 2 карликовая береза 3 хвощ 4 папоротник|niwēkte 1, 2, dial. niwekte 3|ńīwekēw 2|ńīwekte 2|||||ńīwekte 2|||niekte 4||ТМС 1, 589, 601.
2057|*ńim- / *ńum-|1468|1 shame 2 shameless 3 awkward 4 weakness, sickness 5 to weaken, be exhausted, sick 6 to be sorry, sad|1 стыд 2 бесстыжий 3 неловко, неудобно 4 слабость, болезнь 5 ослабевать, истощаться 6 печалиться, грустить|ńumu 4|ńụmъ̣r 1, ńụm- 5|ńomụ- 5|nimə- 5 (713)|nime- 5||ńimeremdi, ńumeremǯi 2, ńumursi- 6||ńịmorịǯị, ńomorị 3||||ТМС 1, 596, 645, 646.
2058|*ńeru / *ńiru|1520|1 gland 2 spleen|1 железа 2 селезенка|ńerun (dial. ńaru, ńiru) 1, 2|ńiruń 1|||||||||||ТМС 1, 654.
2059|*ujKam|2496|1 mountain ram 2 a k. of horned animal|1 горный баран 2 вид рогатого животного|ujam 1|ụjama 1|ojamka 2||wejxen 2||||||||ТМС 1, 299, 2, 251.
2060|*oji(ki)|2500|thigh coverings, trousers|наголенники, штаны|||||||ojị||ojị̃, dial. ojị̈kị||wa`ipti, wa`ikti (Корм. 217)||ТМС 2, 8.
2061|*okta|1563|medicine, powder|лекарство, порошок|||okto|oqətə 'medicine, drug' (723)|oqto||oqto|oqto|oqto|okto|okto||ТМС 2, 11.
2062|*xońi-|1121|sand, dirt|песок, грязь||ońịŋ||||||xoŋoqto||ońokto|ońokto||ТМС 2, 20.
2063|*xōri-kta|1132|excrements (of deer)|помет (оленей)|ōrikta|ōrịt||||||xorịqta|||||ТМС 2, 23-24.
2064|*orā-kta|1585|grass (dry), hay|сухая трава, сено|orokto, orōkto|orāt|ojokto|orəhə 'grass' (2130)|orꭓo|or-ɣo (116)|orꭓoqta|oroqto|oroqta|ōkto|ōkto|orōkto|ТМС 2, 24.
2065|*ure-|2533|1 to grow 2 sprout 3 bush|1 расти  2 росток 3 куст|uruktu 3||||ursan 2|uru-xe 'ripe' (539)|||ure- 1, urekte 2||||ТМС 1, 323, 2, 286, 287.
2066|*pal- ( ~ -ā-)|1724|1 to have relations with 2 relationship, friendship 3 quarrel, contest 4 to quarrel|1 заводить связи, сближаться 2 связь, дружба 3 ссора, спор 4 ссориться|||||fali- 1, falin 2||pālị 3|pālị 3||palimači- 4|||ТМС 2, 33.
2067|*pos-|1688|1 to burst, break out 2 through|1 лопаться, раскалываться 2 насквозь|||||fusxu- 1||pos 2|pos 2|pos, fos 2||||ТМС 2, 42, 358.
2068|*siaKu-|2047|loop, hinge|петля (на окнах, дверях)|||||||śaqụ(n), sē̂ꭓụ(n)||sịoꭓor||||ТМС 2, 57. The nature of the intervocalic velar is unclear.
2069|*sanǯika|1912|nose ring|серьга, кольцо, кляп (в носу)|||||sančiꭓa||sanǯaꭓa||sanǯaꭓa|sanǯaꭓa, sanǯiꭓa|sanǯehä||ТМС 2, 61.
2070|*sēn|1980|needle hole|иголочное ушко|sēn|hē(n)|sēn||\Isen\i||\Ise(n)\i|\Ise\i|\Isē̃\i||sie||ТМС 2, 142.
2071|*saŋa-|1910|hole, crack|дыра, отверстие|saŋār|haŋār|saŋā|saŋə 'cave' (2361)|saŋGa||saŋGalị|saŋGa|saŋGar|saŋa|saŋa|saŋār|ТМС 2, 62.
2072|*suru|2573|cave, lair|пещера, логово|suru|hör|||||||||||ТМС 2, 130.
2073|*serge-|1951|1 gills 2 nose bone|1 жабры 2 кость (носовая)|sergekte 1||||||||seǯurẽ 2 (Kur-Urm.)||||ТМС 2, 143, 145.
2074|*supti-|2059|1 to leave behind 2 to stay behind|1 оставить позади 2 отстать, остаться позади|supti- 1|hụptụ- 2|||||||||||ТМС 2, 128-129.
2075|*sub-|2142|1 to tie, bind 2 string, rope 3 harness strap 4 mouthpiece|1 увязывать 2 лента, тесьма 3 ремешок (у лямки-упряжи) 4 мундштук|suptilgi 2|huhtiŋ 2, (Arm.) sovar 3|soptịn- 1||subexe 2||supsien- 1, sụptaŋGị 2, soi 4|sū- 1|sopsịn- 1, soptaŋGị 2|supti(n) 2, soị 4|||ТМС 2, 114, 116-117, 129.
2076|*surka|2140|fang|клык|surka|hụrqъ̣|sojka||sučun wejxe||sụča|sụtta|soịqa|sokka|suka||ТМС 2, 130.
2077|*sebe|1949|1 inner fat (of animals) 2 to melt fat|1 внутренний жир (животных) 2 вытапливать жир|sewen 1, sewe- 2|hewje 'one of bear's names'||||||seɣine 1||sewe- 2|sewesi- 2||ТМС 2, 135.
2078|*tabu-|2327|fur footwear|меховая обувь|tawur, taubun|tēwun|||||||toa-ma `a k. of footwear made of fish skin' (Он.)||||ТМС 2, 149, 171. TM > Dolg. tēbin 'leichte Hausschuhe' (Stachowski 221).
2079|*tarmī|2316|a k. of duck|вид утки|tarmī||tajmị̄||tarmin ńexe||tarmị||tarmị|taumǟ|taumä||ТМС 2, 169.
2080|*ter-|2349|falcon, hawk|сокол, ястреб||tērŋa, terŋē|||||||||||ТМС 2, 239.
2081|*tüla-|2400|1 to become exhausted 2 to stop growing, weaken 3 to miss time, opportunity|1 истощаться, обессилевать 2 остановиться в росте, захиреть 3  упускать время, просрочивать|tila- 1|tịl- 2|||tuli- 3||||||||ТМС 2, 180, 210. Man. > Dag. tuli- 'to miss' (Тод. Даг. 169).
2082|*tiru-kse|2407|fish roe|икра|tirukse, tirēkse|tīs|tise||čerguwe, čerxuwe|||tersu 'нерестилище'|||||ТМС 2, 189. Sol., Ul. turse < Mong.
2083|*tirga ( ~ -ü-)|2375|midday|полдень, днем|tirga|tịrgъ̣n|tịdga|||||||tigga|||ТМС 2, 186-187.
2084|*tōlga-|2442|1 to stop 2 to collide|1 останавливаться 2 сталкиваться|tōlga- 1|||||||toldoqpịn- 1, 2|||||ТМС 2, 194. TM > Dag. tōlgā- (Тод. Даг. 167).
2085|*duŋ-|2274|coeval|сверстник, ровесник|||||duŋGami||||||||ТМС 1, 224. Attested only in Manchu, with possible external parallels.
2086|*tēl-|2358|to sober up, come to one's senses|протрезвиться, опомниться|tēl-|tel-||||||tēli-|||||ТМС 2, 231.
2087|*tēmu|2360|1 raft 2 boat|1 плот 2 лодка|tēmu 1|tem 1|tem 1||temčiku 2||temu(n) 1|temu 1|temu 1, temčiẽ 2|temmu 1, temtiɣe 2|temtige 2||ТМС 2, 234.
2088|*teŋ-|2344|to flutter, shake, wave; throw; jump|колыхаться, трястись; бросать; прыгать|||||teŋgelǯe-, teŋki-, teŋne-|tiŋ-da-mai 'to release' (400)|||||||ТМС 2, 236.
2089|*teke-|2339|to tear, burst|рвать, лопаться|tekē-|tъkъk-, tъkъl-|||||tekē-||tekē-||||ТМС 2, 230.
2090|*tērī|2363|1 couple, pair 2 equal|1 пара 2 одинаковый|tērī 1|tēri 1|tējī 1||||||terini 2|tējī 1|\Itie\i 1||ТМС 2, 239.
2091|*xuK-|1135|1 to peel (bark, rind) 2 peels, rind|1 сдирать (кору) 2 корка, кожура|uk- 1|ụq- 1|oklī- 1||||ꭓoGdịqta 2|||uki- 1|ukki- 1||ТМС 2, 253.
2092|*xuǯük|1154|1 urinary bladder 2 anus|1 мочевой пузырь 2 anus|uǯik 1|uǯik 1|uǯix 1||||xuǯu 1|xudu(ɣū) 1|xuǯũ 1|||uǯixi 2|ТМС 2, 250.
2093|*ulī-|2511|1 to row 2 oar|1 грести 2 весло|ulī- 1, ulīwun 2|ụlịn- 1, ụlịwụn 2|olịn- 1||||||ulbe(n) 2||ulimagda 'big delved boat' (Корм. 301)||ТМС 2, 258, 260.
2094|*xum-|1144|lean, weak|тощий, слабый|umdān|ụmnakụ|||||ꭓomdo(n), ꭓụmdụ(n)|ꭓụmana|xumdu|umana||ụminā-|ТМС 2, 267.
2095|*umī-|664|to gather|собирать(ся)|umīw-|ụmịw-|||iḿa-||ụmụčị-|ụmmụ-|omō-|umu-|ūmu-||ТМС 1, 312, 2, 267-268.
2096|*(x)unda-|2525|1 sinew on the back 2 belt|1 спинное сухожилие 2 пояс|unā 1|äinapin 'украшение на переднике'|ōnan 1, ońapun 2||unda 1||||||||ТМС 2, 18, 273, 458.
2097|*unde(ken)|2527|1 board 2 horizontal pole in the house 3 house covering|1 доска 2 горизонтальная жердь в доме 3 покрышка чума|une, unekēn 3|unen 'dwelling place', dial. unipkin 2|||undexen 1|||une 3|undexẽ|uńi 3|wanehä 2|unexē̃ 3|ТМС 2, 273, 274, 276. Evk. > Dolg. ünēkēn (see Stachowski 250).
2098|*upa|626|adze|долото, тесло|||||efexun||||ofali, ufali|upa|||ТМС 2, 280-281, 471.
2099|*uru-|672|to enjoy, be merry|радоваться, веселиться|urūwsī-|örus-||uruxun 'joy' (1929)|ur-gun 'joy'|wur-hul-ǯe-rie (372)||uru-lǯini-||||urun-|ТМС 2, 288. Man. > Dag. urgun 'joy' (Тод. Даг. 171).
2100|*xutu-|1152|to itch|чесаться, зудеть|utuni-|ụtụń-|otoxon-||||ꭓotụrsị-||ꭓotorsị-|xutunsi-|utunihi-||ТМС 2, 294-295.
2101|*kuši-pun ( ~ -č-)|862|pole, lever|жердь, вага|||||||kuspu(n)||kučipũ||||ТМС 1, 439.
2102|*xušī- ( ~ -č-)|1127|to twist, roll, entangle|мотать, запутывать|učī-|ụč-|oč-||||ꭓočịa-|ꭓụtčị-|ꭓočị-||usi-||ТМС 2, 296.
2103|*xesi-n|1017|string in net edge|веревка, стягивающая сеть||||xešən, xesən 'brim; strap' (2606)|xešen 'edge (of net etc.)'||xesi(n)||xesĩ|xesi(n)|||ТМС 1, 483.
2104|*kosi-|838|1 to enclose 2 enclosure 3 to graze|1 огораживать 2 заграждение 3 пасти||kös- 1, köstiŋ 2, kösči- 3|||||||||||ТМС 1, 420. Attested only in Evn., but having plausible Turkic and Mongolian parallels.
2105|*xasu-|982|1 net, trap 2 to fish|1 сеть, ловушка 2 ловить рыбу||||asə 1 (664)|asu 1||ꭓasčụ- 2||||||ТМС 1, 464.
2106|*kulbuka|869|hub|втулка|kulbukā (dial.)||||||||||||ТМС 1, 428.
2107|*tiar-|2383|to melt (fat), roast|топить (жир), жарить||tǟr-|tē̂j-|čarə- (382)|čaru-|||čịrụ-|čịro-|tiru-|||ТМС 2, 173.
2108|*taŋgu|2305|hundred|сто|||taŋgụ|taŋə (2781)|taŋgu|tan-gu (663)|taŋGụ|taŋGụ|taŋGo|taŋgu|taŋgu|tangu|ТМС 2, 163.
2109|*saKV|1895|1 dried (of meat, fish) 2 salt|1 вяленый (о мясе, рыбе) 2 соль|||||saqa 1||||||sa`i 2 (Корм. 280)||ТМС 2, 54, 55.
2110|*pialakī|1781|partridge|куропатка|hē̂lakī|hǟlịkị|xē̂laxị̄||f́eleŋku||pē̂la||||||ТМС 2, 320.
