NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
1275|*vanḍ-|to taste|885|vanḍa (vanḍi-) "to taste; n. act of tasting"||vwandali|wandinai|||vaṇḍ- (-it-)|||vaṇḍ- (-it-)|Also Kui pl. action \Ivaṭka\i (\Ivaṭki-\i)||5240
1276|*vanǯ-u (pl. *vaska)|finger|886|vanju (pl. vaska) "finger, toe, thumb"||vwānjū (pl. vwāska)|wansu (pl. waska)|vanju (pl. vaska)|veṛma||||vanju (pl. vaska)||In Kuwi̲S \Ivansu\i is irregular, probably modified by the influence of plural forms. However, the form in Kuwi̲P is even more strange. Both the vowel and consonant correspondences here are unique, and it is justifiable to doubt the original character of the word. It could be borrowed from some SDR dialect.|5409
1277|*varʔi|only; empty|887|vari "only"||vwāri "empty"|warāni kīnai "to empty"|var'i "empty"|||||varʔi "only"|Also Kuwi̲F \Ivwarari kīali\i to empty; \Ivwaraiyi aiyali\i to be empty||5513
1278|*vars-|(water) to boil|888||||||varhk-|||||||5326
1279|*vaṛt-a|a snare|889|vaṛta||||||||||||5229
1280|*vah-|to fry|890|vahpa (vaht-) "to fry, grill"|||wah'nai "to fry, broil"|vah- (vast-) "to fry, roast"|||||vah- (vast-)|||5325
1281|*vaṭ-|bereaved of husband or wife|891|vaṭa||||||||||||5219
1282|*vaṭ- (*-ṛ-)|to shake (tr.), shake out, beat the wings|892|vaṛpa (vaṛt-), vaṭpa (vaṭt-)||||||||||||5303
1283|*vajnd(o)R-i|tongue|893|vangosi|vaŋgosi, vanjus|vendōri||vendori|vendori||||vendori|Also Kuwi̲W \Iwenḍori\i tongue|The \I-y-\i is reconstructed because of vocalism correspondences, thus making clear that the word is indeed an old (dating back to CDR, in fact) derivative of PDR \I*vāy-\i 'mouth', although the second component is unclear.|5470
1284|*vaŋ- (caus. *vak-)|crooked; to bend|894|||vwāngali "to be crooked"|wanginai "to be bent, stoop"|vaŋg- (-it-) "to bend (intr.), be bent"|||||vaŋg- (-it-) "to bend (intr.), be bent"|Also Kuwi̲F \Ivwakhali\i to bend; Kuwi̲Su, Kuwi̲Isr \Ivak-\i (\I-h-\i) to bend (tr.)||5335
1285|*vā-|to come|895|vāva (vāt-; imp. vāmu, va) "to come, approach; n. coming, approaching"||vwaiyali (vwat-)|wā'nai|vā- (-t-)|vā- (-t-)||||vā- (-t-)|||5270
1286|*vāh-|tired|896|vaha (vahi-) "to be tired, exhausted, tire, faint; n. weariness, exhaustion"||vwahali "to be tired"|wahinai "to be tired"|vāh- (-it-) "to be tired, become tired"|||||vāh- (-it-) "to be tired, become tired"|Also Kuwi̲Isr \Ivāhu\i weariness||5215
1287|*vāḷ-|to peel|897|vālba (vāṭ-) "to peel, pare; n. act of paring"|||||||||vāḍ- (-it-)|||5378
1288|*vānǯ-|to chip off, smooth by chipping, shave down|0|vānja (vānji-)||||||||||Also Kui pl. action \Ivāska\i (\Ivāski-\i)||5340
1289|*vār-|to be wearied, tired, cramped after exertion|1341|vāra (vāri-)||||||||||Also Kui pl. action \Ivārka\i (\Ivārki-\i)||5272
1290|*vār-u|stream; flood|898|vāru (pl. vārka) "water-channel, stream, torrent"|||||||||vāru "flood"|Also Kuwi̲Isr \Ivarda pīyu\i torrential rain. Kui form taken from 5356||5323
1291|*vāj-|to wither, dry up|899|||vwārali "to wither"||vāy- (-it-) "to dry up, (flowers) to fade"|||||vāy- (-it-) "to become dry, wither"||Kuwi̲F form borrowed from Telugu.|5342
1292|*vāŋ- (caus. *vāk-)|to leak, flow|900|vānga (vāngi-) "to leak, percolate; n. leak, percolation"||vwāngali "to leak"|wānginai "to leak"|vāŋg- (-it-) "to flow, be poured"|||||vāŋg- (-it-) "to leak"|Also Kui \Ivāpka\i (< \Ivāk-p-\i; \Ivākt-\i) to cause to leak, pour out from a small opening, sow in drills; n. sowing in drills; Kuwi̲F \Ivwākhali\i, Kuwi̲S \Iwākh'nai\i to pour; Kuwi̲Su, Kuwi̲Isr \Ivāk-\i (\I-h-\i) to pour||5334
1293|*vec-|to say, tell|901|vespa (vest-) "to say, speak, tell; n. saying, speech, word"||vessali (vest-) "to tell"|weh'nai "to speak, say, tell"|veh- (vest-) "to say"||||vespu "speech"|veh- (vest-) "to tell"|||5514
1294|*ve-[-s-]|hot; cooked|902|vēva (vēt-) "to be cooked, well cooked or boiled, (forest) to be fired, burned"|ve- (-t-) "to be burnt"|veyali (vet-) "to catch fire"|weh'nai "to oppress"|veh- (-it-) "to be hot"|||||vēh- (vēst-) "to become hot"|Also Kui \Iveha\i cooked rice; \Ivehpa\i (\Iveht-\i) to be hot (liquids, cooked food); Kuwi̲F \Ivehini\i hot; Kuwi̲S \Iwespini\i, \Iwehini\i warm; \Iwehu\i ray (\Iwēḍa\i \Iwehu\i); Kuwi̲Su \Ive-\i (\I-t-\i) to be burnt; \Ivese lēska\i summer season (i. e. hot months); Kuwi̲Isr \Ive-\i (\I-t-\i) to be burnt, cooked|The difference between the simple form \I*ve-\i and the suffixed \I*ves-\i seems to go back to further than PK, probably even PDR: \I*ve-\i is 'to cook, burn', while \I*ves-\i always has the meaning 'to be hot'.|5517
1295|*veRg-u (pl. *veska)|firewood|903|veju, vejgu (pl. veska) "firewood, fuel"||vegū (pl. veska) "firewood, fuel"|weggu, weska "dry wood"|vegu (pl. veska) "firewood, fuel"|vergu (pl. verka) "firewood, fuel"||||vegu (pl. veska) "firewood, fuel"||The cluster \I*-Rg-\i here > \I-g-\i in most Kuwi dialects, unlike the same cluster in \I*kuRgu\i > Kuwi \I*kudgu\i. However, external data makes it absolutely certain that we deal here with the same cluster.|5440
1296|*vek-|to cough, hiccough|904|veka (veki-) "to cough; n. coughing, cough"||kūta vē'ūri aiyali "to hiccough"|kūtha wiuri "hicock"|||ve'uri, kuta ve'uri "hiccough"|||vek- (-it-) "to choke when drinking or eating"|For \Ikuta\i see 1718|If we suggest a development \I*-kʔ-\i > \I*-ʔ-\i in Kuwi, the nominal forms can be traced back to \I*vek-ʔuṛi\i.|5383
1297|*vel-|to pull, pull up; n. pulling|0|velba (ves-)||||||||||||5282
1298|*vel-i (*-ḷ-)|to excommunicate|905||||velli kīnai|||||||||5498
1299|*venḍ-|to go forward, start forth, go forth|0|venḍa (venḍi-)||||||||||Also Kui pl. action \Iveṭka\i (\Iveṭki-\i)||5498
1300|*venḍ-|to return|1340|vṛēpa (vṛēt-) "to return, come back again, retreat; n. return, retreat"||vendali "to go back, return"|wenḍ-|venḍa vā- "to come back, return"|||||veṇḍ- (-it-) "to return (intr.)"|Also Kui \Ivṛēppa\i (\Ivṛēpt-\i) to cause to return, turn back (tr.), pay back, return something borrowed or pledged; n. turning something back, repayment, return; Kuwi̲F \Ivethali\i to give back; Kuwi̲S \Iwenḍinai\i to recover, revive; \Iwet'nai\i to reverse; \Iwenḍe\i back; again; Kuwi̲Isr \Iveṭ-\i (\I-h-\i) to return something; \Iveṇḍe ki-\i to repair; \Iveṇḍe veh-\i to answer, reply|In Kui \I-p-\i is secondary.|5481
1301|*ven-|to hear|906|venba (ves-) "to hear, listen, ask, question; n. hearing, listening, inquiry"||venjali (vec-) "to hear, ask"|wennai, wenbinai "to hear, question"|ven- (vecc-)||||veṇbu "hearing"|ven- (vec-)|Also Kuwi̲S \Iwenumbu\i hearing||5516
1302|*ver-|the squeal of a pig|0|vere vere|||||||||||Expressive.|5458
1303|*vēʔl-a|large root|907|||vē'la "root (of large tree)"|||||||vēʔla "large root of trees"|||5535
1304|*vēc-|to take out, unpack|908|vēsa (vēsi-) "to take out, bring out into the open, extract, expose, redeem"|||wēcinai "to unpack"||vecc- (-it-) "to take out, take off"||||vēc- (-it-) "to pull up, pull out, take out"|Also Kui pl. action \Ivēska\i (\Ivēski-\i)|In Kuwi̲P an unexplainable vowel shortening.|5523
1305|*vē-|to beat|909|vēpa (vēt-) "to strike, beat, thrash, assault, kill; n. act of striking, beating"||vecali (vē-)|wēnai|ve'- (vet-)|ve'- (vet-)||||vēʔ- (-t-), vēp- (-it-) "to beat, hit"|Also Kuwi̲Isr \Ivēpi ā-\i to fight||5555
1306|*vēg-|sickle|910||||||||vēgo|||||5518
1307|*vēɣ-|to dawn|911|vēga (vēgi-) "to last, outlast the night, dawn"|||wēinai|vēy- (-it-)|||||vēy- (-it-)|Also Kui \Ivēga ḍānju\i early dawn; \Ivēgam boḍuṛi\i morning star; Kuwi̲S \Iwēḍa wēyalie\i daybreak||5554
1308|*vēk-|to cease (rain); n. cessation of rain|0|vēpka (vēk-p-; vēkt-)||||||||||||5522
1309|*vēp-a|the neem tree|912||||wēpa||||||vēpa marnu|?Kuwi̲Kasi \Ibimbi\i \Imrānu\i the neem tree||5531
1310|*vēŋ(e)R-i|a k. of tree|913|vēngesi "piasal tree or wood (= P. marsupium)"||||vēŋgeri "bija tree"|||||vēŋgeri marnu "bija tree"||The correspondence Kui \I-si\i - Kuwi \I-ri\i is found only in two items (the other one is 5470),  and in both cases the root has an auslaut \I*-ŋg\i. It would, however, be extremely strange to suggest a development \I*-ri\i > \I*-si\i in Kui ONLY after a PK \I*-ŋg(V)-\i, even if there are no counterexamples. On the other hand, if we suggest an old cluster \I*-ŋgR-\i, the situation becomes clearer: in Kui \I*-R-\i regularly > \I*-j-\i, which has lost its stop element as part of a cluster, while in Kuwi the development \I*-ŋgR-\i > \I*-ŋgy-\i was hindered.|5520
1311|*vēŋ- (caus. *vēk-)|to spread|908|vēnga (vēngi-) "to be spread out, stretched out or up, opened out, open out (intr.)"|||wēnginai "to spread, outspread"||||||vēŋg- (-it-) "to become spread"|Also Kui \Ivēpka\i (< \Ivēk-p-\i; \Ivēkt-\i) to stretch forth, stretch up, crane the neck, spread out, open out; Kuwi̲S \Iwēkh'nai\i to unravel; Kuwi̲Isr \Ivēk-\i (\I-h-\i) to announce, publish||5519
1312|*vig-, *vik-a|to roof, thatch|914|vega (vegi-) "to roof, thatch; n. act of thatching, putting on a roof"||vīgali "to thatch"|wikka illu "thatched house"|vig- (-it-) "to thatch"|||||vig- (-it-) "to thatch"|Also Kui \Ivīa\i thatch, thatch grass; \Ivīori\i (pl. \Ivīoraka\i) thatch; Kuwi̲F \Ivīka\i thatch; Kuwi̲Su \Ivikka\i roof; Kuwi̲Isr \Iviʔuri\i (pl. \Ivika\i) grass for thatching house|There are a few irregularities in vocalism here (\I-e-\i in Kui, which may be a misspelling as well as some kind of positional variant; long vowel in Kuwi̲F, which is often written instead of a short one), but it is the consonantism that is most interesting. The verbal root is \I*vig-\i; however, the nominal forms ('thatch') have an auslaut \I*-k-\i, preserved in most dialects. Being joined with the suffix \I*-ʔori\i, it falls out and sometimes influences the simple form (\Ivīa\i in Kui has been most certainly developed by analogy with \Ivīori\i). Both variants certainly go back to a single root, but \I*vik-\i is probably an old suffixal form, where the suffix (maybe an old \I*-s-\i or something like that) has fallen out after devoicing the auslaut consonant.|5532
1313|*vih-a (*-s-)|fly|915|visa, viha "fly, winged insect"||vīha|wiha|viha "fly, insect"|viha "fly, insect"||||vīhā "fly, insect"||The variant \Ivisa\i in Kui is probably secondary, maybe due to analogy with certain plural forms. Kuwi forms also speak against a possible \I*-s-\i in the reconstructions, although external data confirm this possibility.|5451
1314|*vis-|to be ended, finished, terminated, used up; n. termination|916|viha (vihi-)||||||||||||5444
1315|*vil-ɣu|wind, air|917|vilu, vliu|||||||viṛi "wind"|||||5312
1316|*vil-u|bow|918|viḍu, vilu||vellū||vellu|vellu||||velu||Irregular \I-e-\i in Kuwi; however, \I-i-\i is confirmed by external data.|5422
1317|*vis-|to tread, thrash|919|vihpa (viht-) "to separate corn from the ear by treading or threshing; n. threshing"||vissali (vist-) "to mix by trampling"|wih'-, wihinai "to trample"|vih- (vist-) "to stamp, tread"|||||vih- (vist-) "to step on, tread, trample"|||5420
1318|*vist-Vri|leaf plate|920|||visteri||visturi|||||visteri|||5388
1319|*vit-|semen (Mah)|921|vitkā||||||||||Kuwi words (\Ivīcaŋa\i (F) semen, \Ibitza\i (S), \Ibicca\i (Su), \Ibica\i (Isr) seed) are probably borrowed from IA.||5401
1320|*vīʔe|tomorrow|0|vīe||vī'e|wīe|viʔe|ve'e||||viʔe|Also Kui \Iveiti\i next day, on the day after||5554
1321|*vīd-|to flap|0|||vīdali||||||||||5484
1322|*vīḍ- (caus. *vīṭ-)|to stir, shake|0|vīḍa (vīḍi-) "to throw the limbs about, jerk to and fro, sway violently, plunge"||vīthali "to shake"|wīdh'nai|||vīḍ- (-it-) "to stir"|||vīḍ- (-it-) "to move"|Also Kui pl. action \Ivīṭka\i (\Ivīṭki-\i); Kuwi̲Isr \Ivīṭ-\i (\I-h-\i) to shift, shake (tr.); Kuwi̲S \Iwīt-\i to tremble; \Iwīth'nai\i to hurtle; \Imōpa wīth'nai\i to shrug|The form \Iwīdh'nai\i is obviously secondary, since the auslaut root consonant should have been  devoiced. So is the form \Iwīt-\i (\I*wīd-\i should be expected). Thus, only the form \Iwīth'nai\i can be interpreted as an original form, going back to \I*vīṭ-p-\i; other forms are either misspelled or restructured by analogies.|5424
1323|*vī-|to blow, fan|922|vīnja (vīnji-)||||||||||Also Kui pl. action \Ivīska\i (\Ivīski-\i); \Ivīka\i (\Ivīki-\i) to blow a wind instrument; \Ivīva\i (\Ivīt-\i) to shoot, throw, cast, fling, pelt; n. act of shooting, throwing; pl. action \Ivīpka\i (\Ivīpki-\i); \Iviska\i swift, quick||5450
1324|*vīṛ-|to be obtainable, be available|923|vīṛa (vīṛi-)||||||||||||5459
1325|*vīti|scattered, dispersed|0|vīti||||||||||||5400
1326|*vlēk-|a thin strip of bamboo|924|vlēka||||||||||||5557
1327|*vḷī-|to expand, swell; to burst|925|vlēnda (vlēndi-), (Gramm.) vlēnḍa (vlēnḍi-) "to rise, expand, swell, distend"||raiyali "to burst"|lainai "to burst"|ṛay- (-it-) "to be cracked (stone)"|||||ṛāy- (-it-) "to crack, (boil) to burst"|Also Kui pl. action \Ivlētka\i (\Ivlētki-\i); \Ivlēpa\i (\Ivlēt-\i) to swell, distend; \Ivlēpka\i (< \Ivlēk-p-\i; \Ivlēkt-\i) to cause to expand, stretch, widen out|A former bisyllabic base. In Kui it exists by itself (\I*vḷi-\i > \Ivlē-\i), as well as extended by the suffix \I-nd-\i (or is it \I-nḍ-\i?). In Kuwi \I*vḷi\i- > \I*vḷay-\i > \I*ḷay-\i.|5432
1328|*vrak- (*vark-)|to cut up; a strip|926|vrapka (< vrak-p-; vrakt-) "to cut open and disclose contents"|||||||||vārva "a strip of meat"||Kuwi̲Isr \Ivārva\i is probably borrowed.|5363
1329|*vrāc-|to make marks; to write|927|vrīsa (vrīsi-) "to make an incision, furrow or mark, scratch, write, plough, cut up flesh; n. writing"|||rācinai "to write, paint, record"||||||rāc- (-it-) "to write"|Also Kui pl. action \Ivrīska\i (\Ivrīski-\i); Kuwi̲S \Irāskinai\i to limn (pl. action of \Irāc-\i); ? \Ibrīnai\i to draw|Kui vocalism is irregular, but external data points to original \I*-a-\i; we may suppose analogisation with \Ivrīva\i 'to break up'.|5263
1330|*vir-ŋ-|to fall to pieces|928|vringa (vringi-) "to fall to pieces, be loosened, dispersed; n. disintegration"||||||vir- "to fall in ruin"|||vij- (-it-) "to break into small pieces"|Also Kui \Ibringi brangi\i dispersed, broken up; \Ibringi brangi inba\i to be dispersed, broken up; \Ivrīva\i (\Ivrīt-\i) to be dismantled, broken up, worn out; n. disintegration; \Ivripka\i (\Ivrik-p-\i; \Ivrikt-\i) to pull to pieces, untie, loosen, disperse; n. dismantling, unfastening, dismissing; \Ibirasakali\i scattered, dispersed; Kui̲Kasi \Ivrik-\i to take off, dismantle (thatch)|A former bisyllabic base. The initial \Ib-\i in \Ibringibrangi\i is probably expressive.|5411
1331|*vris-|to ask, beg|1426||vrih- (-t-)|rīssali "to beg"|rih'nai "to beg"|rīh- (rīst-) "to beg"||vih- (vist-) "to beg"|||rīh- (rīst-) "to beg"|Also Kuwi̲T \Ivispigaṭaĩ\i, Kuwi̲Mah \Iwispigaṭayũ\i, Kuwi̲Isr \Irīspagaṭasi\i beggar|The vowel length in several Kuwi dialects is probably secondary, maybe due to compensatory lengthening after the syncope of initial \I*v-\i.|5556
1332|*vṛag- (*-ḷ-)|to boil|928|||ragi(ti) "boiling (water)"|laskinai "to seeth"|ṛag- (-it-) "(water) to boil"||vaṛg- "(water) to boil"|||ṛag- (-it-) "(water) to boil"|||5302
1333|*vṛiti|slippery|0|vṛiti||||||||||Also Kui \Ivṛiti inba\i to slip, be slippery; \Ivṛitna\i in a slippery manner||5298
1334|*vīṛ-c- (pl. action *vṛīc-k-)|to squeeze, milk|0|vṛīsa (vṛīsi-) "to squeeze, milk; n. act of squeezing, milking"|bṛīc- "to press"||wīskinai "to squeeze"||ṛīsk- (-it-) "to knead (2)"|||||Also Kui pl. action \Ivṛīska\i (\Ivṛīski-\i)||4183
1335|*vṛī-|to descend; to topple over|1266|vṛīva (vṛīt-) "to descend hill or mountain"||brīali "to topple over"||||||||Also Kui \Ivṛippa\i (\Ivṛipt-\i) to cause to descend, bring down||5430
1336|*jamb-|interr. base|0|imbai, embai "who (sg. or pl. masc. or fem.)"||ambasi, ambari, ambay, amba'i "who (masc. sg., pl., fem. sg., pl.)"|imba'asi, imba'ari, imbai, imbaɨ/imbaari "which man, which men, which woman or thing, which women or things"|||||||Also  Kui \Iembe\i, \Iimbe\i where; \Ibāi\i who (< \Iimbai\i); Kuwi̲F \Iimin\i what kind; \Iimbi\i, \Iimbi'a\i where; Kuwi̲S \Iimbinaɨ\i which thing, which things; adj. for all genders \Iimbini\i; \Iimbia\i where|One of two examples on PK \I*y-\i, this interrogative pronoun in PK had the meaning 'who', opposed to \I*yān-\i 'what' and \I*ec-\i 'which, how many'. Lost everywhere, the initial \I*y-\i, however, left serious traces everywhere, since in Kui it left the variants \Ii-\i and \Ie-\i, while in Kuwi̲F \I*ya-\i > \Ia-\i before the following \I-a-\i and > \Ii-\i before the following \I-i-\i.|5151
1337|*jān-|interr. base|931|an- "what"|in-|ena "what"|ēna, ēnaɨ "which thing, which things"|||||||Also Kui \Iananju\i, \Ianaru\i, \Ianari\i, \Ianai\i what man, what men, what woman or thing, what women or things; adj. \Iani\i; \Ianavani\i, \Iinavani\i where; \Ianaṛiki\i, \Ianaki\i, \Iinaṛiki\i, \Iinaki\i why; Kui̲K \Iini-\i = \Iani-\i; \Iinari\i = \Ianari\i; Kuwi̲F adj. \Ieni\i; \Ieneki\i how; Kuwi̲S \Iēnari\i which men|The second case of PK \I*y-\i, this time before a long vowel. In Kuwi the reflexation \I*yā-\i > \I*e-\i is stable (although Kuwi̲F has short \Ie-\i, while Kuwi̲S has long \Iē-\i); in Kui the usual reflexation is \Ia-\i; however, the original \I*y-\i is betrayed by forms like \Iinavani\i, which probably have preserved traces of \I*y-\i because of old reduction \I*yānavani\i > \I*yanavani\i > \I*inavani\i. The pronoun was used as the inanimated 'what' in PK.|5151
1338|*gumb-|to jump|955||||||||||gumb- (-it-)|||1736
1339|*is-|to soak, steep|960|ihpa (iht-)||||||||||||426
1340|*kā-|to be hot; to heat|969|kānda (kāndi-) "to be hot"||kaiyali "to become hot (water, etc.)"|kāth'nai "to heat"||kāp- (-it-) "to heat"|||kāndri "anger"|kāy- (-it-) "to become hot"|Also Kui \Ikāspa\i (\Ikāst-\i) to make hot, heat; n. act of making hot; \Ikāṛa\i (\Ikāṛi-\i) to be  hot (sun), (spirit) is distressed; Kuwi̲F \Ikaiyi\i hot; \Ikaiyi kīali\i to heat; Kuwi̲S \Ikāka\i hot; Kuwi̲Isr \Ikānd-\i (\I-it-\i) to become hot; \Ikāt-\i (\I-h-\i) to heat||1458
1341|*kōṛ-|rod, club|975|kōṛo||||||||||||2210
1342|*mōc-|to be loaded down with heavy load, be burdened with many worries and responsibilities|985||||||||||mōc- (-it-)|||5126
1343|*neh-|to fill in, put in|993|nehpa (neht-) "to fill in, load up; n. act of filling in"||neh- "to put in"||||neh- "to put in"|||||Kui \Inehpa\i taken from DED 3682.|3764
1344|*tānḍ-|pot|1028|||||||||tānḍi||||2946
1345|*tōnṭ-|garden, grove|1029|ṭuṭa|garden|tonta "grove"||||ṭōṭa "garden"||ṭōṭa "garden"|ṭōṭa "grove"|||3549
1346|*bajal-|maidan|1043|||||baylu|||||bayalu "field"|||1043
1347|*bor-|hole in tree|1047||||||borra|||||||4604
1348|*puṭ-|heap, collection, pile, stack|1049|puṭa||||||||||||4258
1349|*puṭ-|basket|1050|puṭi "large basket"||pūṭka "basket (larger)"|||||||puṭka "small basket"|||4263
