NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
3691|*peṭ-|female|1245||peṭṭai|female of animals and birds, woman, girl|\Ipeṭṭaiyan̲\i hermaphrodite, effeminate man; \Ipeṭai\i female of birds; \Ipoṭṭacci\i, (Devanesan) \Ipeṭṭaicci\i woman (used in contempt)|peṭṭa|female of birds, female of asses and camels|\Ipiṭa\i female of birds, female of deer; \Ipeṭa\i hen|heṭṭuge|female friend, affectionate or beloved woman, wife|||||||||0|||||||KURU (LSB 1.12) \Ipoṭṭɨ\i hen|Tamil \Ipeṭai\i and esp. Malayalam \Ipiṭa\i, \Ipeṭa\i are highly irregular, especially considering that there already is a regular variant in both languages. Borrowings?|4395|N
3692|*vēṇ-ai (*b-)|peg, wedge|0||||||||beṇe|peg, plug, stopple, cork|||||bū̆ṇa|peg, wedge|||0||||||||The prosodic characteristics of the root are unclear, as one of the Tulu variants points to a long accented *-ē- as opposed to the more common \I*vIṇ-ai.\i|4396|N
3693|*penḍ-|liquor, toddy|0||||||||heṇḍa|vinous liquor or toddy extracted from the wild date tree|||||heṇḍa|toddy, palm-wine|||0||||||||The Tulu form is borrowed from Kannada.|4397|N
3694|*penḍ- (?)|trinket for the foot|0||||||||peṇḍeya|a trinket for the foot|||||||||0|||||||||4399|N
3695|*vim- (*b-) (?)|lip|0||||||||||||||bimma|lip|||0|||||||||4400|N
3696|*bIdar̲- (*v-)|to be agitated; to fear|133||||||||bidar̲, bedar̲(u)|to be agitated, confounded, bewildered, alarmed or frightened, take fright, fear|\Ibedar̲(u)\i agitation, alarm, fright, fear; scarecrow; \Ibedar̲ane\i, \Ibedar̲ike\i fright, alarm; \Ibedar̲isu\i to alarm, frighten; \Ibedar̲isuvike\i frightening; \Ibedarke\i agitation, alarm, fright; \Ihedar̲u\i to be alarmed; (Hav.) \Ihedaru\i, (Gowda) \Ihedɨrɨ\i, (Bark.) \Ihɛdɨrɨ\i, (Nanj.) \Iedru\i to fear; (Hal.) \Ihɛdǝru\i id.; \Ihɛdǝrike\i fear||||bedarụ, bedarikè|start, fright, fear, alarm|\Ibedaruni\i to be alarmed||0|||||||||4401|N
3697|*pej-/*poj-|to rain, to pour|1310||pey (-v-, -t-)|to rain, fall (as dew or hail); pour down or into (tr.), put, place, serve up (as food in a dish), throw out, discharge (as urine), shed (as tears), distribute|\Ipeyal\i showering, rain, raindrop, cloud; \Ipeyalai\i rain; \Ipuyal\i, \Ipucal\i cloud, raining, water; gale, storm, tempest; \Ipoci\i (\I-v-, -nt-\i) to ooze, percolate, flow|peyyuka|to pour, rain|\Ipeyttu\i raining; \Ipeyyikka\i to cause to rain|poy|to pour, cast; n. pouring|\Ipuy\i to pour, cast; \Ipōcal\i pouring water|poyy- (poyyuv-, pojj-)|(rain) rains, (wind) blows|||||*oj-|1479|||||||KOR (O) \Ipī-\i to pour|Tamil and Malayalam have an unexpected \I-e-\i in this root; this can only be attributed to some obscure contamination which it is impossible to adequately determine. Note that Tamil preserves the original vocalism in \Ipuyal\i and \Ipoci\i.|4407|N
3698|*pej-|to wear (ornaments)|0||pey (-v-, -t-)|to wear (as jewels, cloths, flowers), put on (as harness), tie, fasten||||||||||||||*pej-, *pē-|659||||||||Kota has a very strange stem for this root (pēv-); it is probably secondary. Toda, however, has the normal reflex (pɨy-).|4408|N
3699|*pis-Vr-|to move, turn, change|0||peyar (-v-, -nt-)|to move, depart, turn about, return, grow loose, be detached, be displaced, dislodged|(\I-pp-, -tt-\i) to remove, displace, dislodge, dispel, drive away, uproot (as a plant); \Ipeyarcci\i shifting, moving, removal, displacement; \Ipeyarttu\i, \Ipeyarttum\i, \Ipeyarntu\i again, in return; \Ipeyarppu\i removal, translation; \Ipēr\i (\I-v-, -nt-\i) to become loose, separate, depart, go away, move, retreat, change; (\I-pp-, -tt-\i) to change (tr.), remove; \Ipērttu\i, \Ipērttum\i, \Ipērntum\i again, in return|pēruka|to come off, be plucked up, cattle to turn in ploughing|\Ipērcca\i collection; \Ipērkka\i tr. of \Ipēruka\i; to copy, transcribe, translate; \Ipērttu\i again; \Ipērppu\i copy, translation|||||||pijiruni|to turn, return, abate (as a fever)|||0|||||||||4409|N
3700|*pedjar|name|1233||peyar, piyar|name; reputation, renown, fame; person; shape, form, substance|\Ipeyarkku\i nominally, for form's sake; \Ipeyaran̲\i one who bears a name; (also \Ipēran̲\i) grandson (as bearing the grandfather's name), grandfather; \Ipeyartti\i, \Ipērtti\i granddaughter, grandmother; \Ipeyariya\i having a name; \Ipēr\i name; person, individual; living thing; praise, fame|peyar, piyar|name|\Ipēr\i a name, as it were the duplicate of a person or thing; a person, individual|pesar(u)|name, appellation; greatness, fame, celebrity|\Ipesarisu\i to name, mention, tell|peda|name||pudarụ|name, appellation; fame, celebrity, reputation||*pēr|662|||||||BEL (LSB 2.3) \Ihudarɨ\i name; KOR (O) \Ipodarɨ\i, (T) \Ihudarɨ\i name||4410|N
3701|*per-|big|1239||peru, perum, pēr|great|\Iperitu\i that which is great, big, large; greatly; \Iperiya\i large, great, elder, important; \Iperiyār\i, \Iperiyōr\i the aged, the great, saints, kings; \Iperiyōn̲\i great man, god; \Iperum-puli\i tiger; \Iperun-tēn̲\i large-sized honey-bee; honey secreted by bees (or with 4412); \Iperu\i (\I-pp-, -tt-\i) to grow thick, large, stout, become numerous; \Iperuku\i (\Iperuki-\i) to increase in numbers, multiply, become full, perfected, rise, overflow, swell, be increased, augmented, or enlarged, prosper, grow; \Iperuka\i fully, abundantly, prosperously; \Iperukal\i abundance; \Iperukku\i (\Iperukki-\i) to cause to increase or abound, make greater, fill, cause to swell and overflow; \Iperukka\i greatly; \Iperukkam\i increase, augmentation, abundance, prosperity, flood, perfection; \Iperukkal\i improving, making prosperous; \Iperukkan̲\i that which is coarse; \Iperuppam\i bigness, thickness; \Iperuppi\i (\I-pp-, -tt-\i) to magnify, enlarge, exaggerate; \Iperuppu\i becoming large, being stout; \Iperumān̲\i nobleman, king, elder, elder brother, god; \Ipemmān̲\i god, great man; \Iperumai\i bigness, greatness, excellence, nobleness, abundance, excess, power, celebrity, pride; \Iperuvar\i great persons; \Ipirān̲\i lord, king, master, god; \Ipirāṭṭi\i lady, mistress, goddess; \Ipen̲n̲am-periya\i, \Ipen̲n̲am-perutta\i very large; \Ieccu\i excess, increase|peru, pēr|great, large, chief|\Iperiya\i large, great; \Iperippam\i greatness, multitude, plenty; \Iperukuka\i to grow large, be multiplied; \Iperukkuka\i to augment, multiply, grow much, abound, grow thick; \Iperukkam\i largeness, size, repetition; \Iperukka\i augmentation, overflow of a river; \Iperuŋŋuka\i to be prolific; \Ipirān\i lord, king|per, pēr (\Ibefore vowels\i)|largeness, tallness, greatness; large, tall, great|\Ihērā̆ḷa\i greatness, largeness, abundance; \Ipercu\i, \Ipeccu\i, \Iheccu\i, \Ieccu\i to become more extensive or greater in bulk, quantity, or number, increase, thrive, grow, swell, become lofty o r proud; n. increase, growth, largeness, swelling, flood, extension, eminence, riches, excess, surplus, exaggeration, pride, daring; \Ipercisu\i, \Ipeccisu\i to cause to increase, multiply, etc.; \Ipercuge\i, \Ipeccuge\i increase, etc.; \Iperme\i increase, greatness, excellency, grandeur, honour, pride; \Ipiri\i extensiveness, largeness, abundance, frequency, greatness, advanced age; \Ipedda\i largeness, bigness, greatness; \Ipeddi\i a great or old person, elder, senior; \Ipempu\i largeness, abundance, eminence, sublimity; \Ipeggaṇa\i, \Iheggaṇa\i bandicoot; (Gowda) \Ihiggu\i to swell with joy, be elated|perɨ-, perɨm-|big|\Iperɨja\i increase, excess; \Iperɨ-\i (\Iperɨp-\i, \Iperɨt-\i) to increase (intr.; family, wealth, cattle); \Iperië\i elder; \Iperta\i very, great, much|peri, periya|large, great, high, superior|\Iperguḍè\i bandicoot; \Ipermè\i haughtiness; \Ipercuni\i, \Ipērcuni\i to rise, increase; \Iperjuni\i to increase; \Iheccuni\i to increase, augment; \Iheccāvuni\i to increase (tr.), enlarge, exalt, promote; \Ihecca\i more, better, high, superior, excessive, superfluous, copious; \Iheccalmè\i, \Iheccaḷa\i, \Iheccaḷmè\i exaltation, greatness, brag, boast; \Ihecci\i, \Iheccigè\i, \Iheccelụ\i increase, promotion, excess, eminence; \Ihedda\i great, large, spacious, chief, principal; \Ihemma\i abundant, many; \Ihemme\i pride, insolence|*pe-|144|||||||||4411|N
3702|*per-|bee; honey|1240||piracam|pollen, honey, honey-comb, toddy, bee, beetle, wasp|? \Iperuntēn̲\i honey secreted by bees; large-sized honey bee (or with 4411)||||||||||perya|a large bee|\Iperiya neyi\i honey|*per-|1625|||||||||4412|N
3703|*Per-ug-/*PIr-ag-|glory tree|0||perukilai|pink-tinted heart-leaved glory tree, (Lush.) Clerodendrum infortunatum||piraku, peruku|Clerodendrum infortunatum|\Iperuv-ila\i its leaf|||||||||||0|||||||||4413|N
3704|*Per-|to be ruined|138||peruku (peruki-)|to be injured, ruined, snap as a marriage thread|||||||||||||||0|||||||||4414|N
3705|*par-|to sweep; broom|0||perukku (perukki-)|to sweep|\Iperukkal\i sweeping; \Iparuvu\i (\Iparuvi-\i) to sweep or gather together|perukkuka|to sweep||porake, parake, baralu, boralu|broom|||||||||0||||||||Irregular vocalism variations; if we assume the vocalism -a- to be primary, as demonstrated by Tamil \Iparuvu\i and the Kannada forms, the vowel -e- can be explained by contamination with *per̲- 'to pick up, gather'.|4415|N
3706|*per-cāṛ- (?)|bandicoot|0||peruccāḷi|bandicoot|(Koll.) \Iperukkān\i bandicoot|periccāṛi|bandicoot|||||percaḷi|(Shanmugam) bandicoot||||||0|||||||||4416|N
3707|*pIr-|skin; to peel|1922||||||||pere|skin or slough of a serpent|\Ihere\i to scrape, shave; (Gowda) \Ihermaṇe\i grater, scraper||||perevuni|to be peeled, scraped|\Iperepini\i to grate, scrape; \Ipereḍuni\i to scrape, shave; \Iperadanè\i, \Iperamaṇè\i grater, scraper; \Ipiresuni\i to peel, scrape, pare off||0|||||||||4417|N
3708|*pēṛ-|afraid; fear|2032||pēṛkaṇi (-pp-, -tt-)|to be afraid|||||peḷagu|fear, alarm|\Ipeḷar̲\i to tremble, fear; n. fear, alarm; \Ipeḷar̲isu\i to cause to fear, frighten; \Ipeḷpaḷisu\i, \Ibeḷpaḷisu\i to tremble, fear||||perci|shying, starting suddenly|\Ipercuni\i to shy, start aside suddenly||0|||||||||4419|N
3709|*beḷ- (*v-)|wild pigeon|0||||||||beḷava, beḷuva|wild pigeon|||||||||0|||||||||4420|N
3710|*peR-|curds; to congeal|1241||peruku|curdled milk|\Ipirai\i fermented buttermilk used for curdling milk|piriyuka|to coagulate (as milk)|\Ipiriccal\i coagulation of milk; \Ipirannuka\i to curdle|per̲ (pett-)|to thicken, congeal, curdle (ghee, curds, oil)|\Iheppu\i curdling agent|pere|cream||perpuni|to be curdled (as milk)|\Iperpu\i curdling agent; \Ibeñjana\i, \Ibeññana\i curds, curdled milk|*per̲-|654||||||||A very difficult case, as the inlaut resonant is impossible to determine. Tamil and Mal. point to a dental *-r-; Kannada points to an alveolar *-r̲-; and the Nilgiri languages have forms that go back to *-r̲- (Toda per̲f-) and to *-ṛ- (sic; Kota pev-, Toda pešf- can only go back to *peṛ-i-; cf. Kota kiv-, Toda kɨšf- 'to tear' = Tamil kiṛi). Cluster? Several different roots?|4421|N
3711|*per̲-|to get; to bear|1235||per̲u (per̲uv-, per̲r̲-)|to get, obtain, beget, generate, bear|\Iper̲uti\i gain, profit; \Iper̲uttu\i (\Iper̲utti-\i) to cause to obtain; \Iper̲r̲i\i acquisition; \Iper̲r̲avan̲\i father; \Iper̲r̲ān̲\i id., husband; \Ipēr̲u\i acquisition, childbirth; \Ipir̲a\i (\I-pp-, -nt-\i) to be born, be produced; \Ipir̲antai\i birth; \Ipir̲appu\i birth, origin; \Ipir̲avi\i birth; \Ipir̲ai\i crescent moon|per̲uka|to bear, bring forth, obtain, get|\Ipēr̲u\i birth, bringing forth, what is obtained; \Ipēr̲r̲i\i midwife; \Ipir̲akka\i to spring up, be born; \Ipir̲appu\i, \Ipir̲avi\i birth; \Ipir̲a\i crescent moon|per̲ (pett-)|to get, obtain, beget, bear|\Iper̲e\i crescent moon|per- (peruv-, pett-)|to bear (child)||pedpini, pedduni|to bear, bring forth (as a child)|\Ipedpāvuni\i to assist a woman in childbirth; \Ipedmedi\i lying-in woman; \Iperga\i winnings made in a game; profit, gain; \Ipētụ\i, \Ipētu\i parturition, childbed; (DCV) \Ipedikke\i birth|*per̲-ǝv-|655|||||||||4422|N
3712|*per̲-uk-|to pick up|1234||per̲ukku (per̲ukki-)|to gather, pick up (as stones)|\Ipor̲ukku\i (\Ipor̲ukki-\i) to pick up here and there, glean, pick out, select|per̲ukkuka|to pick up, gather one by one, glean, beg|\Iper̲ukki\i beggar|hekku|to pick up, take up one by one|? \Ihakkalu\i gleanings; (Hav.) \Iherku\i to pick, collect|porɨk- (porɨki-)|to pick up (small objects, e. g. bits of broken rice or coins)||pejipini, pejjuni|to select, choose, pick up, pick or remove stones from paddy or rice||*per̲-ǝk-|1043|||||||KOR (O) \Ipijji\i, (M) \Ihiji\i, (T) \Ihije\i to pick up|Tamil \Ipor̲ukku\i probably contaminated with \Ipor̲u\i 'to bear'.|4423|N
3713|*pet̲-/*pIr̲-a-|great; abundant; robust|1242||per̲r̲am|greatness; bull or cow, buffalo|\Iper̲r̲u\i greatness; bull; \Iper̲r̲i\i, \Iper̲r̲imai\i greatness, esteem; \Ipir̲aŋku\i (\Ipir̲aŋki-\i) to be great, exalted, be lofty, elevated, grow full, complete, abundant, overflow, grow large in size, be densely crowded; \Ipir̲aŋkal\i greatness, abundance, fullness, height, mountain, heap, mass; \Ipir̲akkam\i loftiness|per̲r̲an|stout, robust|\Iper̲r̲a-kkannu\i wild buffalo|||||||petta|cow|||0|||||||||4425|N
3714|*pēč-|trouble|0||||||||pēca|trouble|\Ipēc-āḍu\i to be involved in trouble and difficulties|pēc-āḍ-|to try hard||pēc-āḍuni|to try, strive, be in trouble|(B-K) \Ipēc-āṭa\i affliction, distress; struggle||0|||||||||4429|N
3715|*pēṛ-/*pēč-|to talk|1255||pēcu (pēci-)|to talk, speak, converse, make noise, roar; tell, say, recite, praise|\Ipēcal\i, \Ipēccal\i talking; \Ipēccu\i speaking, speech, language, praise, talk, report, rumour, word|pēcuka|to speak, chatter (as birds)|\Ipēccu\i sppech, language|pēṛ (pēṛd-)|to utter, say, speak, narrate, tell, command|\Ipēṛike\i saying, telling, rumour; a saying, enigma; \Ipēṛige\i saying, etc.; notoriety, fame; \Ipēṛuvike\i saying, telling||||pērmè|fame, glory||*pēc-|657|||||||||4430|N
3716|*pēS-|to loathe, dislike|1861||||||||pēsu, hēsu|to feel aversion, have a dislike; n. aversion, disgust|\Ipēsike\i, \Ihēsike\i, \Iēsike\i, \Ihēsige\i aversion, disgust, nastiness, object that causes disgust|hēsige|disgust at touching dirty things||pēśiyuni, pēcuni|to loathe, be disgusted|\Ipēśigè\i, \Ipēsigè\i disgust, loathing, dirt, filth; (B-K) \Ihēsige\i, \Iēsige\i filth, dirt|*ēsĭ (?)|177|||||||||4431|N
3717|*pēḍ-|fear; impotence; hermaphrodite|1249||pēṭi|hermaphrodite; impotence, fear|(\I-pp-, -tt-\i) to be afraid; \Ipēṭan̲\i hermaphrodite with male characteristics predominating; \Ipēṭu\i hermaphrodite; female sex, female of birds and of certain quadrupeds; \Ipēṭai\i female of birds, hen|pēṭi|fear, cowardice|\Ipēṭikka\i to be afraid, to shy (a horse), fear; \Ipēṭa\i female of a deer, turtle; a pea-hen, etc.|hēḍi, ēḍi, (\IPBh.\i) pēḍi|coward; effeminate man, hermaphrodite|\Ihēṭe\i, \Ihēṇṭe\i, \Ihyāṭe\i hen; \Ibēḍa\i timid man; \Ipōṭa\i coward|pōḍi|fear|\Ipōḍe kōḷi\i hen|hēḍi, hēḍe, ēḍi|coward; timid|\Ipōḍiyuni\i to be afraid; \Ipōḍiyāvuni\i, \Ipōḍipāvuni\i to frighten, threaten, terrify; \Ipōḍigè\i fear, fright||0||||||||Kannada \Ihēṭe\i, \Ihēṇṭe\i, etc., contaminated with *peṇ-, *peṭ- 'female'.|4434|N
3718|*pēṬ-|useless, unproductive|0||pēṭu|what is unproductive, useless, or kernelless||pēṭu|what is seedless, unproductive, shrivelled||||||||||||0|||||||||4435|N
3719|*pēṇ-|to take care, protect|2142||pēṇ|protection|\Ipēṇu\i (\Ipēṇi-\i) to treat tenderly, cherish, foster, protect, regard, esteem, honour, treat courteously, worship, care for; \Ipēṇam\i tenderness, regard, care, nurture; \Ipēṇal\i nursing; \Ipiṇai\i protecting with loving care; \Ipeḷ\i (\Ipeṭp-\i, \Ipeṭṭ-\i) to protect; \Ipeṭpu\i protection|pēṇuka|to foster, take care of|\Ipēṇam\i caution; \Ipeṇṇuka\i to take care of, use, take to oneself|||||||||||0|||||||||4436|N
3720|*pēd-|folly; fear|1247||pētu|bewilderment, folly, ignorance, delirium, sorrow, distress|\Ipētai\i simpleton, ignorant person, woman as simple-minded; girl between the ages of 5 and 7; poor person; \Ipētaimai\i folly, ignorance, simplicity; \Ipēntu\i (\Ipēnti-\i) to be bewildered; \Ipetumpai\i girl between the ages of 8 and 11||||pētu|confusion or distraction of mind|||||pētụ, pētu|fear|||0||||||||Tamil \Ipēntu\i is secondary.|4437|N
3721|*pēj-|devil; god; mad, fervent|1250||pēy|devil, goblin, fiend; madness (as of a dog), frenzy; wildness (as of vegetation)|\Ipēyan̲\i demoniac, madman; \Ipēytti\i, \Ipēycci\i, \Ipēcci\i demoness, woman under possession of a demon|pē, pēyi|demon (fem. \Ipēcci\i); rage, madness, viciousness|\Ipēna\i ghost, spirit; \Ipē-nāyi\i mad dog|pē, hē|madness, rage, viciousness; growing wild (as plants), worthlessness|\Ipētu\i, \Ihēde\i demon; \Ipēŋkuṇi\i, \Ipēŋkuḷi\i, \Ihēkuḷi\i demon; madness, fury; \Ihēga\i a mad, foolish man||||pēyi|demon||*pēn|661|||||||||4438|N
3722|*bēr- (*v-)|to wave, lift up (hand)|0||||||||bēru|(Hav.) to lift hand to beat|||||bēruni|to be waved, lifted up, as the hand; lift up, as the hand|||0|||||||||4440|N
3723|*pēḷ-|to ease oneself; excrement|1251||pēl (pēlv-, pēn̲r̲-), pēḷ (pēḷv-, pēṇṭ-)|to ease oneself|||||pēl|to void excrements; n. excrement|||||||||0||||||||Could Tamil \Ipēl\i be a borrowing from Kannada?|4441|N
3724|*pēṛ-|basket, box|0||pēṛai|chest, box, basket|\Ipiṛā\i round wicker-basket, baling basket|pēṛa|basket of reeds or of bamboo slips|||||pōḷia|basketry box full of edibles, carried by girl of bridegroom's house to bride's house|||||*pēṛ-ĭ|1048|||||||||4442|N
3725|*Pēṛ-ai|myrtle bloom|0||pēṛai-maram|Carey's myrtle bloom, Careya arborea||pēṛ(u), pēṛa|Carey's myrtle bloom, Careya arborea||||||||||||0|||||||||4443|N
3726|*vēḷ-ai (*b-)|split pulse|139||||||||bēḷe|split pulse, the half of a seed of the guñja or Abrus precatorius||bēḷe|each of the halves of a seed that can be divided||bēḷè|split pulse|\Ibōḷè\i seed of a jackfruit|*Pāḷ|1036|||||||Cf. (?) Ko. \Ivēḷ\i badly ground coarse flour|Kodagu \Ibēḷe\i is irregular; possibly re-borrowed from Kannada.|4444|N
3727|*bēḷ- (*v-)|bewilderment|0||||||||bēḷ, bēḷuve|bewilderment, infatuation, madness|(?) \Ibīṭana\i state of being bewildered, etc.||||||||0|||||||||4445|N
3728|*pēr̲-|to load|1248||pir̲akku (pir̲akki-)|to heap, pile up|\Iper̲r̲u\i a pile|pēr̲u|a load, esp. bullock-load|\Ipēr̲uka\i to load (as oxen), pile up|pēr̲u|to lift up and put upon, load, pile up; n. a load, esp. bullock-load||pōr- (pōri-)|to transport by pack-animal||pēruni, pērāvuni|to load, burden|\Ipērāṭa\i lading, shipping; \Ibēruni\i to pile up earth; \Iperikè\i a bullock's load, any burden; \Iperiyè\i a heap, pile; \Ihērụ\i a sack of corn|*pēr̲- (*-r-)|1507||||||||Tamil \Iper̲r̲u\i is obviously a secondary form (\I*pēr̲u\i would be normally expected).|4446|N
3729|*pēr̲-|steep; cliff|0|||||||||||||||||*pēr̲|663|||||||||4448|N
3730|*pēn-|louse|1252||pēn̲|louse||pēn|louse||pēn|louse; vb. (lice) to increase or grow greatly||pēnɨ|louse||pēnụ|louse||*pēn|660|||||||||4449|N
3731|*pas-|bag, sack|0||pai|bag, sack, purse, satchel, bladder, duct|\Ipacumpai\i a pedlar's pack carried over the shoulder; \Iacampi\i, \Iacampai\i traveller's bag thrown over the shoulder|pai, payimpa|bag, sack, stomach, womb||pasube, pasumbe, hasibe, hasube, hasumbe|a long bag that has its opening in the midst and is thrown over the shoulder so as to form two divisions|||||pasụmbè, pasambè|sack or bag made of coir|\Ipaimbè\i bag; \Ipaikụ\i, \Ipaika\i pouch, scrip made of rushes or palm leaves; \Ipayicilụ\i bag made of palm leaves||0||||||||Tamil forms without the initial *p- are borrowed from Kannada.|4450|N
