NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
1400|*maṭ|bullocks with horns curving back|4016||maṭ et||||4799
1401|*maṭ-|inferiority|3895||maṭm (\Iobl.\i maṭt-)||||4661
1402|*maṇ-ĭ-|to talk, scold, abuse|3905||mayṇ- (maṇc-)||||4671
1403|*māS|afterbirth|4001||māc||||4783
1404|*māS|dirt on face, hands, or body|4009||māc||||4792
1405|*mādaḷ-|sp. lemon|4023||mādaḷm, mādaḷ gāy||||4808
1406|*māk|beauty|3969||māk, mākm (\Iobl.\i mākt-)||||4746
1407|*māŋ-|(of the eyes) blurred from looking at an object for a long time, (of a colour) not a pure primary colour|3999||māŋgmāŋgn||||4781
1408|*med-ǝl|brain|4240||medl||||5062
1409|*meḍ|dullness of senses|4298||meḍ||Also Kota \Imeḍṇ\i dull man; fem. \Imeḍy\i||5135
1410|*met-|to plaster, smear|4243||met- (mety-)||Also Kota \Imetc-\i (\Imetc-\i) to smear||5066
1411|*mēṛ|handle of plough|4265||mēy||||5097
1412|*miḷ-ĭ|rope made of two leather thongs (runs from yoke to head of ploughshare)|4069||miḷy||||4868
1413|*miṇḍ-|to refuse to obey or listen; kick|4053||miṇḍ- (miṇḍy-)||||4846
1414|*miṇḍ-|paramour|4064||miṇḍṇ, muṇḍṇ||||4858
1415|*miŋ-|to swallow|4067||miŋg- (miŋgy-)||Also Kota \Imiŋg\i act of swallowing||4866
1416|*mīḷ (*-ū-)|marrow|4233||mīḷ||||5051
1417|*mīṇ-|to escape|4080||mīṇ- (mīṇḍ-), mīṇḍ- (mīṇḍy-)||Also Kota \Imīṇṭ-\i (\Imīṇṭy-\i) to make to escape; \Imīṭ-\i (\Imīṭy-\i) to be successful in dispute or quarrel; (?) eat||4883
1418|*mosaḷ|crocodile|4141||mocaḷ||||4952
1419|*mo(n)ḍ|short of stature|4131||moḍ||Also Kota \Imoṇ\i short||4938
1420|*moḷ|urine|578||moḷ||||644
1421|*moḷ|peg|4185||moḷ||||4998
1422|*-bǝr-|quail|3673||moṇāmbrl||||4374
1423|*mor-|unyieldingness, inflexibility, violence of action|4160||morṭ, morṭtanm||Also Kota \Imorḍṇ\i violent man; \Imuṇḍ-\i (\Imuṇḍy-\i) to refuse to obey or listen; kick||4971
1424|*moḍ-|mole on skin|4280||moṛdiry||||5112
1425|*moḍ-ǝv|a child's continuous crying|4176||moṛv||||4989
1426|*moḍ-ǝv|state of having crippled or no arms or legs|4112||moṛv||Also Kota \Imoṛvn\i man with no arms or legs, or crippled; fem. \Imoṛvy\i||4919
1427|*moy|contribution paid at a feast (e. g. at opening of new house, at joint piercing of ears of all children in village); total of such contributions|4288||moy||||5121
1428|*mukū|snot|4104||mukū||||4909
1429|*mu-niv-|to stretch and groan when one wakes|2459||muniv- (munivd-)||Also Kota \Imūnj-\i (\Imūnj-\i) to jerk spasmodically and groan in sleep (4977)||2922
1430|*muṇḍ-ĭ|state of man unable to pay debt, rent, or contribution|4129||muṇḍy||||4936
1431|*muŋ|a kiss|0||muŋg||||4886
1432|*muḍ-ĭ-|to be possible, be able|4116||muṛy- (muṛc-)||||4923
1433|*mut- (*-t̲-)|(people) come together in a dense crowd|4205||mut- (muty-)||||5018
1434|*mūl-|eversion of bowel during evacuation|4226||mūlm (\Iobl.\i mūlt-)||||5043
1435|*mūŋ|dumb|4210||mūŋg||Also Kota \Imūŋgn\i dumb man; fem. \Imūyŋg\i||5026
1436|*mūr-ĭ|untamed (of bullocks)|4224||mūry||||5041
1437|*mūḍ|shoulder joint|4289||mūṛ||||5122
1438|*naS-|to have great liking for (with dat.), feel desire|2995||nac- (nac-)||Also Kota \Inacl\i desire for a person||3576
1439|*naS-|to make noise in cutting through flesh|2993||nacak in- (id̲-)||||3574
1440|*nag-|to become dented, slightly hollowed|0||nag- (nagy-)||Also Kota \Inagc-\i (\Inagc-\i) to dent; \Inak\i fine flour||2927
1441|*nanǯ-|a small amount of food which will blunt the pangs of hunger|3000||nanjrk||||3581
1442|*naṇīg|clear fat, lard, fat in belly of animal|2458||naṇīg||||2921
1443|*naḍ-|to fix upright in ground, transplant|3002||naṛ- (naṭ-)||Also Kota \Ināṭy\i young paddy and ragi plants ready for transplanting||3583
1444|*nav-|(cloth) becomes damp and chilly|3035||nav- (navd-)||Also Kota \Inav-\i (\Inavt-\i) to make (cloth) to become damp and chilly||3617
1445|*naḷ-ĭ|crab|2438||nayḷ(ṇ)||||2901
1446|*nār̲-|to smell bad|2455||nār- (nāry-)||Also Kota \Inārl\i bad smell; \Ināt̲m\i (obl. \Ināt̲t-\i) smell (good or bad), scent of animal||2918
1447|*nāt|seedlings reared for transplanting (paddy, tea, coffee, blue gum)|2456||nāt||||2919
1448|*nātuṇ-ĭ|sister-in-law, female cross-cousin (woman speaking in all cases)|3058||nātūṇy||||3644
1449|*neg-|to suffer from reverse of fortune|3132||neg- (negy-)||Also Kota caus. \Inegc-\i (\Inegc-\i)||3733
1450|*ner- (*-r̲-)|colour|3086||nerm (\Iobl.\i nert-)||||3680
1451|*neṭ-|directly (of motion or of communication)|3138||neṭēn, neṭēl||||3739
1452|*nēlg-|plough|2444||nēlg||||2907
1453|*nēr|opposite|3161||nēr (\Iobl.\i nēr-, nēt̲-)||||3770
1454|*nērl|Eugenia arnottiana (probably)|2454||nērl||||2917
1455|*noṭ|sound of clicking the tongue|2473||noṭ||Also Kota \Inoṭ in-\i (\Iid̲-\i) to click the tongue; \Inoṭvāyṇ\i man who stutters and splutters when he talks; fem. \Inoṭvāc\i; \Inocarc-\i (\Inocarc-\i) to click the tongue in disapproval or grief||2936
1456|*noS-|a little|3169||nocāk, oncāk||||3779
1457|*noṇḍ-|to limp dragging one leg uselessly|3176||noṇḍ- (noṇḍy-)||Also Kota \Inoṇḍy\i lame person, person who has arm or leg amputated||3786
1458|*nor|foam|3113||nor||||3710
1459|*nōm|period when cloak is covered over head of relative of dead person (three days at green funeral, eight days at dry funeral)|3185||nōm(b)||||3800
1460|*nuḷ-ĭ-|to pinch|3120||nuḷy- (nuḷc-)||||3717
1461|*nun-|to cut a small piece from dried meat to make broth (implies poverty)|3104||nunk- (nunky-) (? nuṇk-)||||3700
1462|*nūn|a yoke (? < *nukan)|3099||nūn||||3694
1463|*od-|to kick|554||od- (ot-), ov- (ovt-), o- (ot-)||Also Kota \Iod\i a kick; \Iod āṛ-\i (\Iāc-\i) to struggle, try (to do, find, etc.), perform the movements of sexual intercourse; \Iod āṛḷ\i act of struggling||616
1464|*oṭĭ-ǝg-|to sweep|831||ocg- (ocgy-)||||953
1465|*oḍ|slope of hill|843||oḍ||||965
1466|*oḍ-|to set (net, spring-trap)|839||oḍ- (oḍy-)||||962
1467|*o[n]ḍ-|to crouch down behind shelter, eavesdrop|846||oḍ- (oḍy-)||||969
1468|*og-|to be infatuated, desire strongly sexually|505||og- (ogy-)||Also Kota ? \Iok āḷ\i lover; \Iokāc\i mistress||558
1469|*ol-|noise|870||oj||Also Kota \Iōl āṭ-\i (\Iāc-\i) to drive round bullocks when threshing||996
1470|*ok- (*oṛ-ǝk-)|to ooze, (liquid, e.g. blood) pours out|883||ok- (oky-)||||1010
1471|*oḷ-kāl|mortar|585||oḷkāl||Also Kota \Ioḷkāl kal\i a stone mortar; \Ioḷkeyk\i, \Ioḷkīk\i work of preparing grain by pounding||651
1472|*onṭ-gĭn|boar|848||oṇṭgyn||||971
1473|*or (*-r̲)|sheath of sword, cover (of pot, letter, etc.)|654||or||||723
1474|*or-|to excel|583||orp- (orpy-)||||649
1475|*oḍ|waist|825||oṛ, oṛ kaṭ||||947
1476|*ot-|to precede on the way, go fast|850||ot- (oty-)||||973
1477|*ot- (*-t̲-)|to blow (bellows); (dangerous illness) becomes very bad|893||ot- (oty-)||||1021
1478|*oṭ-|to stick (intr.)|835||oṭ- (oṭy-)||Also Kota \Ioṭ-\i (\Ioc-\i) to fasten up (hair) on nape of neck||958
1479|*oj-|(rain) rains|3697||oy- (oc-)||||4407
1480|*ōǯ|noise whose origin is not seen|905||ōj||||1036
1481|*ōḷ|(jackal) howls|682||ōḷ āṛ- (āc-)||Also Kota \Iōḷāṛ\i (obl. \Iōḷāṭ-\i) the howl of a jackal||760
1482|*ōr-ĭ|flat ground beyond bank of stream|926||ōry||||1060
1483|*paS|flour-paste|3207||pac||||3827
1484|*pad-|wetness of land just after rain, suitable for sowing|3272||padm (\Iobl.\i padt-)||||3906
1485|*pad-ǝŋ-|to lie crouching for a spring|3278||padŋg- (padŋgy-)||||3912
1486|*paḍ|very short (child, man)|3370||paḍ||||4019
1487|*paṇ|level grassy ground|3259||paṇ||||3891
1488|*par-|poverty|3310||park||Also Kota \Iparkn\i poor man; fem. \Iparky\i, \Iparkc\i||3950
1489|*par-ǝl|pebble, one grain (of any grain)|3319||parl||||3959
1490|*par|(country, \Ināṛ\i) becomes a little light before dawn|3339||par par in- (id̲-)||||3980
1491|*par-|house with roof and walls broken from disuse|3322||pary bay (bī)||Also Kota \Ipary gik\i broken basket used for carrying rubbish||3962
1492|*paḍ-ĭ|steps leading up to veranda, steps of ladder|3228||paṛykaṭ||||3850
1493|*paṭ|side (left or right)|3244||paṭ||||3871
1494|*paṭ|scar, esp. made by burning|3246||paṭ||||3873
1495|*paṭ-|suddenly, with a jerk; completely, all at once|3220||paṭakn||||3842
1496|*paṭ-|hunger|3245||paṭūṇy||||3872
1497|*paj-|young grain plant (not paddy), child|3299||payḷ||||3939
1498|*pā̆j-|slowly, silently, doing nothing|3305||pāym, paym||Also Kota \Ipāym bāym\i, \Ipāymāym\i very slowly, very gradually||3945
1499|*pāc|eye of a needle; vulva (as a riddling word)|3401||pāc||||4055
1500|*pāṭ-ĭ|size, strength equal to what must be done|3413||pāṭy||||4067
1501|*pIS-|mistake, mishap, wrong-doing|3470||peck||||4131
1502|*pejǝḷ|shoulder|3505||peyḷ, peyl||Also Kota ? \Ipekaṛtl\i nape of neck (\Ikaṛtl\i neck)||4172
1503|*pIr- (*-r̲-)|(joint) is dislocated|3523||perṇ- (perḍ-)||Also Kota \Iperṭ-\i (\Iperṭy-\i) to dislocate (joint) by force||4201
1504|*peḍ-tal|nape of the neck|3485||peṛtal||||4146
1505|*peṭ|beating|3684||peṭ||Also Kota \Ipeṭ iḍ-\i to beat||4389
1506|*peṭ-|(to seize the legs of someone) in supplication so that he cannot move away|3688||peṭakn, peṭēn||||4393
1507|*pēr̲- (*-r-)|bullock-load|3728||pērn||||4446
1508|*piS-ǝg-|to be soft so that it can be squeezed|3474||picg- (picgy-)||Also Kota \Ipick-\i (\Ipicky-\i) to squeeze, pinch; \Ipicpicn\i beaten to a pulp, cooked to a pulp (of grain)||4135
1509|*pir-ĭ-|to make (rope) by twisting|3510||piry- (pirc-), pury- (purc-)||||4177
1510|*piḍ-ĭ|female deer|3488||piṛy māv||||4149
1511|*pitlāṭ-|failure to keep promise|3501||pitlāṭm||||4166
1512|*pī|excrement|3529||pī||||4210
1513|*pīS|cat|3656||pīc||||4355
1514|*pīg-|to part (intr.; hair, bushes)|3533||pīg- (pīgy-)||Also Kota \Ipīk-\i (\Ipīky-\i) id. (tr.)||4213
1515|*pīṭ-|to separate joints of carcass|3517||pīṭ- (pīṭy-), pīṇṭ- (pīṇṭy-)||||4194
1516|*pīr̲- (*-r-)|to cut (animal's belly), press way through obstruction|3549||pīr- (pīry-)||||4230
1517|*pīḍ|penis|3541||pīṛ||||4220
1518|*poǯ|vulva|3750||poj||||4476
1519|*pok-|man whose teeth are all gone|4672||pok-vāyṇ||||4452
1520|*por|first offerings of food to god in pabm ceremony|3590||por||||4283
1521|*por-ǝv-|to be polluted (in eating by man from another village where ceremonies have not been finished)|3795||porv- (pord-), pord- (pordy-)||Also Kota \Iport-\i (\Iporty-\i) to pollute; \Ipot-\i (\Ipoty-\i) to touch, dip (food into liquid)||4541
1522|*por-|thing|3798||porl||||4544
1523|*poḍ|slope of hill|3758||poṛ||||4484
1524|*poḍ-|sari|3571||poṛv||||4256
1525|*poḍ-ǝv-|to increase in numbers (intr.)|3808||poṛv- (poṛd-)||||4556
1526|*pot|bush|3773||pot|||A strange loss of voiced articulation in Kota. Is it descended from some kind of *pod-tu form?|4509
1527|*pot-|to light (as a fire)|3778||pot- (poty-)||Also Kota \Ipot\i torch made of a bundle of thin sticks||4517
1528|*poṭ-|to blink|3765||poṭ- (poc-)||||4495
1529|*poṭ-|suddenly, so quickly as not to be seen|3757||poṭakn||||4483
1530|*por-ĭ-|to parch (grain)|3791||poyr- (porc-)||Also Kota \Ipoyr\i grain parched or puffed over fire||4537
1531|*pōk-|evil man|3825||pōkry||||4574
1532|*pōr-ĭ|young bullock (one to two and a half years)|3841||pōry||Also Kota \Ipōry māv\i male deer||4593
1533|*puṇ|sore, wound in process of healing|3580||puṇ||||4268
1534|*pū[v]-|(mouth, tongue) becomes dry with fever|3649||pūv- (pūt-)||||4346
1535|*rek|wing, feather|2210||rek||||2591
1536|*tagar-|tin|2495||tagarm (\Iobl.\i tagart-)||||3001
1537|*tak-|to sprinkle (water) from palm of hand|2501||takc- (takc-)||||3008
1538|*taḷār-|to take rest|2611||taḷār- (taḷāry-)||||3127
1539|*taḷ-|swelling raised by a blow, weal|2604||taḷm (\Iobl.\i taḷt-)||||3118
1540|*tam-|carrying pad|2279||tamṭ||||2677
1541|*tar[ǝ]g|rent for use of buffaloes|2579||targ||||3090
1542|*tar-ǝv- (*-r̲-)|to become abraded by moving over rough surface or by having something rubbed over it|2624||tarv- (tard-)||Also Kota \Itarv-\i (\Itart-\i) id. (tr.)||3141
1543|*tat|inauspicious time|2555||tat||Also Kota ? \Itatpotn\i with a sudden starting up from sleep||3062
1544|*tav-|to butt with both horns, gore|2568||tav- (tavd-)||||3078
1545|*taḷ-ĭ|breed of cattle|2615||tayḷ||||3131
1546|*tar-ĭ-|potter's wheel|2674||tayrgaṇ||||3201
1547|*tāḷ-|to stop and wait|2662||tāḷ- (tāḷy-)||||3188
1548|*tek-|stammerer, stutterer|2682||tekvāyṇ||||3210
1549|*teḷ-|to winnow (flour) gently|2872||teḷ- (teyḷ-)||Also Kota \Iteyḷ-/teḷc-\i (\Iteḷc-\i) to sprinkle (tr.)||3435
1550|*ten|ear (of any grain)|2727||ten||||3265
1551|*ter-|neighbourhood (in: \Ii tervī\i, \Ia tervī\i; \Iaḷ tervī\i in various caves)|2861||tervī||||3422
1552|*tīṭ-|to paint, rub on (liquid)|2734||tīṭ- (tīc-)||Also ? Kota \Iteṛv-\i (\Iteṛt-\i) to clean up by rubbing (excrement, vomit, pus)||3273
1553|*tev-|(river) subsides; (woman) thins walls of pot in preparation for closing the bottom|2850||tev- (tevd-)||Also Kota \Itev-\i (\Itevt-\i) to pull along or out of, (woman) makes clay rise in cylinder in throwing pot||3407
1554|*tēy-|to become worn down, lean; rub, wear down (tr.)|2893||tēy- (tēc-)||Also Kota \Itēv\i leanness; \Itēvn\i n. pr. man; fem. \Itēvy\i||3458
1555|*tip|rubbish heap|2698||tip||||3229
1556|*tir-|untrustworthy action|2717||tirḍ||Also Kota \Itirḍṇ\i untrustworthy man; fem. \Itirḍy\i||3250
1557|*tod-|to cook (grain or flour) into solid mass by compressing it with a stick|2769||tod- (tody-)||||3315
1558|*toḍ|throat (inside and outside)|2928||toḍ||||3498
1559|*tol|first pregnancy|2946||tol vīr||||3516
1560|*toḷ-|to disparage a man's good qualities|2950||toḷ- (toḷy-)||||3522
1561|*tond-|act of troubling or disturbing a person|2936||tondarv (\Iobl.\i tondart-)||Also Kota \Itondārm\i (obl. \Itondārt-\i) persistent trouble or pressure put upon a person||3506
1562|*toŋ-|to hang (intr.), hang oneself|2909||toŋg- (toŋgy-)||Also Kota \Itoŋgc-\i (\Itoŋgc-\i) to hang (tr.)||3478
1563|*tūt- (*-t̲-)|to void (excrement)|2844||tūt- (tūyt-)||Also ? Kota \Itorl pī\i ordinary loose excrement||3400
1564|*tot-|to escape|0||tot- (toty-)||||3365
1565|*toṭ-|first menses|2911||toṭḷ tēl||||3481
1566|*toḷ-ĭ|seed with fleshy covering inside jack-fruit|4660||toyḷ||||2704
1567|*tōt-|to beat slightly|2965||tōt- (tōty-)||||3539
1568|*tub-|to be filled full|2784||tub- (tuby-)||Also Kota \Itubc-\i (\Itubc-\i) to fill (tr.); \Itumn\i full||3331
1569|*tuS|lip|2750||tuc||||3296
1570|*tur̲-ǝg- (*-r-)|to enter into hole, sink into swampy ground|2816||turg- (turgy-)||Also Kota \Iturk-\i (\Iturky-\i) to push through a hole, cram into mouth||3367
1571|*tūn-|to pull along (something or someone), rape|2789||tūn- (tūnd̲-)||||3337
1572|*tūṇḍ-|to force to an action|2827||tūṇḍ- (tūṇḍy-)||||3380
1573|*ud-|length|559||udm||||621
1574|*ug (*uṛǝg)|to clean hair by untangling snarls, removing lice, etc.|621||ug āṭ- (āc-)||||689
1575|*uk|part of waistcloth on each hip|511||uk||||564
1576|*uk|steel|595||uk||||661
1577|*uḷ-|spittle|619||uḷūv||||687
1578|*uṇ-ĭ|insect that infects the eyes of men or animals and sucks blood|542||uṇy||||604
1579|*ur- (*-r̲-)|slip-knot (\Imōr\i id.)|589||urkl mōr||||655
1580|*ur̲-ǝv-|to sink into ground or hole of its own weight|652||urv- (urd-)||Also Kota \Iurv-\i (\Iurt-\i) to press forcibly into hole or ground||721
1581|*ur̲-ĭ|sling for pots, litter for carrying persons|638||ury||||708
1582|*ut-|to draw out from a bundle, draw from socket or hole|555||ut- (uty-)||||617
1583|*ū|gums|657||ū||||728
1584|*ūd-|to become swollen, bloated|668||ūd- (ūyd-)||||741
1585|*ūgaṇ|pen-bars, planks used to close cowshed door|615||ūgaṇ||||683
1586|*ū-|he, she, they (persons) (= nearer demonstr. stem \Ii-\i, see 410)|503||ūn, ūḷ, ūr||||557
1587|*ūnǯ-|to move along by jerks, (child) moves over ground on bottom by jerking along|663||ūnj- (ūnj-)||||736
1588|*ūḍ|central parting of hair|664||ūṛ||||737
1589|*ūm-ĭ|flour|573||ūym||||637
1590|*vaS|pointed stick (for skewering meat, digging hole, etc.)|4646||vac||||5552
1591|*vār̲- (*-r-)|to whip|4493||vārc- (vārc-)||Also Kota ? \Ivarv-\i (\Ivard-\i) to hit with a stick; \Ivarl\i act of hitting with a stick||5380
1592|*var-ĭ|tax paid to government or to Kurumbas, tax paid by Badaga to Kota|4385||vary||||5266
1593|*vakr-ǝv-|to cut into strips (meat to roast or to dry for pemmican)|4476||vav- (vavd-)||||5363
1594|*vav-|man who has no children|4347||vavṛṇ||Also Kota fem. \Ivavṛy\i, \Ivayṛ\i||5219
1595|*vaj-|abuse|4644||vayḷ||Also Kota ? \Ivēk mēk in-\i (\Iid̲-\i) to make sport of someone||5550
1596|*var-ĭ|sides of trunk of body|4386||vayr||||5267
1597|*vāSǝr|eaves|4453||vācr||||5338
1598|*vāl|long and narrow (of leaves, shape of face, head, etc.)|4479||vāl||Also Kota \Ivāl(n)\i, \Ivālmaṇ\i man with long, narrow head; fem. \Ivālmanj\i (for \I-maṇ\i, \I-manj\i, see \Imaṇḍ\i head, s. v. 4682)||5365
1599|*vāḍ-|to wither, (face) becomes haggard from hunger or sorrow|4457||vāṛ- (vāṛy-)||||5342
1600|*vāḍ-|small pieces of meat for broth (of size of a mouthful)|4460||vāṛ- (\Iobl.\i vāṛ-, vāṭ-)||||5345
1601|*vedĭr|bamboo|4588||vedyr||||5485
1602|*ve(ḷ)k-|feeling of modesty, shame|4600||vekm (\Iobl.\i vekt-)||||5500
1603|*vIr̲-ӓk (*-r-)|state of being out of one's normal mind, esp. because of Kurumba magic|4551||verk||||5443
1604|*ver-ǝv- (*-r̲-)|to dislike|4611||verv- (vert-)||||5512
1605|*veṭ|cut, mark of a cut|4583||veṭ||||5478
1606|*veḍ-ĭ|gun|4578||veyṛ||||5473
1607|*vēḷ|badly ground coarse flour|0||vēḷ||||4444
1608|*vēp|margosa tree|4626||vēp marm||Also Kota \Ivēp el\i margosa leaf; \Ivē(p) paṇ\i||5531
1609|*vēr (*-r̲)|state of being other, another's, different, separate, outcasted|4642||vēr||||5548
1610|*vēṭ-|stake in centre of threshing floor round which the cattle are driven|4622||vēṭḷ||||5526
1611|*viS-|to talk impudently to a superior|0||vic- (vic-)||||5448
1612|*vid-|to throw (water in a handful)|4510||vid- (vidy-)||||5400
1613|*vi[r]d|man visiting from another village, esp. for festival|4525||vid āḷ||Also Kota fem. \Ividāc\i||5415
1614|*viǯ|kite|4499||vij||||5389
1615|*viḷ-ӓ-|to whistle|4568||viḷv- (viḷt-)||Also Kota \Iviḷk\i act of whistling||5461
1616|*viḷ|there is fear or apprehension (for person [dat.], e. g. when alone in jungle)|4533||viḷ viḷk in- (id̲-)||||5424
1617|*vir-ĭ|pack-saddle|4522||viry||||5412
1618|*vīv|hollow on each side of backbone (of man or animal)|4563||vīv||||5455
1619|*ir̲-|to hit with weapon|760|||ir̲- (ir̲ϑ-)|Also Toda \Iīr̲k\i depression made by cutting; \Iɨr̲\i depression in anything||859
1620|*ēɫ-|to be fat, (boil) comes to a head|0|||ȫɫ- (ȫt̲-)||Not to confound with \I*ēr̲-\i (as B&E do!) !!|916
1621|*kuṛ||0||kuy "pit"|kuṣ "small valley, ditch"|Also Kota \Ikup\i pit, dimple; \Ikupn\i man with dimples; fem. \Ikupy\i; \Igōb\i deep hole in ground; Toda \Ikūṭ\i ravine, dry pit|Probably related to \I*koṛl\i 'tube'.|1818
1622|*koḍ-ǝm|waterpot with small mouth|0||koṛm (\Iobl.\i koṛt-)||||1651
1623|*nīr-p-|to become bruised|0|||nīšf- (nīšt-)|||2927
1624|*īṇ-|snot (or with DEDR 1606)|497|||īṇm (\Iobl.\i īṇt-)|||551
1625|*per-|sp. bee|3702|||peš tȫn|||4412
1626|*ir̲-|to drink (intoxicants)|639|||ɨr̲- (ɨr̲ϑ-)|||709
1627|*el|particle added to name by male in addressing a younger male in his own or a descending generation|735|||es̲|||831
1628|*et̲-|to long for (person, \I-k\i)|762|||koṇ eɫ- (et̲-)|Also Toda \Imūn eɫ-\i (\Iet̲-\i) to like (cf. DEDR 5031); \Imūnet̲\i affection, love (only recorded as woman's name)||862
1629|*kickoṛ-|to tickle (tr.)|1337|||kiskwɨṭ- (kiskwɨṭy-)|Also Toda \Ikiskwɨḷ-\i (\Ikiskwɨḍ-\i) tickling is (with dative)||1516
