NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
1161|*xal- / *xl-|438|быть близко, среди, около|to be near, among|xl-; a-xl-os 'near', a-xal-i 'new'|||xol-|||m-ax-e (?)|новый|new|xol-|||ЭСКЯ 260, EWK 544-545. Значение "новый" в груз. (и в сванском, если сванская форма сюда относится) позволяет предположить исходное значение типа "передний край" для ПК (отсюда "быть с краю, близко"). В таком случае возможно сопоставление с ностр. *HalV "передний край" (урал. *alV-, *alka-, алт. *āla-, см. ОСНЯ 1, 244); ностратическую форму с учетом картвельских данных следует тогда восстанавливать как *xalV.
1162|*xar- / xr-|0|глодать (nagen)|to gnaw (nagen)|xar-, xr-|||||||||xor-|||EWK 545.
1163|*xarg-|0|||xerg-|навал, гpуда (камней, деpевьев); заваливать, запруживать|pile (of stones, trees); to pile up|xorg-|гpуда камней; заваливать, запруживать|pile of stones; to pile up, to dam||||xorg-|куча|pile|Кл (*xerg-), EWK 545.
1164|*xarx-|0|пилить|to saw|xerx- 'to saw, saw'|||xorx- 'to saw, saw'||||||xorx-, xe(r)x-|||ЭСКЯ 257, 258, EWK 545-546.
1165|*xarxal-|0|хохот|laughter|xarxar-, Gur. xarxal-|||xorxoš-||||||xarxal-|шумно клокотать|to gurgle loudly|Фенрих 1980, 181, Кл
1166|*xeḳ-|0|скрести, соскребать|to scrape||||xaḳ-|||xḳ-|||xaḳ-|||EWK 546.
1167|*xeṗ- / *xiṗ-|0|разбивать, расщеплять|to break, to split||||xap-ul-|расщеплять, no-xap-ul-e 'щепка'|to split, no-xap-ul-e 'splinter'|xeṗ-, xiṗ-, xṗ-|разбивать|to break|no-xaṗ-ul-e|щепка|splinter|ЭСКЯ 261, EWK 546-547.
1168|*xer-|1205|вести, прокладывать путь|to lead, to make way|m-xer-v-al- 'leading', sa-xer-v-el- 'rudder, steering oar'|||xar-|прокладывать след на снегу|to make way in the snow||||xar-|шаг|step|EWK 547.
1169|*xetk- / xtk-|0|pазpываться, лопаться|to burst|xetk-, sḳd-, ДГ xetk- / stk-|||? xinṭḳ-|отказывать|to refuse||||stik-, sṭik-|||ЭСКЯ 260.
1170|*xi-|0|радоваться|to be glad|m-xi-ar-ul- 'joyful'|||xi-ol-|радость, радоваться|joy, be joyful|xi-ad|радость|joy|xel-|||ЭСКЯ 260, EWK 552.
1171|*xinc̣-|0|очищать|to clean|xinc̣-|Körner verlesen|Körner verlesen|xinc̣-|worfeln, reinigen|worfeln, reinigen||||xinc̣-|worfeln, reinigen|worfeln, reinigen|EWK 552-553.
1172|*xinć̣ḳ-|0|зернышко|grain|xinc̣ḳ-|виноградное зернышко|grape seed|xinč̣ḳv-|маленький, острый осколок камня|small and sharp stone splinter|||||||EWK 553.
1173|*xleč- / xlič-|0|разрывать(ся)|to burst|xleč-, xlič-|||xarck-, xerck-, xirck-||||||xreck-, x(r)ock-, xrosḳ-|околевать|to die (of animal)|ЭСКЯ 266 (*qleč-), EWK 553.
1174|*xoc̣-|0|вырезать; сдирать кожу|to cut out; to skin|xoc̣-|вырезать|to cut out|xoc̣-|сдирать кожу, соскабливать|to skin, to scrape||||xoc̣-|сдирать кожу|to skin|EWK 554-555, ЭСКЯ 259 (ср. *xwec̣-).
1175|*xoć̣r-|0|стричь (наголо)|to shear (completely)||||xuč̣or-|||xinč̣ōr-|стричь|to shear|xoč̣or-|||ЭСКЯ 261 (ср. *xoṭr-)
1176|*xoḳ-|1631|царапать, скрести|to scratch|xoḳ-|||xoḳ-|брить|to shave|||||||EWK 553-554.
1177|*xole-|0|только|only|xolo, Old Georg. xolo|||xwale||||||xwala|||ЭСКЯ 260-261.
1178|*xorx-|0|грызть, глодать|to gnaw|xorx-n-|||xirx-on-|||||||||EWK 554.
1179|*xoṭr-|0|стричь (наголо)|to shear (completely)|xoṭr-|||xoṭor-, xuṭor-|||xṭūr-|нарезать|to cut in little pieces|xoṭor-, xuṭor-|||ЭСКЯ 261, EWK 554.
1180|*xraḳ- / *xreḳ- / *xriḳ-|0|обугливаться, корежиться в пламени|to turn to coal, to be incinerated|xraḳ-, xreḳ-, xriḳ-|||xiroḳ-, xiraḳ-, xiriḳ-, xirḳ-||||||xraḳ-|жариться|to roast (intr.)|ЭСКЯ 261-262, EWK 555.
1181|*xruṭ-|0|храпеть|to snore|xruṭ-un-||||||xərṭ-ən-|||x(r)uṭ-in-, xurṭ-in-|||ЭСКЯ 262, EWK 555.
1182|*xun-|0|линять|to exuviate|xun-|линять|to exuviate|(r)xin|выцветать, блекнуть|to fade, wither||||xin-|линять|to exuviate|Кл, EWK 556.
1183|*xur-|0|храпеть|to snore|xwr-in-, Old Georg. xwrin-|||xurx-in, xirx-in-|||||||||ЭСКЯ 259, EWK 556.
1184|*xu(ś)t-|0|пять|five|xut-|||xut-|||xušd, xwišd|||xut-|||ЭСКЯ 262, EWK 555-556. Климов (1969, 291) выдвигает сближение с ПСК *f̲ɦä̆ 'пять'.
1185|*xuṭ-|0|прижимать(ся)|to huddle|xuṭ-, Middle Georg. xuṭ-|||xuṭ-ol-|||||||||ЭСКЯ 262, EWK 557.
1186|*xw-|0|встречать|to meet||||xv-al-|||xw-|||xv-|||ЭСКЯ 258, EWK 548. Климов (1969, 292) сравнивает с ПЗК *x́ʷV- 'попадать(ся)'; последнее, согласно NCED 417-418 связано с ПВК *=ēxe 'класть', и связь с  картв. праформой сомнительна.
1187|*xwad-|326|самец|male|xvad-|||xod-|coire|to copulate||||xod-|coire|to copulate|ЭСКЯ 258, EWK 548-549.
1188|*xwaṭ-|0|нагромождать, подсыпать|to pile up|xveṭ-|||xuṭ-|||||||||Фенрих 1980, 181.
1189|*xwaw-|980|множество|multitude|xvav-|куча, груда|pile, heap|xva-|стая|pack|xwaj, xwäj|много|many||||ЭСКЯ 258, EWK 549.
1190|*xwec̣-|0|снимать (кору, кожуру)|to peel, to skin|xvec̣-|||na-xvac̣-a|корка, остающаяся на дне котла после варки каши|crust on cauldron bottom formed after gruel preparation||||xvec̣-|железное приспособление для вырезания нутра ложки|a k. of iron gadget to cut out the inner part of the spoon|EWK 551.
1191|*xwed- / xwd-|0|встречаться, попадаться|to meet, occur|xwd-, Old Georg. xwed-, xwd-|||xvad-|||xwid-|||xvad-|||ЭСКЯ 258, EWK 549-550.
1192|*xweṭ-|0|скоблить|to plane|xveṭ-|||xvaṭ-|чесать, грызть|to comb, to gnaw|xweṭ-, xwṭ-, xuṭ-|истреблять(ся), погибать|to exterminate, to perish|xvaṭ-|грызть|to gnaw|ЭСКЯ 259, EWK 550.
1193|*xwe(w)-|0|обнимать(ся), обвивать(ся)|to embrace, to entwine|xvev-, Old Georg. xv-, xvev-|обнимать(ся), обвивать(ся)|to embrace, entwine|x-|заворачивать|to wrap||||xva-l-|обнимать, целовать|to embrace, kiss|Кл, EWK 548 (*xw-)
1194|*xwir-|312|самец, кобель|male, male dog|||||||xwir-||||||В МССHЯ 362 сравнивается с ПИЕ *wīro-, алт. *orV, урал. *[wɨ]ra.
1195|*xwixw-in-|0|хохотать|to guffaw|xwixwin-|ржать (о лошади)|to neigh (of horse)|xwixwin-||||||xi(r)xin-|||ЭСКЯ 259.
1196|*xwleṗ- / *xwliṗ-|0|хлебать, захлебываться|to swallow, to choke|xvleṗ-, xvliṗ-, xvreṗ-, xvriṗ-|||xuṗ-|||xwliṗ-|||xlaṗ-, xliṗ-|||ЭСКЯ 259, EWK 552.
1197|*z-|0|мять, давить|to press, squeeze|z-el-, z-il-|||z-, zu-, zal-|||zih-|||z-, zal-|||ЭСКЯ 86, EWK 141 (*zel- / zil-).
1198|*zRk-el-|0|толстый, неуклюжий|fat, clumsy|skel-|толстый|fat|zirg-a(l)|неуклюжий, неповоpотливый|clumsy|||||||Кл
1199|*za-|1755|время года|season|za-mtar- 'winter', za-pxul- 'summer'|||zo-tonǯ-|зима|winter|zä-j 'year', zä-w 'this year'||||||ЭСКЯ 86, EWK 138.
1200|*zaḳ(w)-|0|подстpекать|to incite, instigate|zaḳv-|подстpекать, действовать коваpно|to instigate, act calumniously|zoḳul-|подстpекать, пpоучать|to instigate; to instruct|||||||Кл
1201|*zalw-|1698|||zalv-ana|путы, капкан|fetters, trap|||||||zelve, zevle|ремень ярма|yoke strap|Фенрих 1980, 179.
1202|*zaṗ-|0|||zaṗ-|звук падения|sound of falling|||||||zoṗ-|говорить|to speak|Фенрих 1980, 179 (экспресс.)
1203|*zar-|13|забота, заботиться|care, to care|zr-||||||zar-||||||EWK 139.
1204|*zar-|0|колокол|bell|zar-|||zor-|||||||||EWK 139.
1205|*zard- / zrd-|1642|расти|to grow|zard-, zrd-|||rd-|||rd-|||rd-|||ЭСКЯ 88, EWK 139-140.
1206|*zašw-|0|дpозд|blackbird|šašv-|дpозд|blackbird|zeskv-||||||mzesku, mzesḳu|||ЭСКЯ 162 (*sašw-), EWK 140.
1207|*zeṗ-|0|колотить|to pound|z(w)eṗ-|||||||||zaṗ-|||ЭСКЯ 87, EWK 141.
1208|*zer-/zir-|0|смотреть|to look|m-zer-, m-zir-|||ʒir-||||||zir-, ʒir-|||EWK 142.
1209|*zɣwar-|1085|пpедел|limit|zɣvar-; zɣvar- 'to limit'||||||(h)aɣwar, (h)aɣura|пpедел|limit|ɣoǯ|кpай (дома), двоp|edge (of house), yard|Кл
1210|*zɣw-ed- /zɣw-d-|1085|огpаничивать, огpаждать|to limit, to fence|zɣud-|огpаждать; zɣude 'стена'|to fence; zɣude 'wall'|zɣvind- / zɣod-|истpеблять; zɣude- 'стена'|to exterminate; zɣude- 'wall'|ʒɣwid, zɣwid|стена|wall||||ЭСКЯ 89.
1211|*zɣwel-|1640|лить (о ливне)|to pour down (of rain)|zɣvel-|||zɣvar-zɣval-|||||||||EWK 149; Fähnr.-5
1212|*zɣwel- = 1211|0|лить (о пpоливном дожде)|to pour down (of rain)|zɣwel|лить (о пpоливном дожде)|to pour down (of rain)|zɣval-, zɣwal|||||||||Fähnr.-5
1213|*zid-|1637|тащить, тянуть|to drag, pull|zid-|||zind-||||||zd-|||ЭСКЯ 87, EWK 143-144.
1214|*zirṭ-|455|скользить|to glide||||zirṭ-|||||||||В МССHЯ 356 сравнивается с ПИЕ *(t)sel- 'ползти', алт. *ǯɨlV- 'ползти, скользить' < ностр. *zilV.
1215|*zisxL-|344|кровь|blood|sisxl-|кpовь, диал. zisxa 'дизентерия'|blood, dial. zisxa 'dysentery'|zisxər-, zisxir-, zisxer-|||zisx-|||di(n)cxir-|||ЭСКЯ 87, EWK 144-145.
1216|*ziz-|0|наполнять, переполнять|to fill, overfill|ziz-in-|||ziz-in-|||||||||EWK 144.
1217|*zm-|1644|мечтать, грезить|to dream|zm-an-; si-zm-ar- 'dream (n.)'|||zim-|||zm-āl-|||zm-|думать; e-zm-oǯ-e 'сон'|to think; e-zm-oǯ-e 'dream (n.)'|ЭСКЯ 88, EWK 145-146.
1218|*zmor-|0|потягиваться|to stretch (intr.)|zmor-|||||||||zmor-|||EWK 146.
1219|*zo-|0|некоторый, отдельно|certain, separate|zog-|некоторый|certain|zoxo|отдельно|separate|||||||См. Климов 1969, 291 (где основа сближается с ПЗК *za- 'один' < ПСК *cHə̆).
1220|*zoɣw-|249|моpе|sea|zɣw-a|моpе|sea|zɣw-a|||zuɣwa, ʒuɣwa|||zɣua, (m)zoɣa, zuɣa|||Ср. zɣwar- `огpаничивать'? ЭСКЯ 89 (*zɣwa-), EWK 147.
1221|*zom-|0|мерить|to measure|zom-|||zəm-, zim-|||zum- / zm-, zəm-, zem-|||zum-, zim-|||ЭСКЯ 88, EWK 146-147.
1222|*zoṗ-|0|говорить, хвастать|to speak, boast|zoṗ-|хвастать, лгать|to boast, to lie|||||||zoṗ-(in)-, zoṗ-on-|говорить|to speak|Кл, EWK 147.
1223|*zrz-in-|0|приводить в смятение, возбуждать|to disturb, excite|zrzen-, zrzin-|||zərzən-, zirzin-|шум, гам|noise, holler|||||||ЭСКЯ 88-89.
1224|*zu-|0|жужжать|to buzz|zu-(il)-|||zu-(l)-, zv-(il)-|||zū(l)-, zə(-l)-|бурчать, бормотать|to growl, murmur||||EWK 148.
1225|*zugw-|1638|холм|hill|zugu, zug-did-|топонимы|toponyms||||zugw|холм|hill||||EWK 148.
1226|*zum-|0|визжать|to squeal|zmu-|||zum-in-||||||zum-|||ЭСКЯ 88 (*zmu-), EWK 148.
1227|*zur-|0|самка|female||||zur-a|трус|coward|zuräj; zurāl 'woman'|||zur-a|||ЭСКЯ 89, EWK 149.
1228|*zutx-|0|осетр|sturgeon|zutx-|||zu(n)tx-, zəntx-|||||||||Сравнение с ПИЕ *ǵhδū- 'рыба' (Климов 178-180) чрезвычайно сомнительно фонетически.
1229|*zw-|1636|котиться, телиться|to kitten, to fawn|zv-; mo-zv-er- 'calf over one year old'||||||z(w)-|||mo-z-a(r)-, mu-zar-|телка|heifer|ЭСКЯ 87, EWK 142, 143.
1230|*zwer-|0|собирать дань, пошлину|to collect tribute or toll|Old Georg. zver-|||zir-, zər-|||zwer-, zwr-|собирать|to collect||||Кл, EWK 143.
1231|*źr-|1558|сыpеть, меpзнуть|to get damp, to freeze|zr-|моpозить|to freeze (tr.)||||mə-žir-|сыpой, отсыpевший|damp||||Кл
1232|*źar-|1641|надоесть, испугать, быть неприятным|to have enough; to be scared; to be unpleasant|zar-||||||žar-||||||EWK 149.
1233|*źe-|0|верх, наверху|up, above|ze|||ži|||ži|||ži(n), ža-, žo-|||ЭСКЯ 90, EWK 150.
1234|*źerź- / źrź-|0|дpожать|to tremble|zrz-ol-|дpожать|to tremble|žarž-al-|начинать дpожать|to begin to tremble|||||||Кл, EWK 151.
1235|*źeź|0|колотить, лупить|to pound, thwack|zez-|дpать, лупить|to thwack, whip|žaž-|колотить, мять|to beat|||||||Кл, EWK 151.
1236|*źɣaṗ-|0|валить(ся)|to fall, fell|zɣaṗ-||||||žɣṗ-||||||EWK 153.
1237|*źwal- / źul-|0|падать, разрушаться|to fall, be destroyed|Old Georg. zvl-|||||||||žol-, žul-|||EWK 152-153.
1238|*źwaw-|0|оползень (снеговой)|landslide (snow)|zvav-||||||žaj, žäj, žäh||||||ЭСКЯ 90.
1239|*ʒ-|0|лежать|to lie|ʒ-, Old Georg. c-, ʒ-|||ʒ(u)-, ʒə-|||zi-, zə-|быть, лежать|to be, lie|ʒ(u)-, z(u)-|||ЭСКЯ 233, EWK 475 (*ʒew-). Ср. алт. *ǯā id.
1240|ʒacxw-|0|липа|lime tree|cacxv-|||cxacxu, (toponym) cucxv-at-|||zesx-ra|||ducxu|||ЭСКЯ 233-234, EWK 473-474.
1241|*ʒamL-|0|гоpная мышь|mountain mouse|Old Georg. ʒaml-|крыса|rat|||||||ʒemur-|большая гоpная мышь|big mountain mouse|Кл, EWK 471-472.
1242|*ʒanʒ-|0|увешивать(ся) плодами|to be laden with fruit|ʒanʒ-al- (рач.)|обильный, увешанный плодами|abundant, laden with fruit|do-ʒonʒ-il-|обильный, увешанный плодами|abundant, laden with fruit|||||||Кл, EWK 472.
1243|*ʒarćw-|0|грабить|to rob|ʒarcv-, ʒrcv-|||rču-, rč(v)-||||||č(v)-|||ЭСКЯ 235, EWK 472.
1244|*ʒećx-|840|огонь|fire|cecxl-|||da(n)čxir-||||||dačxir-, dačxur-, dačxer-|||ЭСКЯ 234, EWK 478.
1245|*ʒeć̣n-|0|ива, верба|willow, pussywillow|ʒec̣n-, ʒec̣n-a|||zič̣on-, č̣ič̣on-|||čič̣ə̄nd||||||ЭСКЯ 237 (*ʒ́eć̣wn-), EWK 479.
1246|*ʒegw-|0|молоть, молотить|to thresh, grind|ʒegv-|молотить|to thresh||||ʒg-ən-|молоть|to grind||||EWK 475.
1247|*ʒeɣ-|141|насыщать(ся)|to be satiated|ʒɣ-, ʒeɣ-|||rʒɣ-||||||ʒɣ-|||ЭСКЯ 235, EWK 477. Ср. ПИЕ *s[ə]-to- 'сытый', алт. *ǯē 'есть', урал. *sē[ɣ]e id. (МССHЯ 340).
1248|*ʒeḳ-|0|простой|simple|ʒeḳ-|простой, глупый|simple, stupid|ʒaḳ-|простой, обычный|simple, casual|||||||EWK 476.
1249|*ʒen- / *ʒin-|1564|прибавлять(ся), приобретать|to add, acquire|ʒen-, ʒin-|||ʒin-||||||nʒin-|||ЭСКЯ 235, EWK 476.
1250|*ʒenʒ-|886|abnutzen|abnutzen|ʒenʒ-|||(n)ʒanʒ-|||||||||EWK 476-477.
1251|*ʒeša-|1657|дрова|firewood|šeša|||diška|||(?) zek|||diška, dišḳa|||ЭСКЯ 234, EWK 477-478.
1252|*ʒeʒg-|0|давить, мять|to press, squeeze|ʒeʒg-|давить, мять|to press, squeeze|ʒgaʒg-|жевать|to chew|||||||Кл, EWK 478-479.
1253|*ʒeʒw-|0|колючник (раст.)|thistle|ʒeʒv-|||||||||daʒ-, danʒ-|||ЭСКЯ 234-235, EWK 479. Сближение с ПСК *ʒāʒĕ 'колючка' см. Климов 1964, 234-235, 1971, 229-230  (ср. особенно ПH *ʒēʒ, *ʒēʒu- 'лиственница').
1254|*ʒger-|0|толкать|to push|ʒger-||||||ʒger-, ʒgr-||||||EWK 474.
1255|*ʒgib-|0|наполнять, переполнять|to fill, overfill|ʒgib-, ʒgip-|||ʒgib-|||ʒgub-, ʒgb-|||(n)ʒgip-|||EWK 474.
1256|*ʒgwamb-|0|удаpить|to hit|ʒgvamb-|выпить залпом, пpоглотить|to swallow in one gulp||||ǯgwēmb-|удаpить (кулаком)|to hit (with the fist)||||Кл
1257|*ʒic-|0|смеяться|to laugh|sic-il-|смех|laughter|ʒic-, ʒəc-||||||ʒic-, dic-|||EWK 480.
1258|*ʒig-|1647|вид растения|a k. of plant|(Gur., Imer.) ʒigurai 'a k. of grass', (Imer.) ʒig-va 'thorny bushes'|||ʒig-ir-|колючка|thorn|||||||EWK 479-480.
1259|*ʒiʒg-|0|разрывать, раскалывать; щипать (крупно)|to split; to pluck|ʒiʒg-(n)-|||ʒgiʒg-on-|||ʒg-ən-|жевать|to chew||||ЭСКЯ 235, EWK 480-481.
1260|*ʒunʒul-|0|тpусить (о походке)|to jog|ʒunʒul-|||ʒvanʒval-|||||||||Кл
1261|*ʒuʒu-|0|женская грудь|breast (of woman)|ʒuʒu|||ʒuʒu|||||||||ЭСКЯ 235, EWK 481.
1262|*ʒ́ab-|0|вид обуви|a k. of footwear|рач. ʒabur-eb-|Hausschuhe|Hausschuhe||||ǯab-ir|Jägersandale|Jägersandale||||EWK 481.
1263|*ʒ́ag-|0|быть противным|to be ugly|ʒag-|||ǯog-|||žag-, žg-|отравлять|to poison|(n)ǯug-, ǯog-|||ЭСКЯ 236, EWK 481-482.
1264|*ʒ́aɣl-|1651|собака|dog|ʒaɣl-|||ǯoɣor-|||žeɣ-, žaɣ-|||ǯoɣo(r)-|||ЭСКЯ 236, EWK 484.
1265|*ʒ́al-|0|струна|string (n.)|ʒal-||||||ǯəl, ǯil||||||EWK 482-483.
1266|*ʒ́al- / *ʒ́el-|981|сильный|strong|ʒl-ieri|||||||||ma-n-ǯal-e '(a person) able to carry much wood or firewood'|||См. Марр 1910, 235. Долгопольский (1972, 170) сопоставляет основу с ПИЕ *sel(w)- 'отбирать силой,  овладевать', алт. *ziul-tu 'выдирать с корнем, корень', драв. *čoli- 'сдирать, грабить' < ностр.  *ʒUlʕV 'отбирать силой, быть сильным'.
