NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
1197|*c̣:VꭓV|1839|theft|c̣:oh||||||||||    Av. paradigm B (\Ic̣:ohó-l,\i \Ic̣:ohá-l\i). Cf. also \Ic̣:ohór\i (pl. \Ic̣:ohá-l,\i \Ic̣:ohá-bi\i) 'thief', \Ic̣:ohó-d-\i 'to steal'. Av. \Ic̣:ohod-\i > Cham. \Iṣūd-\i 'to steal; to hide'.
1198|*=icVn- ( ~ -s-)|1840|to find|||=ison-||=isã-|=isĩ-|=isan-||||
1199|*k-us-|1842|to search|||k-us-d-||||||||    Attested only in And., but having probable external parallels.
1200|*c̣iꭓ:V(n)-|1843|1 to search 2 to ask|c̣eꭓ:é- 1,2|||||c̣iꭓ:ĩ- 1|c̣eꭓ:- 1||||    In Av. Chad. cf. perhaps \Ic̣oꭓ-\i 'to count' (normally č̣- would be expected, but initial *c̣- was probably assimilated and transformed to c̣:- > Chad. c̣-).
1201|*=uq̇Vn-|1846|1 to come 2 to reach 3 to enter (pl.), to become||=áʕn- 1|=uGVn- 3|q̇un- 2|||||||    Akhv. reflects stem II \I*q̇un-,\i Av. and And.- stem I \I*=uq̇Vn\i (used in Av. Chad. only in the infinitive and prohibitive forms). Cf. also Akhv. Ratl. \I=uq̇ũ-\i 'to reach'.
1202|*=ič-|1847|1 to sell 2 to give|=ič- 1|=ičn- 1|||ič- 1,2||=ič- 1||||    -n-conjugation in Av. Chad. is not clear.
1203|*šʷVn-|1850|1 to take 2 to gather 3 to choose|=os- 1|=ošn- 1||=ušun- 2,3|sin- 2,3|šun- 2|||||    Tindi and Chamalal demonstrate a rather strange development of PA *šʷ- (we would expect h- in Tind. and š- in Cham.); perhaps it has something to do with the fact that Andian languages here reflect stem II \I*šʷVn-\i ( < \I*ʔšʷVn-\i with a reduction of initial vowel). Avar reflects stem I \I*=VšʷV(n)-.\i
1204|*=ač- ( ~ -o-)|1851|to carry|=ač:-||||=ač-id-||||||    A case of the correspondence Av. č: : PA *č (from PEC *čw in tense words).
1205|*q:an- ( ~ -o-)|1852|to snatch, take away|q:ám-|||q:on-|q:an-|q:an-|q:am-||||
1206|*=iq:-|1853|1 to take away, take out 2 to pull,drag 3 to bring|=aq:- 1|=aq:- 1|=iq:- 3|=eq:- 1|=eq:- 2|=eq:- 2|=oq:- 1||||    Most Andian languages, as well as Avar, reflect stem I \I*=iq:-\i (Av. \I=aq:-\i); the -o-vocalism in Kar. (cf. also Tok. \I=uq:-\i) is not quite clear. Stem II \I*q:u-r-\i (with an -r-suffix) is reflected in And. \Iq:ur-d-\i 'to pull, drag'; cf. also Cham. \Iq:o-d-,\i Gig. \Iq:u-r-\i id. There are also some reduplicated forms: Av. \I=aq:=áq:-,\i \I=aq:árq:-\i 'to take off, take apart', Chad. \I=aqaqn-\i 'to pull, drag', Kar. \I=erq:eq:-\i (Tok. \I=eq:irq:-\i) id.     In Andian there is an opposition between \I=iq:-\i 'to bring' and \I=eq:-\i 'to reach' (*'to be brought'); this is probably a splitting of a single original paradigm.
1207|*=oč̣-|1856|to choose|||=oč̣-||=ač̣n-||||||    The -n-conjugation in Cham. is secondary (cf. Cham. Gig. \I=ač̣-\i without it).
1208|*ꭓ:is-|1857|to change|ꭓis-|ꭓiš(n)-|||||||||    In lit. Av. there occurred an assimilation: \Iꭓis-\i < \I*ꭓ:is-\i (cf. the Chad. form pointing to *ꭓ:-). The Avar word was later borrowed in several Andian languages: Tind. \Iꭓis-ĳ-,\i Cham. \Iꭓis-(id)-\i, Kar. \Iꭓis-\i 'to change'.
1209|*=irux-|1858|to change|||=erš-|išu-č̣-|=ehʷ-|=eruhĩ-|=erxʷ- (Tok.)||||    Cf. also Cham. Gig. =eh- (pointing unambiguously to PA *-x-). Akhvakh has an obscure suffix -č̣- (probably reflecting some old compound).
1210|*=uꭓ:-|1859|1 to rake up, shovel up 2 to comb 3 take off|=uꭓ:- 1|ꭓa- 2|=uꭓ:- 3||=uꭓ:- 3|=uꭓ:- 3|||||    Cf. also Av. lit. ꭓ:á- 'to rake up, shovel up' (reflecting stem II). In And. the root means also 'to take away'. The meaning 'to take off' in Andian languages has obviously developped from *'tear off, scrape off'.
1211|*q̇:V-|1860|to lose, be defeated|q̇:e-|q̇:e-|||||||||
1212|*=iʁ(Vn)-|1861|to lose, be defeated|||=iʁan-||=iʁã-||=eʁ-||||
1213|*=iš(Vn)-|1863|to win|=érh-in-||=iš-|=iš-|=ih-|=ih-|=išan-|=išã-||=išã-|    Cf. also Kar. Tok. \I=ixṼ-\i id. The nasal conjugation in Av., Kar., Botl. and God. is probably secondary.
1214|*=ac̣- ( ~ -oc̣-)|1865|1 to drive, urge; to swarm (bees) 2 to reach|=ac̣- 1||||=ac̣- 1|=ac̣- 1|||||    In Av. the verb also means "to forge, hit, fight", but this is most probably a fortuitous homonymy. Cf. also Cham. Gig. \I=az-\i 'to reach'. Perhaps (with old Ablaut) we should add here also Cham. \I=uc̣-\i 'to run away' (*'be driven').
1215|*=Vs:Vn-|1866|to turn round, return|=us:-n-|=us-n-|||||||||
1216|*ʔiƛ:- / *ƛ:Vr-|1838|1 to rub (against smth.) 2 to glide 3 to crawl|ƛ:urí- 1|ƛurs- 2||iƛ:- 1|ƛ:uƛ:a-d- 1|ƛ:iƛ:- 1|ƛ:or- 3||||    Stem I (\I*ʔiƛ:-\i) is reflected only in Akhv.; other languages reflect either stem II \I*ƛ:Vr-\i (cf. also Cham. Gig. \Iƛ:ur-\i 'to crawl', Kar. Tok. \Iƛ:ol-\i 'to rub, stroke') or a reduplicated stem (cf. also Av. \Iƛ:uƛ:á-\i 'to rub'). Stem II \I*ƛ:V-b-\i is reflected in Tind. \Iƛ:ab-d-\i 'to crawl (on one side)'. Av. > Arch. \Iƛur-bos\i 'to rub'. Cf. also similar roots for a) 'to scrape, scratch': Cham. \Iƛ:an-,\i \Iƛ:aƛ:an-,\i Gig. \Iƛ:am-;\i b) 'to sweep': Av. ƛ:- in \Iƛ:-ux-,\i \Iƛ:-uq:á-,\i Chad. \Iƛʷa-,\i And. \Iƛ:ar-d-,\i Cham. \Iƛ:a-d-,\i Tind. \Iƛ:ē-,\i Kar. Tok. \Iƛ:al-.\i
1217|*=is:t- ( ~ -š:t-)|1867|to let, leave||=ecé-|=elt-|=es:- (Ratl.)|=es:-|=ešt-|=eš:d-||||    The stem is probably an old compound of \I*=is:-\i ( = PL \I*=as:ar-\i) and \I*=it-\i 'to let' (q.v.), with a special development of the specific cluster *-s:t-.
1218|*qVl- ( ~ ꭓ-)|1869|to trot, to run|hel-||||||||||    Av. > And. \Ihel-lu\i id.
1219|*ṭVr-|1870|1 to run 2 to run away|ṭur- 2||||ṭa-d- 1|ṭē- 1||||ṭar-|    Cf. also God. Zib. \Iṭar-d-\i 'to run'. The Cham. and Tind. forms also go back to \I*ṭa-d-\i < \I*ṭar-d-\i ( ~ -o-), with a suffixed -d-. All languages reflect stem II \I*ṭVr-.\i
1220|*ƛ:u-t-|1872|to run (away)|ƛ:ut-||||||||||
1221|*=ič̣:ʷV(r)|1873|to run (away)|||=uč̣:in-||=uṣ-|č:ʷē-|č̣:ʷar-|||č:ar-|    Cf. also And. \Ič̣:ar-d-\i 'to glide', Kar. Tok. \Ič̣:ol-\i 'to run away'. All languages except Andian and Cham. (U.-Gakv.) reflect stem II \I*č̣:ʷVr-\i (cf. also Cham. Gig. \Ic̣ar-\i id.).     The Andian -n-conjugation may be explained by a contamination with another PA verb, reflected in Cham. Gig. \I=uc̣ã-\i 'to fly'.
1222|*ḳanc̣-|1874|to jump, leap|ḳanc̣-|ḳanč̣-|||ḳanz- (Gig.)||ḳanc̣-||||
1223|*s:ʷVr-|1876|1 to spin 2 to turn round|s:ʷer- 1,2|sʷer- 1,2|s:or-d- 2||s:a-d- 1|s:ʷar-d- 2|s:or- 2||||
1224|*HVdV-rV|1788|empty|hodóra-b||||||||||    The Avar word was borrowed in several Andian languages: Akhv. Tlan. \Ihodola-b,\i Kar. (Leksika), Botl. (Leksika) \Ihodoru-b,\i Bagv. (Leksika) \Ihorolu-b,\i Tind. (Leksika) \Ihojru-b.\i
1225|*zʷil- / *zʷir-|1877|1 to slide 2 to slip 3 to rub, rumple|zur- 3|žur- 3|||zod- 1|zol- 2|zor- 1||||    Cf. also Tind. \Izʷē-\i 'to ski, to slide', Kar. Anch. \Izor-d-\i 'to slide'. Av. > Bezht. \Izurzi =ow-\i 'to rub'.
1226|*q̇ul-|565|to slide||||q̇ul-|||||||    Cf. perhaps also an expressive reduplication \I*q̇iq̇ʷa-b-\i in And. \IGiGab-šo-\i 'to shake, sway', Kar. \Ioʔab-\i / \Iʔʷab-\i id.
1227|*=oq:- ( ~ -a-)|1879|1 to stand up 2 to rise, grow 3 to raise|=aq:n- 1|ṭa=oqn- 1||aq:- (Tseg.) 3|eq:n- 2||=aq:- 2||||    Cf. also Av. \I=aq:-ár-\i 'to stand up (frequently)'. The -n-conjugation in some dialects is probably secondary.
1228|*=Vč:-|1880|1 to ferment 2 to turn sour|=eč:- 1|=ecn- 1|||||=eč:an- 2||||    Cf. also Kar. Anch. \I=eč:-\i 'to turn sour'. The root reveals a variation between -0 and -n-conjugation.
1229|*-č:Vꭓ:-|1881|to fade, wither||||||ḳʷan-č:aꭓ:-|||||    Attested only in Tindi, with an unclear first part; the PA reconstruction is highly dubious.
1230|*q̇V(r)-|568|to turn sour, coagulate||||||ā- / ē-|er-||||    Cf. also Kar. Tok. \Iʕel-\i id.
1231|*=ic̣-|1882|to melt|||||=ic̣-|=ic̣-|=ic̣-||||    Cf. also Cham. Gig. \I=izn-\i id. (with secondary -n-conjugation).
1232|*=Vc̣:-|1883|to drip, pour; to weep|=ec̣:-||||||||||    Cf. also Av. \Ic̣:al-t-\i 'to soak, become wet' (probably derived from stem II of the same root).
1233|*=iš:ʷV(n)-|1885|to extinguish, go out (of light)|s:ʷ-in-|sen-||=is:ʷ-|=is:ʷ-|=uš:-|=eš:ʷã-|||=iš:ĩ-|    The correspondence Av. s:(ʷ) : PA *š:(ʷ) is irregular (see below).
1234|*žab- ( ~ -o-)|1886|to hurt, be in pain|||||zaj- / zā-|žē-||||žab-|    Cf. also Cham. Gig. \Izab-\i id.
1235|*ʔa=aꭓʷ-|1889|to swell|||a=aꭓ-|abaꭓ-|ābaꭓ-|abaꭓʷ-|ʕabih- (Tok.)||||    Changing class infixes are attested only in Andian (cf. aor. \Iabaꭓo\i / \Iaraꭓo\i), and it is not quite clear whether it is an archaism or an innovation. In any case, the structure of this verbal stem is quite exceptional. There also exists a reflex of stem II \I*ꭓʷV-\i in Tind. \Iꭓʷē-\i 'to swell; to rise (of dough)'.
1236|*c̣:i-n-|1888|to tickle, scratch; to be ticklish||||c̣:in-||c:ic:in-|||||    The Tindi form is reduplicated.
1237|*=Vkʷ(Vn)-|1890|to itch|=uk-ár-|ruk-ár-|kʷonnikʷon =iḳ-||||||||    Cf. also Av. \Irukén\i 'itch, itchy feeling'. Andi has a compound verb (\I=iḳ-\i 'to be') with a reduplicated first part.
1238|*qas:-|1891|to scratch|q:as-|qaš-||q:as-|||||||    The correspondences are irregular, and the reconstruction not quite certain: Av. reflects \I*q:as-,\i but the regular Akhv. correspondence would be \Iq:aš-.\i The most probable solution is to reconstruct \I*qas:-\i with an independent metathesis of the tenseness feature in Av. and Akhv.
1239|*ꭓ:Vč- / *q:Vč-|1892|to scrape|ꭓ:ačá-|qičí-ʁ-|||||||||
1240|*=uš:-|1894|1 to scatter, strew 2 to be scattered, fall|š:ʷa- 1|susá-ḳ- 1||š:e-r- (Ratl.) 2|š:uš:ē-d- 2|=uš:- 1|||||    Av. and Cham. reflect a reduplicated stem \I*š:uš:-\i (cf. also Av. lit. \Iš:uš:á-\i 'to be scattered'). An expressive root, which explains the preservation of š: in Cham. and Akhv. (regularly s: would be expected; on the possible regular reflex in Cham. see under \I*=Vrc̲wĂ\i).
1241|*=VH- (/ *HVr-)|1895|to throw, scatter|=a-||||||er-||||
1242|*=iq:Vn- / *q:in-|1896|to break, be broken||=iqn-|=iq:in-||=aq:n-|q:in-|q:in- (Tok.)||||    A typical alternation of stems I (\I*=iq:Vn-\i) and II (\I*q:in-\i); in Cham. cf. also \Iq:in-\i ( = \I=aq:n-\i) 'to break' (\Iq:in-\i is transitive, \I=aq:n-\i can be both transitive and intransitive). The root should be kept apart from PA \I*=iq:ʷ-\i / \I*q:ʷar-\i 'to tear off' (q.v.).
1243|*ƛ̣:ab- ( ~ -o-)|1897|1 to beat, hit 2 to burst, shoot|ƛ̣:ab-|ƛ̣aṗ-|ƛ̣:a-hun-/-ṭun- 2||=iƛ̣:ʷal-|ƛ̣:ʷē-|ƛ̣:ab- (Anch.)||||    The stem \I*ƛ̣:ʷa-\i with different suffixes is also used in expressive verbs meaning 'to burst, to shoot': besides And. \Iƛ̣:ahun-\i / \Iƛ̣:aṭun-\i cf. also Av. \Iƛ̣:ʷah-\i (Chad. \Iƛ̣ʷah-\i), Cham. \Iƛ̣a-d-,\i Tind. \Iƛ̣:ʷah-ĳ-.\i A loan from Avar is Gunz. \Iƛ̣ahzi =ɔq-\i 'to burst'.
1244|*=Vq̇:Vn-|1900|to pound, crush, hit (with a hammer)|=óq̇:n-|=oq̇-|||q̇:a-d-||||||    Cham. reflects stem II with a -d- suffix (\I*q̇:V(n)-d-\i); Avar - stem I (but cf. also stem II in \Iq̇:ín-\i 'to pulverize, make small'). Loss of the -n-conjugation (confirmed by external evidence) in Av. Chad. and Cham. must be secondary.
1245|*=iq̇ʷ- / *q̇(ʷ)ar-|1901|1 to break (trans.) 2 to break, split (intr.)|||Gar-d- 2|=iq̇ʷ- 1|||=iʔʷ- 1||||    Cf. also Akhv. Tseg. \I=uʔ-,\i Tlan., Ratl. \I=uq̇-,\i Kar. Tok. \I=uʕ-.\i Akhv. and Kar. reflect stem I, And. - stem II.
1246|*b-uṭV / *ṭubi|1902|part|buṭá|||ṭubi|ṭub|ṭubi|ṭube||ṭub|ṭubi|    The PA \I*ṭubi\i is a metathesis ( < \I*b-uṭi\i), as seen from the Avar parallel. Av. \Ibuṭá\i was borrowed in some Andian languages (Akhv. Tseg., Kar. Rats. \Ibuṭa\i), as well as in Lak. (\Ibuṭa\i 'part'), Darg. (Ak., Ur., Kait., Kub., Tsud. \Ibuṭa\i) and Arch. (\Ibuṭi\i 'part').
1247|*=uʁ- / *ʁur-|1903|1 to hit 2 to break up, crush|ʁur- 2||||=uʁ- 1|=uʁ- 1,ʁurĳ- 2||||=uʁ- 1|    As in many other verbal roots, two stems are represented: stem I \I*=uʁ-\i and stem II \I*ʁu-r-.\i
1248|*=iq̇:(Vn)-|1904|to divide||||=iq̇:-|=iq̇:-|=iq̇:ĩ-|=eq̇:-|||=eq̇:ĩh-|    Besides Tind. and God., nasal conjugation is attested also in Kar. Anch. \I=ĩq̇:-\i (\In-iq̇:-\i). There are two derivates from this root: PA \I*=iq̇:in(V\i) 'half' ( > Akhv. \Imeq̇:e-da,\i \Imiq̇:e-s:i,\i Cham. Gig. \Ibeq̇:ina,\i Tind. \Ibeq̇:ana-s:a,\i Kar. \Ireq̇:en-λer,\i \Ireq̇:ema,\i Anch. \Iniq̇:o\i) and \I*r=iq̇:irV\i 'part', reflected in Akhv. \Ireq̇:er,\i Ratl. \Iriq̇:eri\i ( = PN \I*d=āq̇a\i).
1249|*=uq̇:- / *q̇:ir-|1905|to cut, chop|||=uq̇:-|=uq̇:-|=uq̇:-|=uq̇:-|=oq̇:-|=uq̇:-|=uq̇:-|=uq̇:-|    Cf. also Akhv. Ratl. \I=oq̇:-,\i Kar. Tok. \I=uq̇:-.\i With reduplication cf. Tind. \I=uq̇:uq̇:-,\i Cham. \I=uq̇:uq̇:-,\i And. \I=aq̇:aq̇:-\i 'to cut in small pieces'. Stem II \I*q̇:ir-\i is reflected in the following forms: And. \Iq̇:ir-d-,\i Akhv. \Iq̇:er-,\i Cham. \Iq̇:i-d-\i (Gig. \Iq̇:ir-\i), Tind. \Iq̇:er-d-\i 'to clip, shear' (in Cham. also 'to chop'). With expressive suffixation cf. perhaps also Av. \Iq̇:unc̣-\i 'to clip, shear' ( < \I*q̇:e-nc̣-,\i as seen from the old Arch. loanword q̇enc̣-bos id.).
1250|*=Vk(Vn)-|1907|1 to break, break off, hit 2 to touch|=ek- 1|=ekn- 1||||ki-d- 2|||||    The verb has a not quite clear original meaning (some broad concept of physical contact action), which explains the difference of meaning in Av. and Tind. Avar represents stem I (\I*=Vk(Vn)-\i), Tindi - stem II (\I*ki(r)-d-\i).
1251|*=ax- ( ~ -o-)|560|to whet|ƛ:-ux-|ƛ-ux-|||=āh-|=āh-|||||    Cf. also Cham. Gig. \I=āh-\i 'to whet'. Length of vowel in Cham. and Tind. is not clear; otherwise correspondences are regular. Av. ƛ:- is an expressive preverb.     Since in Avar the verb \Iƛ:-ux-\i means both 'to whet' and 'to sweep' ( = 'to make clean, polished'), it seems possible to relate here also the PA word for 'broom, besom' \I*ʔi(r)xu:\i Cham. \Iīhʷ\i (Gig. \Iihu\i), Tind. \Iehu,\i Kar. \Ierxu,\i Bagv. \Ierxʷ\i (Tlond. \Iehʷ\i).
1252|*=oƛ:- ( ~ -a-)|1645|1 to punch a hole, to bore 2 sharpen, set (knife)|=orƛ:- 1|||||aƛ:- 2|||||    An old derivate is Av. \Iƛ:iní\i 'chisel' ( > Lak. \Ix:ini\i id.).
1253|*=aḳ:ʷV(n) ( ~ -o-)|1908|1 to rumple, crumple 2 to knead 3 to rub|ḳ:ʷa- 1|=uḳéḳn- 2|ḳ:ʷar-d- 2|||=ak:ʷĩ- 2|ḳ:ʷar- 1,2||||    An expressive verbal root. The Chad. reduplication exactly matches lit. Avar \I=uḳ:=uḳ:n-\i (a reduplicated stem with double class prefixes) 'to become rumpled, crumpled'. Besides the forms cited cf. also Av. \I=uḳ:n-\i 'to be rumpled, crumpled', Tind. \I=ak:ʷa-š:-\i 'to rumple', Kar. \Iḳ:ʷar-aš:-,\i Archo., Anch. \I=eḳ:ʷa-š:-,\i Tok. \Iḳ:ob-\i 'to rumple, to knead'; Akhv. (Tseg.) \Iiḳ:ʷar-\i 'to rub', And. \Ič̣:an-d-\i 'to rub', Cham. \Iṣan-\i (Gig. \I=ac̣:a-h-\i), Tind. \Iḱ:an-\i id.     As seen from the data, following stems are represented: a) \I*=aḳ:ʷVn-\i (stem I) / \I*ḳ:ʷan-\i > \I*ḳ:an-\i (stem II); b) \I*ḳ:ʷa-r-\i / \I*ḳ:ʷa-b-\i (also \I*ʔiḳ:ʷa-r-\i in Akhv.); c) \I*=Vḳ:ʷa-š:-\i / \I*ḳ:ʷar-aš:-\i     It is possible that several roots (all with a tense root obstruent ḳ: or ḳ:ʷ) are mixed together here, but there is absolutely no possibility to distinguish between them.
1254|*ḳʷVḳ-|1808|1 to rumple, make soft 2 to rub|ḳʷéḳ- 1|ḳéḳ- 2|||||||||
1255|*=Vḳ:-|1910|to trim, hew (stone)|=eḳ:-||||||||||
1256|*ʁa-b-/*ʁa-n- (~-o-)|1912|1 to scratch, scrape 2 to comb|||||ʁan- 1,2||ʁab- 1||||    Cf. also Cham. Gig. \Iʁam-\i 'to scratch; to comb'. Only stem II (\I*ʁV-\i) is represented.
1257|*=is- ( ~ -c-)|1849|1 to press 2 to move 3 to press oneself (to smth.)|||=is- 3||=is- 1, =es- 3|||||b-is- 1,2|
1258|*=iq:ʷ- / *q:ʷar-|1914|to tear off, break off|=iq:-||q:ab-d-|q:ʷar-|q:a-d-|q:ab-d-|||||    Stem I is reflected in Avar and in And. \Ir-uq:-\i 'to skin'; stem II \I*q:ʷVr-,\i besides the forms listed above, also in Av. \Iq:ur-\i 'to pound, crush'. Cf. also Cham. Gig. \Iq:ab-\i 'to tear off, break off', Tind. (with reduplication) \Iq:abq:-\i / \Iq:aq:ʷ-\i id.  (like And. \Iq:ab-d-,\i Tind. \Iq:ab-d-,\i reflecting a stem \I*q:ab-\i ( < \I*q:ʷa(r)-\i). The root should be distinguished from a similar root \I*=iq:Vn-\i (q.v.) with a nasal conjugation, although they tend to merge (e.g. in Avar dialects). On the other hand, it seems possible to relate here PA \I*ʔoq:-\i 'to grind' (as an old Ablaut grade): cf. And. \Iiꭓʷ-oq:-,\i Akhv. \Iaq:-,\i Cham. \Iaq:-\i (Gig. \Ik-oq:-\i), Kar. \Iq:or-\i (Anch. \I=aq:-\i). Loss of labialisation may be attributed to early dissimilation after *-o-.
1259|*žVm- / *-Vž-|1916|1 to twist, wind 2 to wrap|žem- 1|||=ar-až- 1||=er-už- 1|=egʷ-až- 2||||    The morphological structure of the stem in Andian languages (components =ar-, =er-, =egʷ-) is not quite clear. Still, the relationship of Av. \Ižem-\i (stem II) and PA \I*-Vž-\i (stem I) is very probable. Kar. (Arch., Rach., Anch.) has also a stem \Ižem-\i 'to wrap', which is most probably borrowed from Avar.
1260|*ƛ̣:(ʷ)an-|1855|to pull|||ƛ̣:an-||||||||    Attested only in And., but having probable external parallels.
1261|*=iʁVn- / *ʁiʁVn-|1918|1 to be nervous, capricious 2 to shake, sway|=iʁn- 1||||ʁiʁin- 2|ʁiʁan- 2|||||    In Av. cf. also the frequentative \I=aʁ-ár-\i 'to be aroused, agitated, upset, to stir'. Av. > Cham. \Ibaʁar-id-\i 'to rock, sway, shake'.
1262|*=aꭓʷVn|1919|to open|rah-|=ahn-|arꭓin-|aꭓ-|aꭓVn-|=aꭓʷĩ-|||||    Medial -r- in And. is secondary (cf. the petrified r- in Av. \I\Irah-\i\i); reasons for the loss of the n-conjugation in lit. Av. and Akhvakh are not clear (all other languages point uniformly to *-n).
1263|*ʔinš:ʷ- / *ʔiš:ʷVn-|1922|1 to darn 2 to lock 3 to unlock|š:uš:n- 1||d-aš:- 2||is:ʷVn- 3|inš:ʷ- 2|||||    Cf. also Cham. Gig. \I=as:ʷVn-\i 'to unlock' (the only form with changing class prefixes, probably secondary). Loss of -n-conjugation in And. is not clear.
1264|*=a(r)qVn- ( ~ -ꭓ-)|1644|to smear|=aꭓn-|=aħn-|||||||||
1265|*=iλ(Vn)|1923|1 to paint 2 to smear|=eλn- 1|||=iλun- 1|λa-d- 2|=eλ- 2|=eλan- 1||||    Cf. also Akhv. Tseg. \I=eλan-,\i Kar. Tok. \Iλal-\i  ( < \I*λar-\i)  'to paint', Cham. Gig. \Iλar-\i 'to smear', with reduplication Cham. \Iλiλa-d-\i (Gig. \Iλuλa-b-\i) 'to knead (dough)'. PA \I*=iλ(Vn)\i reflects a root variant with early delabialisation; the same root, but without delabialisation (and with regular development *x:w > *x) is probably reflected in Av. \I=ox-\i 'to smear' (Chad. \I=ox-\i 'to stick to, glue'), And. \I=uš-\i 'to smear'.
1266|*sin-|1924|1 to paste, glue 2 glue (n.)|se-dé-1,sínu2|||šin- 1|sin 2|sin-ih-1,sini 2|sin- 1, sine 2||sinʷ 2|sini 2|
1267|*čʷaꭓ:- ( ~ -o-)|1925|1 to flow, pour 2 urine|čʷaꭓ:- 1|||čʷaꭓ:- 1||||||čuꭓ:u 2 (Zib.)|    Cf. also Av. \Ičʷáꭓ:i\i 'current; waterfall', Unt. \Ičʷaꭓ-ṭiro\i id.
1268|*=oxʷVn-|1927|1 to bind, tie 2 to knit, plait|=uxn- 1|=uxn- 1|=ošin- 1||||=exux- 2||||    Cf. also a reduplicated stem in Av. \Ixuxn-\i (Chad. \Ixux-\i) 'to knit, plait' ( = Kar. \I=exux-\i). It is interesting to note Cham. \I=aλiλa-d-\i 'to knit, plait' which probably reflects an early variant of the same stem with delabialisation (and, accordingly, preservation of the lateral *λ).
1269|*=ajčʷ-|1928|1 to untie, unbind 2 to unwind, unreel|=ič- 1,2|=ič- 1|=ajč- 1||=aš- 1,2|=ačʷ- 2|||||    Cf. perhaps also Kar. \I=ič-\i in a compound verb \I=ič-anxʷ-\i 'to knit' (the second part is PA \I*=oxʷVn-\i q.v.).
1270|*-iḳ(Vn)-|1929|to stick, glue|reḳn-||||ḳe-d-||||||    Cf. also Cham. Gig. \Ireḳi-d-\i id.
1271|*=aq:ʷ- ( ~ -o-)|1931|to dig|=uq:-|=oq-||=aq:ʷ- /=aq:un-|=aq:ʷVn-|=aq:ʷĩ-|=aq:ʷan-||||    -n-conjugation in several languages must be secondary (cf. the variation in Akhvakh, and the nasalless conjugation in all Avar dialects).
1272|*=iḳ-|1932|to chisel, pick|=iḳ-||||||||||
1273|*=iƛ̣:-|1933|1 to plough 2 to sow|=eƛ̣:- 1,2|=eƛ̣- 1|=eƛ̣:- 1,2|=eƛ̣:- 1|=eƛ̣:- 1|=eƛ̣:- 1|=eƛ̣:- 1|=eƛ̣:- 1|=eƛ̣:- 1|=eƛ̣:- 1|
1274|*ꭓ:an-|1934|1 to shave 2 to mow|||ꭓ:an- 1,2|ꭓ:ʷan- 1|ꭓ:an- 1,2|ꭓ:an- 1,2||||ꭓ:an- 1|    Cf. also Cham. \Iꭓ:i-d-\i (with nasalless conjugation) 'to shear (sheep etc.)'.
1275|*=okʷ-|1935|to reap|||=okʷ-||akʷ-|akʷ-|=akʷ-||||
1276|*=irš:-|1937|to weave|=es:-|=es-|=eš:-|g-os:-|is:-|iš:-|k-erš:an-||||
1277|*halHV ( ~ ħ-)|1938|1 to boil 2 boiling 3 steam|hal- 1, háli 2|hʷal- 1|hal (Leksika) 3||hā 3|hā 3|||hal (Leksika)||    Cf. also Cham. Gig. \Ihara\i (with a not quite clear -r- instead of -l-).
1278|*=acVn|1939|to measure|=orcn-|=oršn-|=asin-|=ačun-|=asVn-|=asĩ-|=asan-|=asVn-|=asã-|=asã-|
1279|*=VH- / *HVn-|1940|1 to full, felt, rumple 2 to knead|=uʕ- 1||||an- 2|an- 2|||||    The Andian forms reflect stem II \I*HVn-;\i Avar reflects stem I \I*=VH-.\i Reconstruction of the root consonant *q̇ is also possible, but less probable because of external evidence.
1280|*=ic̣:ʷ-|1941|1 to throw, shoot 2 to winnow||||g-oc̣:- 1|=uṣ-||||||    Cf. also Akhv. Tseg. \Iuc̣:-,\i Ratl. \Iorc̣:-\i 'to throw, shoot'.
1281|*λar- ( ~ -o-)|1942|to sweep||||λar-|||λar-||||
1282|*=ič:- / *č:Vb-|1944|1 dip 2 splash, sprinkle 3 splash out 4 soak 5 wet|č:uj- 1, =ič:- 4|||=ic:- 4|=ic:- 5|č:ab-d- 2|č:eb- 3, =ič:- 4||||    Cf. also Av. \I=íč:-ara=\i 'wet', Tind. \I=ič:-\i 'to soak', \I=ič:u=\i 'wet', Kar. \I=ič:o=\i 'wet'. Most languages reflect both stem I \I*=ič:-\i and stem II \I*č:Vb-.\i
1283|*s:V(r)-|1945|to pour|||||s:ē-d-||||||    Attested only in Cham., thus for PA *š:- is also possible. In the latter case the Chamalal root may be a regular reflex of PA \I*=uš:-\i / \I*š:V(r\i)- 'to scatter' and belong to PEC \I*-ŭś̲V\i q.v.
1284|*q:a(r)-d- ( ~ -o-)|1947|to weep|||||q:a-d-|q:aj-|q:ā-|||q:ad-|    Cf. also Kar. Anch. \Iq:ar-\i id.
1285|*=oꭓʷ-|1949|to comb|||=oꭓʷ-||||||||    Attested only in Andian, but having good external parallels.
1286|*=oƛ̣-|1950|to put clothes (on the upper part of body)|=eṭn-|reṭé(l)-|=ol-||=al-|=al-|=aƛ̣-||||    Cf. also Av. Ants. \Iriƛ̣ín-zi,\i \Ireƛ̣é-zi;\i Kar. Anch. \I=alʔ-\i id. -n-conjugation in Avar is secondary, due to the influence of \I*=iƛ̣:Vn\i 'to put on (lower part of body)'.
1287|*sVs(Vn)-|1953|to be quiet, silent|sasn-||||||||||
