NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
1248|*mas:|1848|1 price 2 to sell|mas 1|masu t:uwus 2|masa jis 2|masɨ wɨs 2|mas:a heles 2|mazä wujeǯ 2||mas 1||    The noun itself is preserved in Lezg. and Archi (for tense *s: cf. the Archi conjunctive form \Imas:u\i 'and the price'). In other languages the root is used in compounds meaning 'to sell' ('give (for) a price') or 'to buy' ('take (for) a price'); cf. also Lezg. \Imasa gun\i, Tab. Düb. \Imas:u duwus\i 'to sell'. Judging from these forms, the PL obl. base can be reconstructed as \I*mas:a-.\i
1249|*ʔis:a-|1849|1 to hold, catch 2 to press 3 to touch 4 take away|il-is- 2|=is- 1,4|awaj-s:i- 1|||||s:a- 3||    The Agul word is from the Burshag dialect.     See Хайдаков 1973, 104.
1250|*ʔiš:ʷä-|1850|to take, to buy|||ʁ-uš-|l-ä=šʷa-|al-iš:e-|||š:u-||    Cf. also Ag. dial. \Iʁ-uža-\i (pointing to *-š:-). The verb belongs to the weak class. Rutul reflects the Ablaut grade *-ä- (cf. also the same in the Tsakh. pres. \Iil-eš:e\i). With other preverbs cf. Rut. \Iläq-ä=šʷa-,\i Tsakh. \Iʁa=š:e-\i 'to take away', \Iq-i=š:e-\i 'to plane, hew, skin' ('take surface off'), \Iqal'k-i=š:e-\i 'take off (clothes)', Rut. \Iäʁ-ä=šʷa-\i 'to catch, hold'.     See Лексика 1971, 240; Гигинейшвили 1977, 135.
1251|*ʔačʷɨ-|1851|1 to take 2 to take away 3 to bring|q:-aču- 1||||sa=če- 2||||eč-sun 3|    Cf. Lezg. pret. \Iq:aču-na.\i The Lezg. form (in -u-) points to labialisation of *čʷ, which was early lost in the PL *-ɨ-conjugation. We should also compare (with *a/*i Ablaut) the Shakhdagh verb of motion: Kryz. pres. \Ičä-ri,\i imper. \I=ič-\i 'to go', Bud. imper. \Iw-ič\i id.; cf. also the Tab. imperative \Iʁa=č\i (Düb. \Iq:a=č\i) 'come!' (formally quite close to Lezg. \Iq:aču-\i), perhaps also Ag. \Iača-\i in \Iača-baI-s,\i \Iača-dis\i  (compound verbs) 'to enter'.
1252|*(ʔi)q:Vn-|1852|to take||||||q:ä=n-|q:e=n-|||    Both Kryz. and Bud. reflect a form with reduced PL Anlaut (probably *ʔi-).
1253|*ʔiqIV(r)-|1853|1 to drag, carry 2 to carry on the back||a=qI- (imper.) 1|q-aq- 2|||||ꭓIa- 1||    Cf. also Ag. Bursh. \Iq-aqi-\i 'to carry on back'. Tab. and Ag. reflect the Ablaut stem \I*ʔäqIV(r\i)- (in Ag. - with secondary loss of pharyngealisation in the vicinity of front vowels). There are no parallels in Tsakh. and Shakhdagh, thus it is impossible to establish the presence or absence of *-r-conjugation in PL.
1254|*ʔot:ʷ[ɨ]-|1854|1 to shave 2 to pluck 3 to tear 4 to shear (sheep)|t:ʷa- 1|ud-u=d- 2|ud- 2,3||q-o=da- 3 (Mishl.)|=ud- 4|ed- 4|=ot:a- 2,3||    Cf. also Lezg. pret. \It:u-na;\i Tab. Düb. \Iu=d-\i 'to tan' (*'to pluck hair').
1255|*jiƛ:ʷän-|1855|1 to pull 2 to be pulled, slide|č̣-ugʷa- 1|z-i=g- 1|d-iw- 1||git:-i=ɣan- 2|jiɣn- 1|ji=n- 1|ƛun- 1||    Cf. also Lezg. pret. \Ič̣-ugu-na;\i Tab. Kand., Düb. \Iʒ-i=ɣ-\i (Lezg. and Tab. have expressive preverbs; with an analogous expressive preverb cf. Kryz. \Ic̣ɨ=ɣn-\i 'to slide'). With other preverbs cf. Ag. \Ifat:-iw-\i 'to take away', \Iʕat:-iw-\i 'to choose', \Iʕad-(i)w-\i 'to lift'; Bursh. \Iqad-iwa-\i 'to pull', \Iʕad-(i)wa-\i 'to pull up, lift' (not quite clear is the loss of *-n-conjugation in Ag.). The Ablaut grade \I*joƛ:ʷän-\i is reflected in Arch. \Io=ƛin-\i 'to be pulled out, to go out; to take away'.     The same root is used in Tab. to denote 'to press': lit. \Iilz-i=g-,\i Kand. \Iilz-i=ɣ-,\i Düb. \Iilʒ-i=ɣ-.\i This sheds light on related Agul forms with the same meaning (Bursh. \Ialazi-\i < \I*alaz-ĳa-\i < \I*-iɣa-,\i Rich. \Ialz-ira-s\i < \I*alz-i=r=ɣa-s\i), as well as on the Archi form \Ib-aIƛin-\i (\Ib-aIƛm-us\i) 'to press' (reflecting the stem \I*jäƛ:ʷän-\i with petrified b-prefix and expressive pharyngealization).
1256|*ʡirꭓ:Iär-|1858|to change||huǯ-uꭓI-|d-aX̀u-b aq̇as|k-ɨrꭓIɨ haʔas|||čorħ-/čere=ħir-|ꭓ:Ioro=ꭓ:Ii-||    Cf. also Tab. Düb. hūꭓI-, Ag. Bursh. ad-iX̀a-. The Archi form is a compound of *o=ꭓIi- 'to change' with the first part ꭓ:Ioro- (cf. ꭓ:Ioro-t:u= 'strange, different', ꭓ:Ioro kes 'to change') - which itself is derived from the same verbal root: ꭓ:Ioro- reflects the stem *ʡirꭓ:Iär- (with regular reduction of the first narrow vowel), while o=ꭓ:Ii- reflects an Ablaut grade *ʡorꭓ:Iär- (cf. the same Ablaut grade in Rut. -ɨrꭓIɨ). The Bud. form contains a preverb č-.
1257|*ʡälꭓ:Iɨ-|1859|1 to scoop up;gather 2take away 3 choose 4take off|||||ʁI-a=ꭓ:Ia- 3|G-ä=ħ- /G-iħ- 2|a=ħ- 4|=erꭓ:Ia- 1||    Cf. Arch. dur. =erꭓ:Iu-r (for final *-ɨ), and (with the same semantic development as in Shakhdagh) ga=ꭓ:Ia-s (ga=ꭓ:Iu-r) 'to take off'; Kryz. ja=ħ- / jiħ- 'to take off; to skin, take off skin'; Bud. ja=ħ- 'to scrape, skin, take off skin'.
1258|*ʡorq̇:Ie- (~ -ä)|1860|to lose, be defeated||||||||o=q̇:Ia-||    A verb with irregular Auslaut alternation (cf. dur. =orq̇:Ii-r). Attested only in Archi, but having probable external parallels.
1259|*ʔaq:(ʷ)V(n)-|1861|to lose, be defeated||k:-a=ʁ-||||||||    Attested only in Tab. (with the preverb k:-), but having probable external parallels.
1260|*ʔirṭe- ( ~ -ṭɨ-)|1862|1 to become astringent 2 to be defeated 3 to win|riṭi- 1||liṭ- 2,3|li=ṭa- 3||||||    The original meaning is "to be bothered, fed up" (cf. the external evidence), whence the various meanings in modern languages. Ag. and Rut. have a preverb *l- (Lezg. riṭi- < *ʔirṭe-, and r- is not a prefix).
1261|*ʔiꭓe- ( ~ -ꭓä-)|1864|to win||ꭓ-||||||ꭓe-||    Archi reflects also a reduplicated stem, cf. dur. \Iꭓerꭓi-r,\i imper. \Iꭓeꭓi.\i
1262|*ʔas:ar-|1867|1 to throw 2 to leave 2 to put||a=s- 1 (Düb.)|||h-a=s:ar- 2||o=sur- 2,3|||    The Bud. root is used only as a durative stem (in present, prohibitive).
1263|*ʔeƛ̣:ʷa-|1868|1 to detain 2 to close in 3 to expel 4 to compel||d-e=k:- 1|q-ik:ʷ- 2|h-e=ga- 3|al-ik:a- 4|||||    The verb belongs to the weak class in PL. Delabialisation in Rut. and Tsakh. is possibly due to contamination with \I*ʔerƛ̣:a-\i 'to drive, compel'.
1264|*ʔVc̣V|1865|to drive, urge; to pour, strew|||||||q:a=c̣-|||    Attested only in Bud., but having probable external parallels.
1265|*ʔiꭓ(:)ʷa ( ~ -ɨ)|1869|1 to run 2 to run away||||=aꭓa- 1|h-i=ꭓʷa- 2|||||    Rut. \I=aꭓa-\i reflects the PL grade \I*=äꭓ(:)ʷa-\i (with -ä- > -a- before a uvular).
1266|*ʔiṭV(r)-|1870|to run|||||||||t:ist:un|    Ud. \It:ist:un\i (< \I*t:it:-sun\i) reflects a reduplicated stem. The root is attested only in Udi, but has probable external parallels.
1267|*hišʷä-|1871|to run (away)|||hiš-|||||šeI-||    In Archi cf. also \IheIrša-s\i (dur. \IheIršu-r\i) 'to run' (from the Ablaut grade \I*häšʷä-\i with a durative infix). The MSU spelling is \IheIrš:a-s,\i but the word is impossible to separate from \IšeI-s\i 'to run away' (connected like \IqIe-s\i : \IheIrqIa-s\i 'to go, walk'), thus the tenseness of -š:- is either misspelled or expressive (another solution would be a contamination with PL \I*[š:ʷ]ar-\i q.v.). Cf. also Ag. \Iat:-iš-\i 'to jump', perhaps also \Iʁa-jša-\i 'to stand up'.     See Хайдаков 1973, 119.
1268|*ʔiλ:ʷVn-|1872|to run (away)|||||a=xʷan-|ʕa=f- / ʕa=x-|ʕa=xa-|λ:un-||    The verb is mostly used with preverbs (cf. also Tsakh. \Iʁada=xʷan-\i 'to run', Bud. \Iq:a=xa-\i 'run away', Kryz. \Isa=f-\i / \Isa=x-\i 'to jump' etc.). Archi has also a reduplicated stem in \Iλ:emλ:in\i (dur.).
1269|*[š:ʷ]ar(a)|1876|1 spinning 2 running|zʷar / zʷer 1,2|ž̌ar 1||||||||    Also used in a compound verb: Lezg. \Izʷeri-z\i (\Izʷer ĳi-z\i) 'to spin; to run'; Tab. \I\Iž̌ar tuwu-z\i\i 'to spin, turn round'. Lezg. > Khin. zar- in \Izar-ḳʷi\i 'to spin, twist (a rope)'.     Phonetically a rather complicated case (aggravated by our ignorance of Lezg. and Tab. dialectal parallels for the root). The most obvious solution would be to reconstruct PL *zʷ- or *žʷ- (typical for expressive roots), but this contradicts the external evidence. PL *š:ʷ can, indeed, have voiced reflexes in Lezg. and Tab., but in the latter only in front of PL narrow vowels (*i, *ɨ) which is not the case. We can only suppose secondary voicing of an original voiceless fricative in an expressive word, or voicing in Lezg. and borrowing from Lezg. into Tab.
1270|*ʔiƛ̣:a-|652|1 to run 2 to drive, urge 3 to let||uṭ-u=k:- 2|uk:- 1|hi=iga- 2|ʁa=jk:a- 3|||||    Cf. also Rut. \Isi=iga-\i 'to let'. Cf. the characteristic reflexes of *-ƛ̣:- in Rutul dialects: Shin. \Iji=ɨka-\i 'to drive', Mükhr. \Ijiqag:ɨ-n\i 'expelling, exile' (-g:- is also preserved in Luch. in the 1st class forms: aor. \Ihig:ɨr,\i imper. \Ihiwig:ɨ\i). All forms reflect either \I*ʔiƛ̣:a-\i or the Ablaut grade \I*ʔoƛ̣:a-.\i In Agul the root is interacting in a complicated manner with another PL root, \I*ʔarke-\i q.v.: in Bursh. we have \Iq-ark:a-s\i 'to drive' (with -r- under the influence of \Iq-arki-s\i 'to go away') against \Iüki-s\i 'to run' (with -ki- under the same influence; cf. also \Iarki-s\i 'to get into, to reach').
1271|*ʔaq̇el-|565|1 to dangle,shake 2 to tremble 3 to fall 4 to lie||d-a=q̇- 1|daq̇- 1|q̇a=lq̇a- 2||ʕä=q̇l- 3|ʕa=q̇al- 3,4|||    Cf. also Ag. Bursh. \Idalq̇an-\i 'to dangle, shake'; Kryz. \Iq:ä=q̇l-,\i Bud. \Iq:a=q̇al-\i 'to fall down, tumble; to lie', Bud. (caus.) \Is-e=lq̇i\i 'to churn (butter)', Kryz. \Icu=q̇l-\i 'to lie'.
1272|*čirꭓʷä-|1878|to slide, slip||ul-č̌u=ꭓ-|k:e=č̣erꭓʷ-|c̣u=ꭓʷe-||||||    Cf. also Tab. Düb., Kand. \Ič̌u=ꭓ-,\i Ag. Bursh. \Ič̣arꭓʷa-.\i An expressive verb with some violations of phonetic correspondences.
1273|*ʔiꭓ:a-|1879|1 to stand 2 to stand up||||ꭓIɨʁI-ɨ=ꭓIa- 1||||ꭓ:a- 2||    In Rut. the root is attested only with a complex preverb ꭓIɨ-ʁI- (imposing pharyngealisation on the root consonant).
1274|*ʔalq̇Ia|568|to turn sour, curdle, coagulate||||a=rq̇Ia-|qIɨ=q̇Ia-|||||    Cf. also Rut. \Is-ɨ=rq̇Ia-\i 'to be spoiled'. Phonetically and semantically similar forms are: Rut. \Il-i=q̇a-\i 'to ferment (of dough)', Ag. Bursh. \Ijiq̇ʷa-\i 'to curdle, coagulate' - but these forms probably had been influenced by a productive PL root \I*ʔirq̇är-\i 'to reach, to become ready' (q.v.).
1275|*ʡičä ( ~-e)|1880|to rot||||s-i=če-|qI-ɨ=če-|s-ä=č-|s-e=č-|šeI-||    Cf. also Arch. dur. \IšeIrši-r\i (a reduplication). See Талибов 1980, 300.
1276|*čoꭓar- / *č:oʁar-|1881|to fade, wither|el-čüꭓ-|ču=ꭓ-|ṭuꭓa- (Tp.)|ǯɨ=ʁIa-|sa-č̣ɨ=ꭓIar-|||tuꭓ-||    An expressive root with irregular transformations of the initial consonant (due to its reinterpretation as an expressive preverb). There are some other irregular reflexes: Tab. Khiv. \Ik-cu=ꭓ-\i 'to curdle, coagulate', Kand., lit. \Ič̣u=ꭓ-\i (used along with \Iču=ꭓ-\i).
1277|*jic̣ʷar-|1882|to melt, thaw|c̣ura-|je=c̣-|ic̣ʷ-|=ic̣a-||ju=c̣ur-||c̣a-||    Cf. also Tab. Düb. \Iji=c̣-,\i Ag. Bursh. \Iic̣i-,\i Lezg. \Iel-ec̣-\i 'to grow languid' (a derived verb with loss of the -r-conjugation), Lezg. Nüt. \Iḳüre-z\i 'to thaw, melt' (this form, together with Ag. \Iic̣ʷ-,\i points unambiguosly to PL *c̣ʷ). Tense -c̣:- in some Archi forms (aor. \Ibo-c̣:o\i etc.) is rather strange: either a misspelling, or an expressive strengthening (all other languages point only to PL lax *c̣ʷ).     See Бокарев 1961, 70; Лексика 1971, 264; Гигинейшвили 1977, 101; Талибов 1980, 296.
1278|*ʔoc̣:ʷɨ-|1883|1 to wash 2 washed||||||||=oc̣:a- 1|oc: 2|    Cf. Arch. dur. \I=orc̣:u-r.\i
1279|*ʔis:Vn|1884|to melt, thaw||||||||s:en-||    Attested only in Archi (cf. also the reduplicated durative stem: s:ems:in), with a probable Lak. parallel.
1280|*ʔisʷan- / *ʔisʷar-|1885|to extinguish, go out (of light)||kṭ-u=š̌-|qaṭ-us-|||w-u=sr-|e=sn-|||    The variation of *-n and *-r-conjugations perhaps reflects two different roots.
1281|*jiḳVr-|1887|1 to hurt, be ill 2 to itch|||||=ɨḳar- 1|ɨḳɨjḳ- (Khaidakov) 1|juḳr- 2|||    The term. stem in Tsakhur is reduplicated (\I=ɨḳɨjḳɨr\i); the Kryz dialect is unknown (cited from Khaidakov; if not for the typically Kryz form in -ɨǯ - Khaidakov writes \Iɨḳɨjḳɨǯ\i - one could suspect that the form in reality belongs to Tsakhur).
1282|*ʔac̣:a|1888|to be ill, hurt, ache|ṭa-|ic:-ru xuz|it:-ar xas|=ädda-||tit-|tut-kar-|=ac̣:a-r||    Cf. also Ag. Bursh. \Iit:-aj xis\i. The stem demonstrates the PL *a/*i Ablaut (ä in Rut. is not quite clear) and belongs to the weak conjugation class; the Kryz. and Bud. forms are reduplicated. Tab. and Ag. have preserved only participial forms combined with auxiliary verbs. Cf. also the PL derivate \I*jic̣:al(a)\i 'sickness, disease, pain': Lezg. \Iṭal,\i Ag. \Iit:al,\i Rut. \Ijaddal\i (Shin. \Ijatal,\i Mükhr. \Ijed:al,\i Mishl. \Ijadal\i).     See Бокарев 1961, 71; Лексика 1971, 135; Гигинейшвили 1977, 107.
1283|*ʔawꭓ:Ia|1889|1 to swell 2 tumour||a=ʁI- 1|ṭ-aX̀- 1|ṭ-a=ꭓIa- 1|alṭ-a=ꭓ:Ia- 1|s-äħ- 1||babꭓ:Ia- 1|beꭓI 2|    Cf. also Tab. Düb. \Ia=ʁI-,\i Ag. Bursh. \Iṭ-aX̀a-.\i The verb belongs to the weak PL class. The Ag., Rut. and Tsakh. forms contain an expressive preverb *ṭ-. In the Archi form b- is obviously a former class prefix; dur. \Ibabꭓ:Iu-r\i points to a secondary labialisation *-wꭓ:I- > *-bꭓ:Iʷ- in early Archi.
1284|*ʔek:ʷa|1890|1 to itch 2 to scratch|k:ʷa xun 1|ug-ru xuz 1|ug- 1,2||q-e=ga-,k-ega-2|||guk:ə bos 1,2||    Cf. also Ag. Bursh. \Iigi-,\i Tsakh. \I=ɨgɨga-\i 'to itch' (with reduplication = Arch. \Iguk:ə\i). Cf. also the nominal derivate \I*ʔek:ʷa-l(a\i) / \I*ʔek:ʷa-r(a\i) 'itch, itchy feeling' > Lezg. \Ik:ʷal,\i Tab. \Iugal,\i Ag. \Iugal-ar,\i Rut. Khniukh \Igar.\i
1285|*č̣iꭓ:an-|1892|1 to scrape, rub 2 to fidget 3 to peel 4 to tear||č̣u=ʁI- 1|č̣aꭓan- 4 (Bursh.)|ʁa-č̣i=ꭓa- 2|č̣irꭓam aʔa- 1||oč̣o=ꭓn- 3|||    The Bud. verb means 'to peel (e.g. an apple); to hew, trim'; cf. also \Iwo-č̣o=ꭓn-\i 'to press'. An expressive PL root belonging to the strong verbal class, sometimes (e. g. in Tab.) with emphatic pharyngealisation. It seems probable to relate here, besides Tsakh. \Ič̣irꭓam\i (which is a noun meaning 'scratch') also another nominal derivate: Rut. \Ič̣ɨꭓIɨ-d\i 'rake'. Cf. also (with irregular development) Rut. \Iča=qʷa-\i 'to itch, scratch', Arch. \Iꭓašá-s\i (3d cl. \Iba=ꭓčá-s\i) 'to tear (off)'.
1286|*c̣aꭓVr-|1893|1 to scratch, scrape 2 to gnaw 3 scratch (n.)|c̣arꭓ 3|c̣a=ꭓ- 1|c̣urꭓa- 2 (Bursh.)|||ṭu=ꭓr-/c̣u=ꭓr-||||    An expressive verb (*c̣-, being reinterpreted as an expressive preverb, varies with ṭ- in Kryz.); cf. also Tab. Düb. \Ica=ꭓ-\i 'to scrape', \Ika-ca=ꭓ-\i 'to gnaw'.
1287|*ʔIähɨ-|1895|1 to throw 2 to winnow 3 to shoot|wehi- 1|it- 2||e=e- 1,3|aha- 3|s-äʕ- 1|s-e=ʕ- 1|jāha- 2||    Cf. also Lezg. pret. \Iwehe-na,\i Tab. Düb. \Il-üp-üs\i ( < \I*-i-b-h-\i with a class infix, just like lit. Tab. \Iit-uz\i < \I*i-d-h-\i with another one); Arch. dur. \Ijārhu-r,\i Rut. \Is-e=e-\i 'to throw, sow' ( = Kryz. \Is-äʕ-,\i Bud. \Is-e=ʕ-\i), \Il-e=e-\i 'to winnow' ( = Tsakh. \Ial'-a=ha-\i), Kryz. \Iʕ-äʕ-\i 'to throw down'. Weak conjugation in PL.     See Гигинейшвили 1977, 75.
1288|*ʔalꭓ:Vn-|1896|1 to scatter, be scattered 2 to disperse||k:ar-a=ʁ- 1|d-alꭓan- 2 (Bursh.)|||||=arꭓ:in- 1||    Cf. also Tab. Düb. \Id-a=ʁ-\i 'to scatter', \Ial-d-a=ʁ-\i 'to disperse'.
1289|*=Vƛ̣:ʷe|1897|to butt|||al-ak:ʷi- (Bursh.)|||||||    The root is attested only in Agul, but has probable external parallels.
1290|*ʔek:V-|575|to butt, to fight||el-e=g-||||||||    Cf. also Düb. \Ihē=g-\i id. The root is attested only in Tab., but has probable external parallels.
1291|*ʔaḳɨ|1898|to destroy, break; to fall apart|čḳi-|ṭ-a=ḳ- (Khan.)||||č̣uḳ-||a=ḳa-||   Cf. Lezg. pret. \Ičḳa-na,\i Arch. dur. \I=arḳu-r.\i In all languages except Archi, the root is combined with expressive preverbs (*č̣- or *ṭ-).
1292|*ʔat:a|1899|1 to stick into, pierce 2 to butt|aq̇-ad-ar- 1|||||||=at:a- 2||    Arch. dur. \Ia=t:a-r.\i The Lezg. verb is formally derived from a noun \I*aq̇ad,\i which must be itself a verbal derivate.
1293|*ʔiṭV-|1902|1 to crack (nuts) 2 break 3 to tear, cut in pieces|eq:-eṭ- 1|uṭ- 3|jaʕ-ṭ- 2||=eṭa- 2|=iṭ- 3|e=ṭ- 3|||    Cf. also Tab. Düb. \Ik-u=ṭ-\i 'to break off, tear off', \Iq:I-u=ṭ-\i 'to tear off, pluck' ( = Bud. \Iq:-e=ṭ-\i id.), perhaps also Tsakh. \Iq-e=ṭa-\i 'to touch', Kryz. (with Ablaut) \Iw-äṭ-\i id., Arch. \Iꭓiṭ-bos\i 'to push' (formally = Tsakh. \Iqeṭa-\i). See Лексика 1971, 255.
1294|*ʔVʁI(ʷ)V|1903|1 to beat, hit 2 to break||u=ʁI- 2|||||||duʁ-sun 1|    Cf. also Tab. Düb. \Iu=ʁI-\i 'to break'.
1295|*ʔiq̇:Ia-|1904|to divide|||||||e=q̇-|q̇Ia-||    It is hard to separate the Bud. and Arch. forms, although the correspondence is not quite regular: the Archi morphonology shows that Archi has a tense q̇:I (cf. e. g. 3d cl. \Iba-q̇:Ia-s\i), going back to PL *q̇:I - which should be reflected in Bud. as -q-. Therefore either there is a misspelling in the Archi recordings, or there occurred an irregular development in Budukh.
1296|*ʔi(r)q̇ʷar-|1901|1 to tear 2 to break||||s-u=q̇ʷa- 1|ha=q̇ʷar- 2|||||    Used only with preverbs (cf. also Rut. \Ilu=q̇ʷa-,\i \Iguhu=q̇ʷa-\i 'to tear out', \Ikuʁu=q̇ʷa-\i 'to tear off' etc.).
1297|*ʔeq̇Vn ( ~ -ä-)|1900|to prick, stab||||||||e=q̇ʷVn-||    Labialisation in Archi is probably secondary (automatic in the infinitive \Ieq̇ʷmus\i < \I*eq̇n-bos\i and analogical in other forms). The root is attested only in Archi, but has possible external parallels.
1298|*ʔiq̇:ä(l)|1905|1 to butt, stick into 2 to clip, shear||ulṭ-u=q:- 2|uq:- 1|||||q̇e-bus 1|doIq:ala-besun 1|    Archi reflects the Ablaut grade \I*ʔiq̇:ä-\i (with regular loss of i-); all other languages reflect the Ablaut grade \I*ʔoq̇:ä-\i (the "plural" aspect).
1299|*ṭ-eƛ̣ʷäl-|1906|to burst, split||ṭu=ḳ-|ṭulḳan- (Bursh.)|ṭu=q̇ʷe-|ʁu-ṭo=ḳal-|ṭo=q̇l-|so-ṭo=q̇l-||t:op:|    A verb with the common PL expressive preverb *ṭ-.
1300|*ʔirkar|1907|1 to crumble, chop 2 to pick; rub 3 to stir 4 touch||u=k- 1|ad-irka- 2(Brs)|h-i=ka- 2|i=kar- 3||we=kr- 4|||    Cf. also Tab. \Iuṭ-u=k-\i (with an expressive preverb) 'to pick, peck at', Rut. \Is-i=ka-\i 'to saw'. The verb belongs to the strong verb class.
1301|*ʔäq̇Iʷa ( ~ -ɨ)|1908|to rub; to rumple, crumple|||||g-oq̇Ia-|||=āq̇Ia-||    Cf. Arch. dur. \I=arq̇Iu-r.\i In Tsakh. (Mikik dialect) the MSU recordings distinguish between \Iǵ-o=q̇Ia-\i 'to rumple; knead' and \Ig-o=q̇Iʷa-\i 'to rub'; it seems probable that these are only transcription differences.
1302|*č̣oq̇Ia(n)|1909|to press, squeeze, rumple|čüq̇ʷe- 1|č̣u=q̇I- 1|č̣uq̇I- 1|||č̣iqä jeriǯ||||    Cf. also Tab. Düb. \Ič̣i=q̇-,\i Ag. Bursh. \Ič̣alʕan-\i ( < \I*č̣alq̇Ian-\i) id. Bud. \Iwoč̣o=ꭓn-\i 'to press' is a contamination of this expressive root with PL \I*č̣iꭓ:an-\i q.v.
1303|*ʡiš:än-|1911|1 to knead (dough) 2 to rub 3 to trample|ṭušun- / ṭišin-|ṭi=š- 1,2|ṭiš- 1,2|||ṭu=šun- 3|ʕu-ṭo=šn- 1,2|š:eIn- 1||    Cf. also Ag. Bursh. \Iṭišana-\i / \Iṭušana-\i 'to knead (dough), to rub'. The verb belongs to the strong verbal class. All languages except Archi reflect a form with the expressive PL preverb *ṭ-.  See Гигинейшвили 1977, 127.
1304|*ʔaʁʷV|1912|1 to smear, rub 2 to comb||||k-a=ʁʷa- 2|q-a=ʁʷa- 1|||||    Cf. also Tsakh. \Ih-a=ʁʷa-\i 'to pull, drag', \Iǵ-a=ʁʷa-\i 'to comb'.
1305|*ʔaq̇:Iʷä|1913|to lock, fasten||qI-a=q:I- (Düb)||s-a=q:e-||||d-aq̇:Ia-||    Cf. Arch. dur. \Idarq̇:Iur.\i Unclear is the loss of pharyngealisation in Rut. (cf. also \Il-a=q:e-\i 'to unlock'). Besides the forms mentioned above, we must note a strange development in lit. Tabasaran and the Southern dialect: \IqI-a=q̇I-\i (with irregular -q̇I-, opposed to regular -q:I- in Northern Tab.). This could be a separate root, connected with Arch. \Ierq̇Iʷin-\i 'to conceal, put away' - however, the Archi form itself may be related to \Id-aq̇:Ia-s\i (in most forms -q̇Iʷ- here occurs in a syllable-final position - like inf. \Ierq̇Iʷmus\i etc. - and it may in fact represent the morphonemic *q̇:Iʷ).
1306|*ʔirꭓ:ʷ[a]|1914|1 to hit, hew, mow 2 to tear (off)|jaʁi- 1|č̣-a=ʁI- 2|č̣-irꭓʷ- 2|keʁ-i=ꭓʷa- 2|q-o=ꭓ:a- 2|||||    Cf. also Tab. Düb. \Ič̣a=ʁI-,\i Ag. Tp. \Ič̣irʁʷa-\i 'to tear off'. It is hard to separate the Tab. and Ag. forms with the expressive prefix č̣- from Rut. \Ič̣i=ꭓe-\i 'to tear, break off' (although the correlation between Rut. \Ikeʁ-i=ꭓʷa-\i and \Ič̣-i=ꭓe-\i is not quite clear).     The root is expressive, but should be distinguished from PL \I*č̣iꭓ:an-\i 'to scrape, rub' (q.v.), although, of course, some contaminations between them were possible.
1307|*ʡirč̣Vn- ( ~ ħ-)|1915|to press, squeeze||||=ir(i)č̣a-|ho=č̣an-|||č̣aIn-||
1308|*ʔič:a(n)|1916|1 to bend 2 to wind, reel 3 to wrap 4 wrapped||=irǯ- 1|ʁad-iž- 3||||q:-e=ǯn- 1|ča- 2|b-ač:u-r 4|    Cf. also Ag. Tp. \Iʕad-iǯan-\i 'to wrap'. Medial -r- in Tab. is secondary (cf. the changing -r-/-0- in Tab. Düb. \I=irǯ-,\i plur. \Id-iǯ-\i). Languages reveal a variation between -0 and -n-conjugations.
1309|*ʔi[k]ar|1917|to take with, provide, deliver||||gɨ=rga-||||kar-||    The verb has an archaic paradigm (\I*ʔikar-\i > Arch. \Ikar-;\i the Ablaut grade \I*ʔokär-\i > Arch. dur. \Iorki-r,\i term. \Ioka,\i Rut. \I-ɨ=ga-\i in \Iq-ɨ=ga-\i 'to bring, to lead, deliver'; reduplicated stem \I*kor(V)ka-\i > Arch. imper. \Ikaraka,\i Rut. \Igɨ=rga-\i). Because of a precise parallelism between the Archi and Rutul alternating stems and a precise semantic match, the relationship of the Archi and Rutul forms is beyond doubt - despite an irregular consonantal correspondence. Cf. perhaps also Tsakh. \I=ɨḱ:e-s\i (pres. with reduplication \I=ɨḱek-a\i) 'to take away, carry away': here -ḱ:- obviously does not reflect a PL lateral, but is an expressive gemination of -k-. An analogous expressive reduplication could be responsible for the exceptional development *k > g in Rutul.
