"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
  1498,"*itV, *ītV","",  3114,"","ìt, īt, ič 'gleichwie, gleichsam, sozusagen'","","",""
  1499,"*jau, *ju-kV","already",  3115,"","jaũ 'schon, bereits', auch zur Verstärkung von Pron. und Adv. dienend; jùk 'doch, ja'","jàu 'schon; wohl'","iau 'je'",""
  1500,"*jē̂g-ā̂ f. (1/2), *jēg- vb. intr.","strength",  3116,"","jēgà 'Kraft, Stärke', pa=jē̃gti 'imstande, fähig sein, vermögen'","ję̃ga, ję̀gs\H2\h 'Vermögen, physische Kraft; Vernunft, Verstand; Besinnung; Ahnung', jẽgt (/ jêgt Ruj., Dond.) (ję̃dzu, jẽdzu) 'verstehen, begreifen'","",""
  1501,"*kreĩ-w-a- adj., *kreĩs-a- adj., *kreî-s-w-a- adj., *krai-l-a- adj., *kreî-l-ia- c.","curved",  3117,"","kreĩv-a- 'schief'; kréisva ī́da 'körperlicher Fehler'","krails 'gebogen, gekrümmt', kreĩlis (/ kreîlis Kr.) 'Linkhand', krèiss 'der linke'; *krievs (in Elgers Dict. 643 krevs geschr.) 'krumm, gewunden'","",""
  1502,"*kak-t-ā f., *kak-t-a- c.","angle",  3118,"","kaktà 'Stirn', kakta-s 'Erker'","kakts, kakta 'die von zwei Seiten gebildete Ecke, Winkel'","",""
  1503,"*kam-a- c., *kā̂m-ia- (1) c.","rat, rodent",  3119,"","kãma-s 'Ratte'","kãmis 'heisshungriger, ausgehunderter Mensch, gefrässiger Tier; Popanz, Knecht Ruprecht der Kinder [in dieser Bedeutung in der Schriftsprache jetzt gang und gäbe, doch im Volke nicht ermittelt]'","",""
  1504,"*kirk-ā̂l-ja- c. (1)","stilts",  3120,"","kirkãliai pl. 'Stelze'","","",""
  1505,"*kat-ā̂ f., *kat-iā̃ f,m *kat-in-a- m.","cat",  3121,"","katē̃, kãtē 'Katze', kãtina-s 'Kater'","kak̨is, kak̨e 'Katze'","pausto catto 'wilde Katze' V. 665,",""
  1506,"*step-in̂- vb., *stap-in̂- vb.; *steb- vb. intr., *steb-in̂- vb., *stb-ē̂- vb., *steb-u- adj., *stab-ī̂- vb.","stop, etc.",  3122,"","stẽpinti 'bestätigen, bestimmt erklären, fest versichern, als gewiss behaupten'; dial. stapìnti 'steifen, steif machen' || stèbti (stem̃ba, stẽbō) 'in Verwunderung, in Erstaunen geraten, erstaunen', stẽbinti 'erstaunen, verblöffen', stebḗti 'betrachten, beobachten, bemerken, gewahren, aufmerksam vervolgen', stebù- 'wunderbar'; stabī́ti '(in seiner Bewegung) an-, aufhalten, stoppen, zum Stillstehen bringen,  hemmen, hindern, bremsen'","","",""
  1507,"*stug-[u]- adj., *stug-ur-a- adj., *stug-ut-ia- c.","dry stalk",  3123,"","stùgura- 'dürrer, abgedorrter, vertrockneter (Kraut-, Pflanzen)stengel, -strunk; Pfosten', dial. stugùti-s 'kleiner, einspänniger Pflug'","stugs 'kurz (?)', studzulms 'Stoppeln (von gemähtem Getreide); (hoher) Baumstumpf; Wade'","",""
  1508,"*leñk- (-ja-) vb. tr., *leñk-mō̃ (-men-) c., *lañk-a- c., *liñk- vb. intr., *lañk-s-t-u-, *luñk-an-a- adj., *lañk-ī̂- vb., *lañk-t-a- m., *luñk-[a]- m.","bend",  3124,"","leñkti (leñkia, leñkē) 'neigen, beugen, biegen, krümmen, übergehen, zu überholen trachten, wetteifern', lenkmuõ 'Stelle wo sich etwas biegt, Gelenk', lañka-s 'Rundung, Ring, Bogen', liñkti (-sta) 'sich neigen, sich bücken, sich biegen'; lankstù-, luñkana- 'biegsam, geschmeidig, gelenkig'","lìekt (/ liẽkt) (-cu) 'biegen, krümmen; bewältigen', lìks 'krumm', lìkt (lìkstu, lìku) 'sich biegen, krumm werden, sinken, knicken', lùoks 'Biegung, Krümmung; Radfelge; Kreis; Reif zum Winden der Kränze', lùoks\H2\h 'biegsa m, geschmeidig, gelenkig, behende'; lùocît (lùoku/lùocu, -ĩju) 'wiederholt biegen; wenden, bewegen, rühren, lenken'","lanctis 'Creugel' (= 'Gabel mit hakenförmiger Spitze') V. 360, lānkinan, -enan deinan 'Feiertag', perlānk(e)i 'gehört, gebührt', lunkis 'Winkel' V. 199;",""
  1509,"*ǯwaĩžd-iā̃, *ǯwaĩžd-n-iā̃ f.","star",  3125,"","žvaigždē̃ 'Stern', dial. žvaĩgždē, znaizdē̃, žvaiždē̃ 'Stern'","zvaizde, zvàigzna\H2\h, zvàigzne, zvàizne\H2\h 'Stern'","","Hardly here OPrus swāigstan 'Schein' < *čwai(k)sta-, see *k'weit-."
  1510,"*ō̂č-ia-, *ō̂č-w-ia- (2) m., -iā̃ f. (2)","step-father, -mother",  3126,"","úošvi-s 'Schwiegervater', úošvē 'Schwiegermutter'","uôsis\H2\h 'Schwiegervater; Schwiegrvater des Sohnes resp. der Tochter; Vater der Schwiegertochter', pl. uôši\H2\h, pl uôses\H2\h "nennen einander die Eltern des Ehemannes und der Ehefrau", uôsvis 'Schwiegervater'","",""
  1511,"*nib-r-a- adj.","a k. of insect",  3131,"","nìbra-s 'ein gewisser schwarzer Käfer mit einem Horn und Sattel, hält sich im Mist auf, soll Lercheneier aussaufen'","","",""
  1512,"*nā̂k- vb. intr. (1)","ripen, come",  3132,"","nṓkti `reif werden, reifen', nṓkti-s 'um die Wette laufen', nōkìnti 'reifen machen'","nãkt (-ku [/-cu], -cu) `kommen'","",""
  1513,"*kal-ē̂- vb., *kal̃-d-an-a- adj., *kal̃-t-ia- c., *kal̃-t- vb. inch., *kal̃-t-ē̂- vb.","dry",  3133,"","nu-kalḗti 'durch Entzug des Lichtes vernichten, ersticken (von Pflanzen)' (tr./intr.); ? kalčī̃-s (gen. kal̃čiō) 'Geizhals, Knauser, Knicker'","kàlst (-stu, -tu) 'trocken, dürre, mager werden, verkommen', kàltêt 'dörren, trocknen, räuchern', kàldans 'mager'","",""
  1514,"*kid-nā̂- vb.","",  3134,"","kidnṓti (Jušk.) 'eine Ziege durch den Lockruf 'kid, kid' herbeilocken', žem. kẹdnuótẹ","","",""
  1515,"*keîk- vb.","scold",  3135,"","kéikti 'fluchen'","","",""
  1516,"*kleîn-a- (2) adj.","thin, weak",  3137,"","klíena-, žem. kleins 'dünn, ebenmässig, schlank'","kliêns\H2\h 'dünn ausgebreitet; dünn, winzig von Wuchs; hager, abmagert'; kleins (Spiess n. U.) 'schwach'","",""
  1517,"*klup- vb. intr., *klū̂p-ā- vb. (1?), *klaũp- (-ja-) vb.; *klub- vb. intr., *klub-ur-a- c., *kluP-s-t-[a]- m.","stumble",  3138,"","klùpti (klum̃pa, klùpō) 'niederknien, in die Knie stürzen, stolpern, fallen, straucheln', klū́pōti, klūpḗti 'auf den Knien liegen', klaũpti (-ia, -ē) 'niederknien' || klùbti (klum̃ba, klùbō) = klùpti","klupt 'stolpern, straucheln, umfallen, fehlen, irren', klaupât 'mehrfach stolpern' || kluburs 'lahmer, unbeholfener Mensch'","klupstis V. 140 'Knie'",""
  1518,"*kā̂j-ā̂ (1) f.","foot, leg",  3139,"","kṓja 'Fuss, Bein'","kãja 'Fuss, Bein'","",""
  1519,"*kā̂p- (*kā̂p-a-, -ja-) vb. (2)","go, step",  3140,"","kṓpti (-pa/-pia, -pō/-pē) 'steigen, klettern'","kâpt (-pju, -pu) 'steigen; gehen, sich begeben; ins Krebsnetz steigen, sich vom Köder anlocken lassen'","",""
  1520,"*kreûk-l-a- c.","skeleton",  3141,"","kriáukla-s '(Ge)rippe, Skelett', pl. -ai 'Brustkorb'","","",""
  1521,"*kruk-n-ē̂- vb.","bend",  3142,"","","kruknêt (-u, -ẽju) 'kauern, hocken'","",""
  1522,"*krā̂p- (*krā̂p-a-, -ja-) vb. tr.","deceive",  3143,"","krṓpti (-pa/-pia, -pē) 'betrügen, hintergehen, anführen, übervorteilen'","","",""
  1523,"*kurkl-ia- c.","a k. of vermin",  3145,"","kurklī̃-s 'Wurzelnager, Mulwurfsgrille'","","",""
  1524,"*kuč- vb. intr., *kuč-t-ē̂- vb.","move",  3146,"","kùšti (kų̃šta, kùšō) 'in Bewegung geraten'","kustêt (-u, -ẽju) `sich bewegen, sich rühren'","",""
  1525,"*wēd- (*wēd-a-) vb. tr., *wē̂d-ī̂-, *wē̂d-in̂- vb. (1)","ventilate",  3147,"","vēdìnti 'lüften, kühlen, der Luft aussetzen'","vẽdît (-ĩju) 'lüften', vẽdinât intr. 'wehen; tr. 'lüften, wedeln, fächeln'; *vēst (vēda) 'wehen, hauchen'","",""
  1526,"*lak- (*lak-a-/*lañk-a-) vb., *lak-ā̂- vb.","lap",  3148,"","làkti (lãka, lãkē) '(flüssige Nahrung) auflecken, leckend fressen, schlappen (von Hunden und Katzen), saufen (vulgär von Menschen)'","lakt (lùoku, laku) 'leckend fressen, Dünnes fressen, schlappen, mit der Zunge schlürfen', lakât (-ãju) 'wiederholt lecken'","",""
  1527,"*lan̂g-a- (2) m., *lan̂g-s-t-ā̂ f.","window, opening",  2304,"","lánga-s 'Fenster'","luôgs 'Loch, Öffnung; Fenster'","lanxto 'Fenster'",""
  1528,"*lap-a- c., *lap-ā̂ f.","leaf",  3150,"","lãpa-s '(Pflanzen)blatt', coll. lapĳà 'Laubwerk'","lapa 'Blatt'","",""
  1529,"*lē̃k- (*lek-ja-) vb., *lak-ā̂ f., *lak-t-ā̂ f., *lak-s-t-ā̂ f.","fly, run",  3152,"","lē̃kti (lẽkia, lē̃kē) 'fliegen, laufen, rennen, stürzen', lakà 'Flugloch (am Bienenkorb, am Taubenschlag)', laktà, lakštà 'Sitzstange für das Federvieh, Sprosse im Vogelkäfig'","lèkt (lęcu, lècu), lekt (lęcu, lecu), lèkt (lę̀cu, lecu) 'springen, hüpfen; fliegen; herrühren; geschehen'","",""
  1530,"*leñš-ia- c.","lentil",  3153,"","lę̃ši-s (-iō) 'Linsekorn, Linse'","","",""
  1531,"*lāp-a- c. (Lith CIRC / Lett AC 1), *lā̂p-ī̂- (1) vb.","patch",  3155,"","lō̃pa-s 'Fleck, Flicken (zum Ausbessern eines Kleidungsstücke), Lappen; Stück Land'","lãps 'Flick(en)', lãpît (-u/-ĩju, -ĩju) 'flicken, ausbessern'","",""
  1532,"*lun̂k-a- n. (2)","bast",  3156,"","lùnka-s '(Linden-, Weiden-)bast'","lûks 'Bast, Linden-, Weidenrinde'","lunkan V. 644 'Bast'",""
  1533,"*lust-a- c.","piece",  3157,"","lùsta-s '(abgeschnittenes, abgebrochenes) Stück, Scheibe, Schnitte, Klumpen, Knollen, Block'","","",""
  1534,"*mas-in̂- vb.","",  3160,"","mãsinti, masìnti 'locken, reizen'","","",""
  1535,"*mek-n-iā̃ f., *mek-s-r-a- c., -ā̂ f., *mek-s-er-ia- c.","a fish",  3161,"","mẽknē 'Döbel', mekš(e)rī̃-s, mẽkšra-s, mekšrà 'Plötze, Rotauge'","","",""
  1536,"*me-s","we",  3162,"","mẽs 'wir', gen. mū́sų usw.","mẽs, dial. mes, męs 'wir'","",""
  1537,"*mā̂k-ē̂-, -ī̂- vb. (2), *mā̂k-s-l-a- c., -ia- c. (2), *mā̂k-in- vb.","be able, understand",  3163,"","mōkḗti 'können, sich auf etw. verstehen, etw. zu tun wissen', mōkìnti 'lehren', mṓksla-s 'Können, Wissen'","mâcêt (-ku, -cẽju) 'können, vermögen; verstehen', mākt (alt) 'lernen. können',  iz=mâkt tr. 'erlernen', mâcît (-cu, -cĩju) 'lehren', mâksla, mâkslis 'Lehre, Belehrung, Kunstgriff, Pfiff, Kniff, Kunststück'","mukint 'lehren', 1 pl. prs. ind. mukinnimai 'wir lernen' Ench. 23, 27, mukinsusin Ench. 61, 28 (? -u- = -ei-) usw.",""
  1538,"*mišk-a- c.","wood, forest",  3164,"","mìška-s 'Wald, Forst; (Brenn- oder Baum)holz'","","",""
  1539,"*mud-ā̂ f., *mud-r-u- adj.","lively",  3165,"","mudà 'Möglichkeit', mudrù- 'munter, regsam, lebhaft'","mudrs 'hunter, fix, schnell, munter, lebhaft', mudîgs 'regsam, munter, betriebsam, flink, fleissig, fix, rasch'","",""
  1540,"*nā̂r-a- c., *nār-ē̂- vb.","will, wish",  3166,"","nṓra-s 'Wille, Vorhaben, Absicht, Wunsch, Verlangen, Begierde, Lust', nōrḗti 'wollen, beabsichtigen, wünschen, begehren, Lust haben'","","",""
  1541,"*nug-ar-ā̂ f.","back",  3167,"","nùgara 'Rücken'","","",""
  1542,"*pal-ā̂ f., *pal-a- c., *pal̂-m-et-ia- c.","piece of fabric",  3169,"","palà 'grosses Stück Leinwand, Leintuch', pãla-s 'vom Ganzen der Breite nach abgeschnittenes Stück Stoff'; pálmeti-s 'grosses Leintuch zum Kopfumhüllung'","","",""
  1543,"*pas(t), *past-ar-a- adj.","",  3170,"","pàs 'bei, an, zu', pãstara- 'letzter'","pastars 'letzter, der letzte'","",""
  1544,"*peîl-ia- c. (1), -iā̃ f.","knife",  3171,"","peĩli-s 'Messer'; ? paĩlīti 'schlagen'","peĩlis 'Messer'","peile Grunau 27 'Messer'",""
  1545,"*tō̂p-ā̂ (1)","poplar",  3172,"","túopa (ostlit.) 'Pappel'","","",""
  1546,"*plaûk-a- c., *plaûk-ā̂ (1) f.","hair, fibre",  3173,"","pláuka-s 'Haar, (Haar)farbe gewisser Tiere, Schlag, Art, Gattung'","plaũka, pl. plaûkas\H2\h, plaũkas 'Flocken, Fasern, Abgang von Wolle, Flachs; Hülsen; Schinn; Farbe'","",""
  1547,"*dē̂- (1) vb., *dē̂j-al-ā̂, -iā̃ f.","",   767,"","","dẽt (prs. deju): duori dẽt, dravu dēt 'einen Waldbienestock anlegen, einen Baum zum Bienestock herrichten, ihn aushöhlend und Fluglöcher darin ausbohrend', egli, priedi, uozuolu dẽt 'eine Tanne, Fichte, Eiche zum Bienenstock herrichten'; dẽjala, dẽjele 'ein für Bienen ausgehöhlter od. auszuhöhlender Baum; das Eisen, womit diese Höhlung bewerkstelligt wird'","",""
  1548,"*pleñš- (-ja-) vb.","quarrel",  3175,"","plę̃šti (-šia, -šē) 'kreischen, zanken, streiten, sich beschweren, abfällig urteilen'","","",""
  1549,"*pleĩn-a- c., *plain-[a]- m.","steel",  3176,"","pliẽna-s 'Stahl'","pliens 'Stahl'","playnis V. 521 'Stahl'",""
  1550,"*derk-, *der̂g-","dirt, mud, bad weather",  1847,"dergēti 'hassen'","dérgti 'es ist schlechtes Wetter', dárga 'quatschiges, schlechtes Wetter', dargùs 'schmutzig, garstig', dérgti 'beschmutzen, schmutzig werden'; der̃kti 'garstig machen, besudeln', darkùs 'garstig'","der̂dzêtiês 'zanken, streiten'; dā̀rks 'Schecke'","dergē 'sie hassen'; erdērkts 'vergiftet'",""
  1551,"*pūn-iā̃ f.","hollow (in the egg)",  3178,"","pūnē̃ 'hohles Ende am Ei'","","",""
  1552,"*pur̃w-a- c., -iā̃ f.","dirt, marsh",  3179,"","pur̃va-s 'Schmutz, Dreck', pl. purvaĩ '(Strassen)kot'","pùrvs, purve 'Morast, Sumpf'","",""
  1553,"*pus=, *paus=","half",  3180,"","pùsē 'Hälfte', pus- in compos.","pus- 'halb-, halbwegs'; puse 'Hälfte', pušu, pušum 'entzwei'","pausan, pauson 'Hälfte', preipaus 'hin' (= 'zur Seite'), possisawaite V. 20 'Mittwoch'",""
  1554,"*raîb-a-/*raĩb-a- adj., *raib-ī̂-, *rib-ē̂- vb., *rib- vb. intr.; *raĩp- vb. intr., reĩp- vb. intr.,","motley",  3181,"","ráiba-, raĩba- 'buntscheckig, graubunt, braungelb gesprenkelt', ribḗti 'flimmern, sich kräuseln, schillern, sehr schnell laufen, flitzen', rìbti (rim̃ba, rìbō) 'flimmern' || raĩpti (-psta, -pō) 'flimmern (von den Augen)', reĩpti (-psta, -pō) 'flimmern'","ràibs 'bunt, scheckig, fleckig', raibît (-ĩju) 'Buntwerk machen', rèibt (-bstu, -bu) 'schwindeln, duselig sein'","roaban 'gestreift' V. 467 (oa < *ái)",""
  1555,"*reiw-ā̂ f., *rīw-ā̂ f., -iā̃ f.","hill",  3182,"","rievà 'Riff, Steikluft, Fels, Klippe, Hügel'","rīve, rīva 'erhöhter Streifen'","",""
  1556,"*ram̃b-u- adj., *ram̃b-a- c., *rem̃b- (-sta-/-ia-) vb. inch., *rim̃b-a- c., *rum̃b-a-/*rum̂b-a- c., *ram̃(b)-t-a- c.","blunt",  3183,"","rambù- 'stumpf, träge, faul, unbeweglich, schwerfällig', rem̃bti (-bsta, -bō; -bia, -bē) 'träge, unbeweglich werden', rim̃ba-s 'Peitschenschnur, Geissel, Peitsche', rum̃ba-s, rùmba-s, rumbà- 'Rand, Saum, Kante, Einfassung, Gebräme, Gürtel, Wirkband, Schrote, grosse Scheibe Brot', ram̃ta-s 'dünneres Stammende eines umgehauenen Baumes'","rùobs 'Kerbe, Einschnitt, Lücke'; ruobs 'gekerbt, gezackt'","",""
  1557,"*draũga- m.","comrade",  1945,"","draũgas 'Gefährte; Freund'","dràugs 'Freund; der andere Teil eines Paares; der andere'","draugiwaldūnen acc. 'den Miterben'",""
  1558,"*rat-ā̂","oath",  3185,"","ratà 'Formel, Eid, Schwur'","","",""
  1559,"*rend- vb., *rend-ē̂- vb.","go down (adb. sun)",  3187,"nu-rendēti, nu-rensti 'untergehen (von der Sonne)'","","","",""
  1560,"*reñt- (-ja-) vb. tr., *rañt-ī̂- vb., *rañt-a-, *reñt-a- c., *rañt-(s)t-iā̃ f., -i- c.","cut, square",  3188,"","rę̃sti (-čia, -tē) 'kerben, mit der Axt behauen, behacken, fällen, spalten, zurechthauen, zimmern (eine Hütte im Blockbau)', intens. rantī́ti, rañta-s, reñta-s, -i-s 'Kimme, Kerbe usw.'","ap=riest 'abhauen, kürzen; besäumen'; nùo=riest 'abhauen, kürzen; abschneiden', ruotît 'quer durchhauen, durchschneidenƛ kerben, scheide', rùoste, rùosts\H2\h (gen. -s) 'Hosengurt; der angenähte untere Rand des Kleides'","",""
  1561,"*reib-u- adj., *rib-al-a- c.","fat, thick",  3189,"","riebù- 'fett, feist, dick, wohlgenährt, fruchtbar, ergiebig, reichhaltig, schmutzig, unsauber', riebḗti 'fett werden', rìbala-s 'Fettauge (in der Suppe)'","","","Endzelin joints here Lett riêbt (riêbju, riêbu) 'ekeln, zuwider sein; im Wege sein, hindern', riêba, raîba, raîbs 'Ekel, Widerwille, Verdriesslichkeit, Abgeneigtheit'."
  1562,"*reîč-a-, *reîč-ā̂ f. (1)","joint",  3190,"","ríeša-s, ríeša 'Handgelenk, -wurzel, -rücken, Rist, Fussgelenk, -wurzel, -knöchel, den Rist bedeckender Teil des Handschuhs bzw. des Strumpfes, Kötengelenk des Pferdes, Stelle am Fuss des Pferdes, Stelle am Fuss des Pferdes von der Hacke bis zum Huf'","","",""
  1563,"*reî- (*reja-) (2) vb.; *raî-r-ē̂- vb.","shout, bark",  3191,"","ríeti (riẽja/rẽja, ríejō/rḗjō) 'laut schelten, scheltend anschreien, anfallen, anbellen (von Hunden), beissen (von tollen Hunden)'; ; ostlit. ráira 'Schwätzer', rairḗti, -úoti 'Unsinn schwatzen'","riêt (reju, rêju) tr., intr. 'bellen, anbellen; beissen'","rīgewings 'haderhaftig' Ench. 55, 14",""
  1564,"*saĩd-ia- c., *said-r-ā̂ f., saĩd-r-a- c., -ia- c.","reed, sedge",  3192,"","saidrà 'Moorbinse, Schnabelbinse (Rhynchspora)', dial. saĩdra-s 'Raisgras', saĩdri-s 'Spitz-, Riedgras (Carex)', saĩdi-s 'ds.'","","",""
  1565,"*čar̂-w-a- c., *čar̂-n-a-, -ia- c. (1)","faeces",  3193,"","šárvai pl. 'Menstrua der Weiber'","sãrn̨i, sā̀rn̨i, sãrni pl. 'Schlacken; Weiberkrankheit, Blum der Weiber, Monatsreinigung; Exkremente'","",""
  1566,"*sidabra- c., *sudabra- c., *sirabl-a- c.","silver",  3195,"sidraba-s 'Silber'","sidãbra-s, dial. sudãbra-s 'Silber'","sidrabs, dial. sudrabs, sudarbs 'Silber'","siraplis V. 524, acc. sg. sirablan 'Silber'",""
  1567,"*skair-u- adj.","clear",  3196,"","skairù- 'freigiebeig, reichlich'","","",""
  1568,"*(s)ker̃s-a- adj.","curved, bad",  3197,"","sker̃sa-, ker̃sa- 'quer'","šk̨ę̄̀rs adv. 'quer'","kērschan, kerscha, kirscha(n) 'über, mehr als'",""
  1569,"*skil-w-ia- c., *skil-an̂-d-ia- c., *skil-n-ā̂ f.","intestines",  3199,"","skilándi-s 'Wurst-, Schwartenmagen, Magenwurst', skil̃vi-s 'ds., (Vogel)magen, Kropf'","šk̨ilna\H2\h 'Hühnermagen', šk̨ilva, šk̨il̃vis, šk̨il̂vis\H2\h 'Magen (von Vögeln)', šk̨ilmis, šk̨illis 'ds.', škilsts 'Gänsemagen'","",""
  1570,"*snar̂g-l-ia- c., *sner̂g-l-ia- (1) c., *snerg-iā̃ f., *snirg-ō̂- vb.","snivel",  3200,"","snarglī̃-s (gen. snar̃gliō/snárgliō) 'Nasenschleim, flüssiger Nasenrotz, Schnuder, Schnodder'","sner̃glis 'Rotz, Speichel; Rotzlöfel', snerdze 'Rotz', snirguot 'weinend schluchzen, zischen wie die Gänse'","",""
  1571,"*snuk-ia- c.","snout",  3201,"","snùki-s 'Schnauze, Rüssel, Maul'","snucis, snuk̨is, šnucis, šn̨ucis 'Schnauze'","",""
  1572,"*spig- vb. inch., *spig-ē̂- (spiga-) vb. intr.","shine, burn",  3202,"","spìgti (spiñga, spìgō) 'geblendet werden', dial. spigḗti (spìga) 'glänzen, glühen', spìginti 'heftig frieren oder brennen, beissend (bitter, grimmig) kalt sein, stark brennen', tr. 'blenden; jmd. etwas direkt ins Gesicht schleudern, etwas unverblümt sagen'","","",""
  1573,"*spraû- (-ja-) vb. tr. (2); *spraû-d- (-ja-) vb. tr. (2), *sprau-d-sm-iā̃ f.,","press",  3204,"","spráusti (-džia, -dē) '(mit Anstrennung, gewaltsam) in einen engen Zwischenraum pressen, drängen, drücken, (ein)klemmen, zwängen', dial. 'pfropfen, veredeln', intr. 'schnell laufen'; sprausmē̃ (acc. spráusmę) 'Pfropfreis, Pfröpfling'","spraûtiês (spraûjuôs, sprâvuôs)  'emporkommen, empordringen' || spraûslis 'kleiner Keil, Querholz, welches ins Netz gelegt wird, damit es nicht zusammenschlägt'; spraûst (-žu, -du) tr., intr. 'stecken, zwischenein stecken, einstecken'","",""
  1574,"*sprūg- vb. intr., *sprug- vb. intr.; *spruk- vb. intr.","shoot up",  3205,"","sprūgti (-sta, -gō) 'entspringen, entwischen'; sprùgti (spruñga, sprùgō) 'entfliessen, -schlüpfen, sich losreissen' || sprùkti (spruñka, sprùkō) 'ds.', sprùkinti 'jemd. entwischen lassen, jmdm. helfen zu entkommen'","spruga 'Gedränge, Klemme' || sprukt (sprùku, spruku) 'sich lösen, losgehen (von Festem, Gebundenem); entwischen, entgleiten, fortlaufen'","",""
  1575,"*sū̂-dr-u- adj. (1); *sw-ei-k-a- adj.","healthy",  3206,"","sūdrù- 'üppig, geil (von Pflanzen); prachtvoll, üppig, dicht, fest, kompakt, wohlbeleibt, fett', dial. sū́dru- 'ds.', sū́drinti 'üppig, prachtvoll, prächtig machen; üppig wachsen lassen; dicht, fest, kompakt machen'; sveĩka- 'gesund, heil, gut, wohlbehalten'","svèiks, sveĩks 'gesund, wohlbehalten, unversehrt'","",""
  1576,"*suñk- (-ja-) vb. tr., *sunk-ā̂ f.","suck, shoot out",  3207,"","suñkti (-kia, -kē) 'durch Druck eine Flüssigkeit abfliessen, absickern lassen; auspressen, auswringen, auswinden', ostlit. sunkà '(Baum)saft'","sùkt (sùcu) 'saugen (von Blutegeln, nicht von Säugetieren), nutschen; durchseihen'; sũkât, sùkât 'leckend saugen (z. B. die Finger)'","",""
  1577,"*sün̂d-ī̂-, *süm̂d-ī̂-, *sum̂d-ī̂- vb.","hunt",  3209,"","siùndīti '(auf-, ver)hetzen', žem. siùmdīti (Ness. sumdīti) `hetzen (травить зверя)'","","",""
  1578,"*čam-a- c.","sheat-fish",  3210,"","šãma-s 'Wels, Siluris glanis'","sams 'Wels (Silurus glanis L.); böser Wassergeist'","",""
  1579,"*š(w)ar̃k-a- c., *š(w)ar̂k-ā̂ f. (1)","cloth",  3211,"","šar̃ka-s 'Kleidungsstück, tuchener Überrock der Fischer', žem. pl. šarkai 'Kleider, (Bauern)rock', švar̃ka-s 'Kleidungsstück, Bauernrock, -kittel', dial. švárka-s; švárka 'kurzer, warmer Mantel'","","",""
  1580,"*čar̂w-a- m.","armour",  3212,"","šárva-s, pl. šarvaĩ 'Harnisch, Panzer, Rüstung'","","sarwis 'Waffen' V. 418",""
  1581,"*čaũk- (-ia-) vb.","shout",  3213,"","šaũkti (-kia, -kē) 'schreien, laut rufen, jmd. nennen'","sàukt (-cu) tr/ 'rufen, nennen; proklamieren (in der Kirche); wählen; mit Beinamen belegen, schimpfen'","",""
  1582,"*šatr-a- c., -ā̂ f., *šekšt-ia- c.","perch, pole",  3214,"","šãtra-s, pl. šãtrai/šatraĩ 'Gerte, Strauch-, Buschwerk, Spreckholz, Reisig vom Strauch', šatrà 'dünne Stange, Latte, Staken; (Dach)latte', šẽkšti-s 'Holzgabel mit umgebogenen Zähnen (für Spreu)'","","",""
  1583,"*čeir-ia- m., -iā̃ f.","widow",  3215,"","šeirī̃-s 'Witwer', westlit. šeirē̃ 'Witwe'","","",""
